"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.common","common",0.494986538738807,0,1043,23,""
"org.axonframework.messaging","messaging",0.39793578289484255,0.08488244711393891,9924,133,""
"org.axonframework.eventhandling","eventhandling",0.3296055726633233,0.15962130926592571,5871,1563,""
"org.axonframework.serialization","serialization",0.2610358317569116,0.09976432231076107,1655,176,""
"org.axonframework.messaging.unitofwork","unitofwork",0.25692036996691137,0.07083896706646883,259,123,""
"org.axonframework.common.transaction","transaction",0.23410274023473995,0,368,6,""
"org.axonframework.tracing","tracing",0.19098911288411272,0.12040162340644632,635,122,""
"org.axonframework.messaging.annotation","annotation",0.17460572380033923,0.09686999635272817,1079,301,""
"org.axonframework.lifecycle","lifecycle",0.17000256275048908,0.04049831791575453,101,10,""
"org.axonframework.commandhandling","commandhandling",0.14302003610546773,0.11355378318776059,1903,691,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.117807507596922,0.1552603307008708,205,613,""
"org.axonframework.modelling.command","command",0.10609628647054346,0.14610349370738648,273,842,""
"org.axonframework.deadline","deadline",0.10365402727164545,0.125472610258732,247,338,""
"org.axonframework.common.jdbc","jdbc",0.09670482667157432,0.08370386758052706,73,56,""
"org.axonframework.serialization.upcasting.event","event",0.09594908586353704,0.09005842788004773,45,188,""
"org.axonframework.monitoring","monitoring",0.09337566914943389,0.054005779455193505,199,21,""
"org.axonframework.queryhandling","queryhandling",0.08997179929854004,0.11708350828874484,415,1141,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.0880220326560746,0.06566101199192276,83,42,""
"org.axonframework.serialization.xml","xml",0.08288487790784917,0.049087661955030254,22,28,""
"org.axonframework.eventhandling.scheduling","scheduling",0.0808743253734944,0.029937804439147325,25,2,""
"org.axonframework.eventsourcing","eventsourcing",0.07169501157335222,0.1706057876776898,148,1009,""
"org.axonframework.messaging.deadletter","deadletter",0.06786473786755326,0.08010536559446452,205,102,""
"org.axonframework.common.annotation","annotation",0.0663399255843741,0.029937804439147325,22,3,""
"org.axonframework.common.jpa","jpa",0.06481770692694852,0.044096819901817075,19,6,""
"org.axonframework.modelling.saga","saga",0.06415707879096429,0.1022764704699546,263,432,""
"org.axonframework.common.stream","stream",0.06088355115825112,0,33,5,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.059318407779909585,0.06566101199192276,29,17,""
"org.axonframework.modelling.saga.repository","repository",0.05922595808018477,0.06608134204893631,81,231,""
"org.axonframework.modelling.command.inspection","inspection",0.058688504885201005,0.12071533015680105,83,781,""
"org.axonframework.axonserver.connector","connector",0.0572059589794394,0.14730809143245277,117,719,""
"org.axonframework.messaging.interceptors","interceptors",0.05584376348156457,0.09693855320573984,12,119,""
"org.axonframework.common.io","io",0.05558463746939471,0,10,0,""
"org.axonframework.eventhandling.async","async",0.05510356495303124,0.06700739863404909,46,76,""
"org.axonframework.common.lock","lock",0.051866725371984654,0.029937804439147325,46,25,""
"org.axonframework.config","config",0.04870432233414202,0.28783596680994916,384,9870,""
"org.axonframework.messaging.correlation","correlation",0.044214304977526,0.024067975016046184,32,14,""
"org.axonframework.commandhandling.gateway","gateway",0.04202504130220294,0.09980964169085371,100,443,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.0419898497381606,0.10946725392566536,12,236,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.041890102218938775,0.062121604936502,14,86,""
"org.axonframework.axonserver.connector.util","util",0.040655220987162184,0.07325369783233615,67,85,""
"org.axonframework.common.caching","caching",0.039858544823885254,0.029937804439147325,37,49,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.038624200373716985,0.07490507395333548,11,119,""
"org.axonframework.eventhandling.pooled","pooled",0.03759770304374515,0.14348815225630093,62,962,""
"org.axonframework.util","util",0.034727849300469536,0.07133910185207933,5,6,""
"org.axonframework.commandhandling.callbacks","callbacks",0.03456289398849743,0.008650146088244715,9,39,""
