"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityPageRank",0.7819292071235711,""
"org.axonframework.messaging","messaging","centralityPageRank",0.43646823422545794,""
"org.axonframework.eventhandling","eventhandling","centralityPageRank",0.240537393347486,""
"org.axonframework.serialization","serialization","centralityPageRank",0.23582750170762307,""
"org.axonframework.messaging.unitofwork","unitofwork","centralityPageRank",0.12845935626991123,""
"org.axonframework.messaging.annotation","annotation","centralityPageRank",0.10652950353099061,""
"org.axonframework.axonserver.connector","connector","centralityPageRank",0.08829414873140759,""
"org.axonframework.commandhandling","commandhandling","centralityPageRank",0.07308031552566355,""
"org.axonframework.queryhandling","queryhandling","centralityPageRank",0.054921113650256245,""
"org.axonframework.modelling.saga","saga","centralityPageRank",0.054507060442079,""
"org.axonframework.tracing","tracing","centralityPageRank",0.050874754526148806,""
"org.axonframework.config","config","centralityPageRank",0.047184238866454,""
"org.axonframework.common.transaction","transaction","centralityPageRank",0.044968980084864725,""
"org.axonframework.eventhandling.tokenstore","tokenstore","centralityPageRank",0.0396802231931519,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityPageRank",0.03695465609740423,""
"org.axonframework.modelling.command","command","centralityPageRank",0.035421345012557275,""
"org.axonframework.common.annotation","annotation","centralityPageRank",0.03111225762398162,""
"org.axonframework.deadline","deadline","centralityPageRank",0.030448227363448842,""
"org.axonframework.common.io","io","centralityPageRank",0.027892749653658254,""
"org.axonframework.common.jdbc","jdbc","centralityPageRank",0.027099234728205152,""
"org.axonframework.test","test","centralityPageRank",0.026853361142468442,""
"org.axonframework.springboot","springboot","centralityPageRank",0.02562214226179277,""
"org.axonframework.monitoring","monitoring","centralityPageRank",0.02526427956164103,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","centralityPageRank",0.023532817464330214,""
"org.axonframework.messaging.deadletter","deadletter","centralityPageRank",0.02336319384480307,""
"org.axonframework.axonserver.connector.util","util","centralityPageRank",0.023309396364372723,""
"org.axonframework.commandhandling.distributed","distributed","centralityPageRank",0.02310593920471233,""
"org.axonframework.axonserver.connector.event.axon","axon","centralityPageRank",0.022827582136513667,""
"org.axonframework.test.server","server","centralityPageRank",0.022605199522062556,""
"org.axonframework.util","util","centralityPageRank",0.022351028966316144,""
"org.axonframework.lifecycle","lifecycle","centralityPageRank",0.021688830101270692,""
"org.axonframework.modelling.command.inspection","inspection","centralityPageRank",0.02071578259229061,""
"org.axonframework.axonserver.connector.command","command","centralityPageRank",0.02013835020538825,""
"org.axonframework.axonserver.connector.query","query","centralityPageRank",0.019990365575527122,""
"org.axonframework.common.stream","stream","centralityPageRank",0.019781810285309995,""
"org.axonframework.messaging.responsetypes","responsetypes","centralityPageRank",0.019219100151328807,""
"org.axonframework.serialization.upcasting.event","event","centralityPageRank",0.0192096534041404,""
"org.axonframework.modelling.saga.metamodel","metamodel","centralityPageRank",0.019084786731864402,""
"org.axonframework.eventsourcing","eventsourcing","centralityPageRank",0.01860240476843743,""
"org.axonframework.test.matchers","matchers","centralityPageRank",0.017968111458464543,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa","centralityPageRank",0.01743529807769337,""
"org.axonframework.modelling.saga.repository.jpa","jpa","centralityPageRank",0.017387165388890118,""
"org.axonframework.eventhandling.deadletter.jpa","jpa","centralityPageRank",0.017116429826969284,""
"org.axonframework.eventhandling.scheduling","scheduling","centralityPageRank",0.016726919573393503,""
"org.axonframework.messaging.interceptors","interceptors","centralityPageRank",0.016410931710497734,""
"org.axonframework.actuator","actuator","centralityPageRank",0.016399993705712806,""
"org.axonframework.axonserver.connector.event.util","util","centralityPageRank",0.01589840147378976,""
"org.axonframework.commandhandling.callbacks","callbacks","centralityPageRank",0.01570677320688616,""
"org.axonframework.messaging.correlation","correlation","centralityPageRank",0.015546327900368785,""
"org.axonframework.modelling.saga.repository","repository","centralityPageRank",0.015475352616269483,""
"org.axonframework.common.jpa","jpa","centralityPageRank",0.015399978196688724,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements","centralityPageRank",0.015347715122145167,""
"org.axonframework.serialization.upcasting","upcasting","centralityPageRank",0.015308854744516848,""
"org.axonframework.common.lock","lock","centralityPageRank",0.015181789913667858,""
"org.axonframework.serialization.xml","xml","centralityPageRank",0.014508129605351666,""
"org.axonframework.common.legacyjpa","legacyjpa","centralityPageRank",0.014486281413492496,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa","centralityPageRank",0.014397454153177036,""
"org.axonframework.eventhandling.pooled","pooled","centralityPageRank",0.014330887855145615,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat","centralityPageRank",0.014288187760050246,""
"org.axonframework.common.property","property","centralityPageRank",0.014013401177094544,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","centralityPageRank",0.01391995653753915,""
"org.axonframework.test.deadline","deadline","centralityPageRank",0.013888404805185803,""
"org.axonframework.eventhandling.deadletter","deadletter","centralityPageRank",0.013878751572484487,""
"org.axonframework.eventhandling.async","async","centralityPageRank",0.013855325596446814,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa","centralityPageRank",0.01366901153233177,""
"org.axonframework.eventsourcing.snapshotting","snapshotting","centralityPageRank",0.013615113367361514,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa","centralityPageRank",0.013557215193366124,""
"org.axonframework.springboot.util","util","centralityPageRank",0.013362978566721676,""
"org.axonframework.commandhandling.gateway","gateway","centralityPageRank",0.013360029582886852,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa","centralityPageRank",0.013304790221909136,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa","centralityPageRank",0.013304790221909136,""
"org.axonframework.springboot.autoconfig","autoconfig","centralityPageRank",0.013304790221909136,""
"org.axonframework.common.caching","caching","centralityPageRank",0.013235759279937882,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory","centralityPageRank",0.012967492877057035,""
"org.axonframework.test.eventscheduler","eventscheduler","centralityPageRank",0.01295950841962848,""
"org.axonframework.eventhandling.replay","replay","centralityPageRank",0.012891384708495669,""
"org.axonframework.axonserver.connector.query.subscription","subscription","centralityPageRank",0.012801747469271997,""
"org.axonframework.eventhandling.scheduling.java","java","centralityPageRank",0.01275716685780161,""
"org.axonframework.test.utils","utils","centralityPageRank",0.0127103810432994,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory","centralityPageRank",0.01269099985829647,""
"org.axonframework.eventhandling.gateway","gateway","centralityPageRank",0.012654168683287791,""
"org.axonframework.queryhandling.registration","registration","centralityPageRank",0.012652531439942074,""
"org.axonframework.deadline.jobrunr","jobrunr","centralityPageRank",0.012649538473613131,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution","centralityPageRank",0.012619653188823021,""
"org.axonframework.disruptor.commandhandling","commandhandling","centralityPageRank",0.012594093933281827,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","centralityPageRank",0.01257634760106387,""
"org.axonframework.common.digest","digest","centralityPageRank",0.01250588361453866,""
"org.axonframework.axonserver.connector.processor","processor","centralityPageRank",0.01248464657422142,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc","centralityPageRank",0.012452425290665094,""
"org.axonframework.deadline.dbscheduler","dbscheduler","centralityPageRank",0.0124374066031636,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc","centralityPageRank",0.012422387915662112,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler","centralityPageRank",0.012422387915662112,""
"org.axonframework.queryhandling.annotation","annotation","centralityPageRank",0.012403110111961532,""
