"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityHarmonic",0.48672566371681414,""
"org.axonframework.messaging","messaging","centralityHarmonic",0.3893805309734513,""
"org.axonframework.eventhandling","eventhandling","centralityHarmonic",0.3333333333333333,""
"org.axonframework.messaging.unitofwork","unitofwork","centralityHarmonic",0.3244837758112094,""
"org.axonframework.common.transaction","transaction","centralityHarmonic",0.3185840707964602,""
"org.axonframework.serialization","serialization","centralityHarmonic",0.31120943952802366,""
"org.axonframework.messaging.annotation","annotation","centralityHarmonic",0.2581120943952802,""
"org.axonframework.tracing","tracing","centralityHarmonic",0.24926253687315633,""
"org.axonframework.lifecycle","lifecycle","centralityHarmonic",0.24410029498525074,""
"org.axonframework.common.stream","stream","centralityHarmonic",0.23156342182890857,""
"org.axonframework.commandhandling","commandhandling","centralityHarmonic",0.22787610619469026,""
"org.axonframework.common.io","io","centralityHarmonic",0.2234513274336283,""
"org.axonframework.queryhandling","queryhandling","centralityHarmonic",0.2234513274336283,""
"org.axonframework.monitoring","monitoring","centralityHarmonic",0.22271386430678466,""
"org.axonframework.deadline","deadline","centralityHarmonic",0.21460176991150443,""
"org.axonframework.eventhandling.tokenstore","tokenstore","centralityHarmonic",0.2109144542772861,""
"org.axonframework.common.annotation","annotation","centralityHarmonic",0.193952802359882,""
"org.axonframework.messaging.correlation","correlation","centralityHarmonic",0.19174041297935102,""
"org.axonframework.util","util","centralityHarmonic",0.19174041297935102,""
"org.axonframework.eventhandling.async","async","centralityHarmonic",0.1887905604719764,""
"org.axonframework.eventhandling.replay","replay","centralityHarmonic",0.1887905604719764,""
"org.axonframework.serialization.upcasting.event","event","centralityHarmonic",0.1887905604719764,""
"org.axonframework.messaging.interceptors","interceptors","centralityHarmonic",0.17625368731563423,""
"org.axonframework.commandhandling.callbacks","callbacks","centralityHarmonic",0.1581120943952802,""
"org.axonframework.messaging.responsetypes","responsetypes","centralityHarmonic",0.1581120943952802,""
"org.axonframework.queryhandling.registration","registration","centralityHarmonic",0.14778761061946902,""
"org.axonframework.common.property","property","centralityHarmonic",0.1392330383480826,""
"org.axonframework.serialization.upcasting","upcasting","centralityHarmonic",0.1392330383480826,""
"org.axonframework.axonserver.connector","connector","centralityHarmonic",0.08849557522123894,""
"org.axonframework.axonserver.connector.util","util","centralityHarmonic",0.07079646017699115,""
"org.axonframework.axonserver.connector.event.util","util","centralityHarmonic",0.05752212389380531,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityHarmonic",0.05752212389380531,""
"org.axonframework.axonserver.connector.command","command","centralityHarmonic",0.05309734513274336,""
"org.axonframework.axonserver.connector.query","query","centralityHarmonic",0.05309734513274336,""
"org.axonframework.eventsourcing.snapshotting","snapshotting","centralityHarmonic",0.05309734513274336,""
"org.axonframework.modelling.saga","saga","centralityHarmonic",0.05309734513274336,""
"org.axonframework.axonserver.connector.event.axon","axon","centralityHarmonic",0.048672566371681415,""
"org.axonframework.test","test","centralityHarmonic",0.04424778761061947,""
"org.axonframework.axonserver.connector.processor","processor","centralityHarmonic",0.03687315634218288,""
"org.axonframework.axonserver.connector.query.subscription","subscription","centralityHarmonic",0.03687315634218288,""
"org.axonframework.eventhandling.scheduling","scheduling","centralityHarmonic",0.035398230088495575,""
"org.axonframework.messaging.deadletter","deadletter","centralityHarmonic",0.035398230088495575,""
"org.axonframework.modelling.saga.metamodel","metamodel","centralityHarmonic",0.035398230088495575,""
"org.axonframework.modelling.saga.repository","repository","centralityHarmonic",0.035398230088495575,""
"org.axonframework.eventsourcing","eventsourcing","centralityHarmonic",0.03392330383480826,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution","centralityHarmonic",0.027286135693215335,""
"org.axonframework.common.digest","digest","centralityHarmonic",0.02654867256637168,""
"org.axonframework.common.jpa","jpa","centralityHarmonic",0.02654867256637168,""
"org.axonframework.springboot","springboot","centralityHarmonic",0.02654867256637168,""
"org.axonframework.test.matchers","matchers","centralityHarmonic",0.02654867256637168,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat","centralityHarmonic",0.017699115044247787,""
"org.axonframework.common.jdbc","jdbc","centralityHarmonic",0.017699115044247787,""
"org.axonframework.common.legacyjpa","legacyjpa","centralityHarmonic",0.017699115044247787,""
"org.axonframework.modelling.command","command","centralityHarmonic",0.017699115044247787,""
"org.axonframework.modelling.command.inspection","inspection","centralityHarmonic",0.017699115044247787,""
"org.axonframework.modelling.saga.repository.jpa","jpa","centralityHarmonic",0.017699115044247787,""
"org.axonframework.serialization.xml","xml","centralityHarmonic",0.017699115044247787,""
"org.axonframework.springboot.util","util","centralityHarmonic",0.017699115044247787,""
"org.axonframework.test.deadline","deadline","centralityHarmonic",0.017699115044247787,""
"org.axonframework.actuator","actuator","centralityHarmonic",0.016224188790560472,""
"org.axonframework.actuator.axonserver","axonserver","centralityHarmonic",0.01327433628318584,""
"org.axonframework.springboot.service.connection","connection","centralityHarmonic",0.01327433628318584,""
"org.axonframework.springboot.util.jpa","jpa","centralityHarmonic",0.01327433628318584,""
"org.axonframework.commandhandling.distributed","distributed","centralityHarmonic",0.008849557522123894,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","centralityHarmonic",0.008849557522123894,""
"org.axonframework.common.lock","lock","centralityHarmonic",0.008849557522123894,""
"org.axonframework.deadline.jobrunr","jobrunr","centralityHarmonic",0.008849557522123894,""
"org.axonframework.eventhandling.deadletter.jpa","jpa","centralityHarmonic",0.008849557522123894,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa","centralityHarmonic",0.008849557522123894,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","centralityHarmonic",0.008849557522123894,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements","centralityHarmonic",0.008849557522123894,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa","centralityHarmonic",0.008849557522123894,""
"org.axonframework.springboot.autoconfig","autoconfig","centralityHarmonic",0.008849557522123894,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","centralityHarmonic",0.008849557522123894,""
"org.axonframework.test.eventscheduler","eventscheduler","centralityHarmonic",0.008849557522123894,""
"org.axonframework.test.utils","utils","centralityHarmonic",0.008849557522123894,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker","centralityHarmonic",0,""
"org.axonframework.axonserver.connector.heartbeat.source","source","centralityHarmonic",0,""
"org.axonframework.commandhandling.gateway","gateway","centralityHarmonic",0,""
"org.axonframework.common.caching","caching","centralityHarmonic",0,""
"org.axonframework.config","config","centralityHarmonic",0,""
"org.axonframework.deadline.annotation","annotation","centralityHarmonic",0,""
"org.axonframework.deadline.dbscheduler","dbscheduler","centralityHarmonic",0,""
"org.axonframework.deadline.quartz","quartz","centralityHarmonic",0,""
"org.axonframework.disruptor.commandhandling","commandhandling","centralityHarmonic",0,""
