"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.messaging.Message","Message","centralityArticleRank",0.5594421815348855,""
"org.axonframework.serialization.Serializer","Serializer","centralityArticleRank",0.27660531141267863,""
"org.axonframework.eventhandling.EventMessage","EventMessage","centralityArticleRank",0.24517432092609193,""
"org.axonframework.serialization.SerializedObject","SerializedObject","centralityArticleRank",0.22204412679414723,""
"org.axonframework.common.BuilderUtils","BuilderUtils","centralityArticleRank",0.18140295915166382,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken","centralityArticleRank",0.1647321316441642,""
"org.axonframework.messaging.MetaData","MetaData","centralityArticleRank",0.15485529276506035,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","centralityArticleRank",0.14657517125627362,""
"org.axonframework.messaging.annotation.MessageHandlingMember","MessageHandlingMember","centralityArticleRank",0.14372438134509033,""
"org.axonframework.serialization.SerializedType","SerializedType","centralityArticleRank",0.13385417630763058,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","centralityArticleRank",0.1318564667603941,""
"org.axonframework.common.AxonException","AxonException","centralityArticleRank",0.12088626875122938,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","centralityArticleRank",0.11836226404035312,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage","centralityArticleRank",0.11117252880859993,""
"org.axonframework.common.Assert","Assert","centralityArticleRank",0.099990105381363,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","centralityArticleRank",0.09918841262330295,""
"org.axonframework.tracing.Span","Span","centralityArticleRank",0.09170050732318513,""
"org.axonframework.modelling.saga.AssociationValue","AssociationValue","centralityArticleRank",0.07808143211380358,""
"org.axonframework.tracing.SpanScope","SpanScope","centralityArticleRank",0.07666870919949964,""
"org.axonframework.eventhandling.TrackedEventMessage","TrackedEventMessage","centralityArticleRank",0.07214130695326312,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder","EventSchema$Builder","centralityArticleRank",0.07153267690873438,""
"org.axonframework.tracing.SpanFactory","SpanFactory","centralityArticleRank",0.07014561899139304,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","centralityArticleRank",0.06978864809629848,""
"org.axonframework.messaging.ResultMessage","ResultMessage","centralityArticleRank",0.06380242594489063,""
"org.axonframework.config.Configuration","Configuration","centralityArticleRank",0.056633257684111635,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","centralityArticleRank",0.05572667401132693,""
"org.axonframework.messaging.MetaData$MetaDataCollector","MetaData$MetaDataCollector","centralityArticleRank",0.05347721481805133,""
"org.axonframework.deadline.DeadlineMessage","DeadlineMessage","centralityArticleRank",0.05255100949509955,""
"org.axonframework.common.AxonTransientException","AxonTransientException","centralityArticleRank",0.052152580273104696,""
"org.axonframework.commandhandling.distributed.CommandMessageFilter","CommandMessageFilter","centralityArticleRank",0.05060350073309549,""
"org.axonframework.messaging.deadletter.DeadLetter","DeadLetter","centralityArticleRank",0.05040330138538367,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","centralityArticleRank",0.049196861281919024,""
"org.axonframework.messaging.annotation.ParameterResolverFactory","ParameterResolverFactory","centralityArticleRank",0.04852499537669245,""
"org.axonframework.messaging.ScopeDescriptor","ScopeDescriptor","centralityArticleRank",0.04707048080338431,""
"org.axonframework.messaging.annotation.ParameterResolver","ParameterResolver","centralityArticleRank",0.04702748044285924,""
"org.axonframework.eventhandling.Segment","Segment","centralityArticleRank",0.04632988289398496,""
"org.axonframework.common.transaction.Transaction","Transaction","centralityArticleRank",0.0457922763881712,""
