"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",0,14,"org.axonframework.disruptor.commandhandling,org.axonframework.commandhandling.distributed,org.axonframework.common.io,org.axonframework.common.jpa,org.axonframework.common.lock,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.interceptors,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.queryhandling,org.axonframework.serialization.upcasting.event,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.test.aggregate,org.axonframework.springboot","commandhandling,distributed,io,jpa,lock,deadletter,interceptors,inmemory,queryhandling,event,jdbc,aggregate,springboot",""
"communityMaximumKCutId",6,4,"org.axonframework.commandhandling,org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.serialization.json","commandhandling,jdbc,jpa,json",""
"communityMaximumKCutId",11,8,"org.axonframework.commandhandling.callbacks,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.tokenstore,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.heartbeat.source,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.test.eventscheduler,org.axonframework.springboot.util","callbacks,legacyjpa,tokenstore,util,source,statements,eventscheduler",""
"communityMaximumKCutId",4,9,"org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.deadline.annotation,org.axonframework.deadline.dbscheduler,org.axonframework.eventhandling.gateway,org.axonframework.tracing.attributes,org.axonframework.axonserver.connector,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.snapshotting,org.axonframework.test.deadline","commandfilter,annotation,dbscheduler,gateway,attributes,connector,conflictresolution,snapshotting,deadline",""
"communityMaximumKCutId",1,10,"org.axonframework.commandhandling.gateway,org.axonframework.common.caching,org.axonframework.common.digest,org.axonframework.eventhandling.replay,org.axonframework.serialization.xml,org.axonframework.axonserver.connector.command,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga","gateway,caching,digest,replay,xml,command,jdbc,legacyjpa,saga",""
"communityMaximumKCutId",8,2,"org.axonframework.common,org.axonframework.axonserver.connector.heartbeat.connection.checker","common,checker",""
"communityMaximumKCutId",5,6,"org.axonframework.common.annotation,org.axonframework.common.transaction,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.tracing,org.axonframework.axonserver.connector.heartbeat,org.axonframework.axonserver.connector.event.util","annotation,transaction,jpa,tracing,heartbeat,util",""
"communityMaximumKCutId",2,6,"org.axonframework.common.jdbc,org.axonframework.common.stream,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event.axon,org.axonframework.modelling.saga.metamodel,org.axonframework.tracing.opentelemetry","jdbc,stream,query,axon,metamodel,opentelemetry",""
"communityMaximumKCutId",13,5,"org.axonframework.common.property,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.eventhandling.scheduling.dbscheduler,org.axonframework.messaging.deadletter,org.axonframework.monitoring","property,quartz,dbscheduler,deadletter,monitoring",""
"communityMaximumKCutId",14,6,"org.axonframework.deadline,org.axonframework.messaging.annotation,org.axonframework.messaging.responsetypes,org.axonframework.axonserver.connector.processor,org.axonframework.eventsourcing.eventstore,org.axonframework.actuator.axonserver","deadline,annotation,responsetypes,processor,eventstore,axonserver",""
"communityMaximumKCutId",15,3,"org.axonframework.deadline.jobrunr,org.axonframework.eventhandling.pooled,org.axonframework.axonserver.connector.query.subscription","jobrunr,pooled,subscription",""
"communityMaximumKCutId",12,3,"org.axonframework.deadline.quartz,org.axonframework.eventhandling,org.axonframework.springboot.service.connection","quartz,eventhandling,connection",""
"communityMaximumKCutId",9,4,"org.axonframework.eventhandling.async,org.axonframework.serialization,org.axonframework.modelling.command,org.axonframework.test.utils","async,serialization,command,utils",""
"communityMaximumKCutId",16,7,"org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.eventhandling.scheduling.java,org.axonframework.serialization.converters,org.axonframework.serialization.upcasting,org.axonframework.util,org.axonframework.eventsourcing.eventstore.inmemory","legacyjpa,jobrunr,java,converters,upcasting,util,inmemory",""
"communityMaximumKCutId",17,9,"org.axonframework.eventhandling.scheduling,org.axonframework.eventhandling.tokenstore.legacyjpa,org.axonframework.messaging.correlation,org.axonframework.queryhandling.registration,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository.jpa,org.axonframework.test.server,org.axonframework.springboot.util.jpa","scheduling,legacyjpa,correlation,registration,jpa,inspection,server",""
"communityMaximumKCutId",7,6,"org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.messaging.interceptors,org.axonframework.messaging.interceptors.legacyvalidation,org.axonframework.queryhandling.annotation,org.axonframework.eventsourcing,org.axonframework.test.saga","jdbc,interceptors,legacyvalidation,annotation,eventsourcing,saga",""
"communityMaximumKCutId",3,4,"org.axonframework.lifecycle,org.axonframework.messaging,org.axonframework.modelling.saga.repository,org.axonframework.springboot.autoconfig.legacyjpa","lifecycle,messaging,repository,legacyjpa",""
"communityMaximumKCutId",10,3,"org.axonframework.messaging.unitofwork,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.autoconfig","unitofwork,legacyjpa,autoconfig",""
"communityMaximumKCutId",18,2,"org.axonframework.config,org.axonframework.test.matchers","config,matchers",""
"communityMaximumKCutId",19,3,"org.axonframework.modelling.saga.repository.legacyjpa,org.axonframework.test,org.axonframework.actuator","legacyjpa,test,actuator",""
