"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",85,15,"org.axonframework.disruptor.commandhandling.AggregateBlacklistedException,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1,org.axonframework.modelling.command.ConflictingAggregateVersionException,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory,org.axonframework.serialization.SerializedMetaData,org.axonframework.common.caching.EhCacheAdapter,org.axonframework.eventhandling.TrackingEventProcessor$Worker,org.axonframework.queryhandling.SubscriptionQueryBackpressure,org.axonframework.serialization.json.JacksonSerializer$Builder,org.axonframework.tracing.attributes.MessageNameSpanAttributesProvider,org.axonframework.axonserver.connector.processor.EventProcessorControlService$AxonProcessorInstructionHandler,org.axonframework.eventsourcing.conflictresolution.ConflictResolution,org.axonframework.config.DefaultConfigurer,org.axonframework.config.SagaConfiguration,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$EntryImpl","AggregateBlacklistedException,CommandHandlerInvoker$1,ConflictingAggregateVersionException,AggregateTypeParameterResolverFactory,SerializedMetaData,EhCacheAdapter,TrackingEventProcessor$Worker,SubscriptionQueryBackpressure,JacksonSerializer$Builder,MessageNameSpanAttributesProvider,EventProcessorControlService$AxonProcessorInstructionHandler,ConflictResolution,DefaultConfigurer,SagaConfiguration,JpaSagaStore$EntryImpl",""
"communityMaximumKCutId",70,12,"org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.messaging.annotation.ClasspathParameterResolverFactory,org.axonframework.messaging.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.tracing.NoOpSpanFactory,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter,org.axonframework.messaging.RemoteNonTransientHandlingException,org.axonframework.commandhandling.gateway.CommandGatewayFactory$Builder,org.axonframework.eventhandling.SimpleEventBus$Builder,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder,org.axonframework.messaging.HandlerAttributes,org.axonframework.axonserver.connector.command.AxonServerCommandDispatchException","AggregateStateCorruptedException,RepositoryProvider,ClasspathParameterResolverFactory,SourceIdParameterResolverFactory$SourceIdParameterResolver,NoOpSpanFactory,NegateCommandMessageFilter,RemoteNonTransientHandlingException,CommandGatewayFactory$Builder,SimpleEventBus$Builder,DeadLetteringEventHandlerInvoker$Builder,HandlerAttributes,AxonServerCommandDispatchException",""
"communityMaximumKCutId",0,48,"org.axonframework.common.AxonTransientException,org.axonframework.eventsourcing.SnapshotTriggerDefinition,org.axonframework.messaging.ScopeDescriptor,org.axonframework.modelling.command.Aggregate,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.messaging.annotation.MessageHandlingMember,org.axonframework.common.Priority,org.axonframework.messaging.deadletter.DeadLetter,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.tracing.SpanScope,org.axonframework.commandhandling.distributed.ReplyMessage,org.axonframework.commandhandling.gateway.CommandGatewayFactory,org.axonframework.commandhandling.gateway.DefaultCommandGateway$Builder,org.axonframework.commandhandling.gateway.ExponentialBackOffIntervalRetryScheduler,org.axonframework.common.ProcessRetriesExhaustedException,org.axonframework.common.caching.WeakReferenceCache,org.axonframework.deadline.GenericDeadlineMessage,org.axonframework.eventhandling.DefaultEventBusSpanFactory,org.axonframework.eventhandling.AbstractEventProcessor$Builder,org.axonframework.messaging.deadletter.ThrowableCause,org.axonframework.eventhandling.pooled.MaxSegmentProvider,org.axonframework.eventhandling.tokenstore.ConfigToken,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry,org.axonframework.queryhandling.QueryMessage,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.serialization.MavenArtifactRevisionResolver,org.axonframework.axonserver.connector.util.ExecutorServiceBuilder,org.axonframework.axonserver.connector.command.AxonServerNonTransientRemoteCommandHandlingException,org.axonframework.axonserver.connector.query.subscription.SubscriptionMessageSerializer,org.axonframework.eventsourcing.snapshotting.SnapshotFilter,org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$AxonIQEventStorageEngine,org.axonframework.axonserver.connector.event.axon.AxonServerEventScheduler,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory$Builder,org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore,org.axonframework.eventsourcing.eventstore.jdbc.statements.CleanGapsStatementBuilder,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.SagaConfigurer$SagaConfigurationImpl,org.axonframework.modelling.command.CreationPolicy,org.axonframework.test.aggregate.ResultValidator,org.axonframework.test.matchers.NullOrVoidMatcher,org.axonframework.test.saga.WhenState,org.axonframework.test.saga.CommandValidator,org.axonframework.springboot.autoconfig.TransactionAutoConfiguration,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralXStreamCondition","AxonTransientException,SnapshotTriggerDefinition,ScopeDescriptor,Aggregate,DisruptorCommandBus$ExceptionHandler,MessageHandlingMember,Priority,DeadLetter,SimpleCommandBus,SpanScope,ReplyMessage,CommandGatewayFactory,DefaultCommandGateway$Builder,ExponentialBackOffIntervalRetryScheduler,ProcessRetriesExhaustedException,WeakReferenceCache,GenericDeadlineMessage,DefaultEventBusSpanFactory,AbstractEventProcessor$Builder,ThrowableCause,MaxSegmentProvider,ConfigToken,TokenEntry,QueryMessage,SubscriptionQueryResult,GenericSubscriptionQueryUpdateMessage,MavenArtifactRevisionResolver,ExecutorServiceBuilder,AxonServerNonTransientRemoteCommandHandlingException,SubscriptionMessageSerializer,SnapshotFilter,AxonServerEventStore$AxonIQEventStorageEngine,AxonServerEventScheduler,DefaultSnapshotterSpanFactory$Builder,RepositorySpanFactory,DefaultConflictResolver,EmbeddedEventStore,CleanGapsStatementBuilder,SQLErrorCodesResolver,DefaultConfigurer$ConfigurationImpl,SagaConfigurer$SagaConfigurationImpl,CreationPolicy,ResultValidator,NullOrVoidMatcher,WhenState,CommandValidator,TransactionAutoConfiguration,XStreamAutoConfiguration$XStreamConfiguredCondition$GeneralXStreamCondition",""
"communityMaximumKCutId",24,15,"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.messaging.unitofwork.ExecutionResult,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.commandhandling.distributed.MetaDataRoutingStrategy,org.axonframework.commandhandling.gateway.RetryingCallback$RetryDispatch,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterSchema,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder,org.axonframework.serialization.AnnotationRevisionResolver,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Builder,org.axonframework.modelling.command.inspection.ChildEntity,org.axonframework.modelling.saga.repository.CachingSagaStore$Builder,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.springboot.MetricsProperties","BlacklistDetectingCallback,ExecutionResult,AbstractMethodPropertyAccessStrategy,MetaDataRoutingStrategy,RetryingCallback$RetryDispatch,DeadLetterSchema,JobRunrEventScheduler,LoggingQueryInvocationErrorHandler$Builder,AnnotationRevisionResolver,EmbeddedEventStore$EventProducer,EmbeddedEventStore$Builder,ChildEntity,CachingSagaStore$Builder,PayloadsMatcher,MetricsProperties",""
"communityMaximumKCutId",98,15,"org.axonframework.disruptor.commandhandling.CommandHandlingEntry,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.messaging.annotation.MultiParameterResolverFactory,org.axonframework.common.digest.Digester,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.lock.PessimisticLockFactory,org.axonframework.eventhandling.EventData,org.axonframework.eventhandling.TrackingEventProcessor$MergeSegmentInstruction,org.axonframework.eventhandling.tokenstore.UnableToInitializeTokenException,org.axonframework.eventhandling.pooled.CoordinatorTask,org.axonframework.messaging.deadletter.InMemorySequencedDeadLetterQueue,org.axonframework.axonserver.connector.query.GrpcBackedQueryMessage,org.axonframework.axonserver.connector.event.axon.PersistentStreamMessageSourceDefinition,org.axonframework.config.EventProcessingModule,org.axonframework.modelling.command.AggregateVersion","CommandHandlingEntry,AnnotatedAggregateMetaModelFactory,MultiParameterResolverFactory,Digester,EhCacheAdapter$CacheEventListenerAdapter,PessimisticLockFactory,EventData,TrackingEventProcessor$MergeSegmentInstruction,UnableToInitializeTokenException,CoordinatorTask,InMemorySequencedDeadLetterQueue,GrpcBackedQueryMessage,PersistentStreamMessageSourceDefinition,EventProcessingModule,AggregateVersion",""
"communityMaximumKCutId",44,16,"org.axonframework.commandhandling.CommandResultMessage,org.axonframework.common.ObjectUtils,org.axonframework.queryhandling.QueryHandler,org.axonframework.eventhandling.replay.ReplayParameterResolverFactory$ReplayParameterResolver,org.axonframework.messaging.annotation.DefaultParameterResolverFactory$AnnotatedMetaDataParameterResolver,org.axonframework.commandhandling.RoutingKey,org.axonframework.common.property.MethodAccessedProperty,org.axonframework.serialization.ChainingConverter,org.axonframework.messaging.deadletter.Decisions,org.axonframework.eventhandling.deadletter.jdbc.DefaultDeadLetterJdbcConverter,org.axonframework.messaging.annotation.MultiHandlerEnhancerDefinition,org.axonframework.messaging.annotation.FixedValueParameterResolver,org.axonframework.serialization.upcasting.SingleEntryMultiUpcaster,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$1,org.axonframework.test.matchers.MatchAllFieldFilter","CommandResultMessage,ObjectUtils,QueryHandler,ReplayParameterResolverFactory$ReplayParameterResolver,DefaultParameterResolverFactory$AnnotatedMetaDataParameterResolver,RoutingKey,MethodAccessedProperty,ChainingConverter,Decisions,DefaultDeadLetterJdbcConverter,MultiHandlerEnhancerDefinition,FixedValueParameterResolver,SingleEntryMultiUpcaster,MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,MethodCreationPolicyDefinition$1,MatchAllFieldFilter",""
"communityMaximumKCutId",1,29,"org.axonframework.commandhandling.CommandMessage,org.axonframework.messaging.InterceptorChain,org.axonframework.messaging.MessageDispatchInterceptor,org.axonframework.monitoring.NoOpMessageMonitor,org.axonframework.messaging.annotation.HandlerEnhancerDefinition,org.axonframework.commandhandling.MethodCommandHandlerDefinition$1,org.axonframework.messaging.annotation.DefaultParameterResolverFactory,org.axonframework.commandhandling.CommandMessageHandlingMember,org.axonframework.messaging.unitofwork.DefaultUnitOfWork,org.axonframework.common.DateTimeUtils,org.axonframework.common.jdbc.DataSourceConnectionProvider,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.deadline.dbscheduler.DbSchedulerHumanReadableDeadlineDetails,org.axonframework.serialization.AbstractXStreamSerializer,org.axonframework.eventhandling.EventProcessingStrategy,org.axonframework.eventhandling.WrappedToken,org.axonframework.eventhandling.async.SequencingPolicy,org.axonframework.eventhandling.TrackingEventProcessor$SplitSegmentInstruction,org.axonframework.eventhandling.async.EventProcessorTask,org.axonframework.messaging.deadletter.Cause,org.axonframework.axonserver.connector.ServerConnectorConfigurerModule,org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder,org.axonframework.eventsourcing.conflictresolution.ConflictResolver,org.axonframework.eventsourcing.AbstractSnapshotter$Builder,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$1,org.axonframework.eventsourcing.snapshotting.RevisionSnapshotFilter,org.axonframework.config.ConfigurationScopeAwareProvider,org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder","CommandMessage,InterceptorChain,MessageDispatchInterceptor,NoOpMessageMonitor,HandlerEnhancerDefinition,MethodCommandHandlerDefinition$1,DefaultParameterResolverFactory,CommandMessageHandlingMember,DefaultUnitOfWork,DateTimeUtils,DataSourceConnectionProvider,JdbcUtils$SqlResultConverter,DbSchedulerHumanReadableDeadlineDetails,AbstractXStreamSerializer,EventProcessingStrategy,WrappedToken,SequencingPolicy,TrackingEventProcessor$SplitSegmentInstruction,EventProcessorTask,Cause,ServerConnectorConfigurerModule,AxonServerQueryBus$LocalSegmentAdapter,AbstractEventStorageEngine$Builder,ConflictResolver,AbstractSnapshotter$Builder,EmbeddedEventStore$1,RevisionSnapshotFilter,ConfigurationScopeAwareProvider,SagaSchema$Builder",""
"communityMaximumKCutId",92,16,"org.axonframework.commandhandling.GenericCommandResultMessage,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.messaging.annotation.MessageInterceptingMember,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter,org.axonframework.eventhandling.MultiStreamableMessageSource$IdentifiedStreamableMessageSource,org.axonframework.eventhandling.tokenstore.UnableToClaimTokenException,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler$Builder,org.axonframework.queryhandling.QueryInvocationErrorHandler,org.axonframework.axonserver.connector.query.AxonServerQueryBus$ActivityFinisher,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Node,org.axonframework.eventsourcing.eventstore.jdbc.statements.JdbcEventStorageEngineStatements,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$1,org.axonframework.config.Configuration$1,org.axonframework.modelling.saga.Saga,org.axonframework.test.aggregate.AggregateTestFixture$ComparationEntry,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration$XStreamConfiguredCondition","GenericCommandResultMessage,DisruptorCommandBus$FailureLoggingCommandCallback,MessageInterceptingMember,CommandNameFilter,MultiStreamableMessageSource$IdentifiedStreamableMessageSource,UnableToClaimTokenException,DbSchedulerEventScheduler$Builder,QueryInvocationErrorHandler,AxonServerQueryBus$ActivityFinisher,EmbeddedEventStore$Node,JdbcEventStorageEngineStatements,EmbeddedEventStore$1,Configuration$1,Saga,AggregateTestFixture$ComparationEntry,XStreamAutoConfiguration$XStreamConfiguredCondition",""
"communityMaximumKCutId",48,15,"org.axonframework.commandhandling.CommandCallback,org.axonframework.modelling.command.AnnotationCommandTargetResolver,org.axonframework.commandhandling.LoggingDuplicateCommandHandlerResolver,org.axonframework.messaging.deadletter.Ignore,org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler$Builder,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore,org.axonframework.messaging.annotation.MessageHandlerInvocationException,org.axonframework.queryhandling.QueryExecutionException,org.axonframework.serialization.json.JsonNodeToByteArrayConverter,org.axonframework.serialization.json.JsonNodeToObjectNodeConverter,org.axonframework.tracing.LoggingSpanFactory$Slf4jSpan$Slf4jSpanScope,org.axonframework.eventsourcing.AbstractSnapshotter$SilentTask,org.axonframework.eventsourcing.GenericAggregateFactory,org.axonframework.test.saga.GivenAggregateEventPublisher,org.axonframework.springboot.MetricsProperties$Micrometer","CommandCallback,AnnotationCommandTargetResolver,LoggingDuplicateCommandHandlerResolver,Ignore,JobRunrEventScheduler$Builder,JpaTokenStore,MessageHandlerInvocationException,QueryExecutionException,JsonNodeToByteArrayConverter,JsonNodeToObjectNodeConverter,LoggingSpanFactory$Slf4jSpan$Slf4jSpanScope,AbstractSnapshotter$SilentTask,GenericAggregateFactory,GivenAggregateEventPublisher,MetricsProperties$Micrometer",""
"communityMaximumKCutId",62,15,"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.messaging.annotation.ScopeDescriptorParameterResolverFactory$1,org.axonframework.commandhandling.distributed.Member,org.axonframework.lifecycle.Lifecycle$LifecycleHandler,org.axonframework.serialization.upcasting.Upcaster,org.axonframework.eventhandling.SimpleEventHandlerInvoker,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue,org.axonframework.eventhandling.scheduling.quartz.FireEventJob,org.axonframework.queryhandling.SubscriptionQueryUpdateMessage,org.axonframework.axonserver.connector.util.TokenAddingInterceptor$1,org.axonframework.eventsourcing.eventstore.jdbc.statements.DeleteSnapshotsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.MySqlEventTableFactory,org.axonframework.modelling.saga.ResourceInjector,org.axonframework.test.aggregate.StubAggregateLifecycleRule$1,org.axonframework.test.saga.SagaTestFixture$AggregateEventPublisherImpl","CommandHandlerInvoker,ScopeDescriptorParameterResolverFactory$1,Member,Lifecycle$LifecycleHandler,Upcaster,SimpleEventHandlerInvoker,JpaSequencedDeadLetterQueue,FireEventJob,SubscriptionQueryUpdateMessage,TokenAddingInterceptor$1,DeleteSnapshotsStatementBuilder,MySqlEventTableFactory,ResourceInjector,StubAggregateLifecycleRule$1,SagaTestFixture$AggregateEventPublisherImpl",""
