"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,0.29285202008128136,0.056004078138311875,176,"FixtureResourceParameterResolverFactory,MatcherExecutionException,PayloadsMatcher,FixtureResourceParameterResolverFactory$FailingParameterResolver,AggregateEntityNotFoundException,CommandHandlerInterceptor,ConflictingModificationException,SagaInstantiationException,EndSaga","org.axonframework.test.FixtureResourceParameterResolverFactory,org.axonframework.test.matchers.MatcherExecutionException,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.test.FixtureResourceParameterResolverFactory$FailingParameterResolver,org.axonframework.modelling.command.AggregateEntityNotFoundException,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.ConflictingModificationException,org.axonframework.modelling.saga.SagaInstantiationException,org.axonframework.modelling.saga.EndSaga",""
1,0.27415934565283245,0.04691009684009177,126,"SagaMethodMessageHandlerDefinition,EndSagaMessageHandlerDefinition,MethodCommandHandlerInterceptorDefinition,MethodCreationPolicyDefinition,ChildEntityDefinition,AggregateMemberAnnotatedChildEntityDefinition,AggregateMemberAnnotatedChildEntityMapDefinition,AggregateMemberAnnotatedChildEntityCollectionDefinition,AnnotatedAggregateMetaModelFactory","org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition,org.axonframework.modelling.command.inspection.ChildEntityDefinition,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityMapDefinition,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityCollectionDefinition,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory",""
2,0.30048959608323134,0.04462266412411141,75,"StubAggregateLifecycle,StubAggregateLifecycleExtension,AggregateTestFixture$InMemoryRepository,StubAggregateLifecycle$1,AggregateTestFixture$IdentifierValidatingRepository,StubAggregateLifecycleRule,StubAggregateLifecycleRule$1,AbstractRepository$Builder,AggregateModel","org.axonframework.test.aggregate.StubAggregateLifecycle,org.axonframework.test.aggregate.StubAggregateLifecycleExtension,org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository,org.axonframework.test.aggregate.StubAggregateLifecycle$1,org.axonframework.test.aggregate.AggregateTestFixture$IdentifierValidatingRepository,org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.test.aggregate.StubAggregateLifecycleRule$1,org.axonframework.modelling.command.AbstractRepository$Builder,org.axonframework.modelling.command.inspection.AggregateModel",""
3,0.3032640949554896,0.08057977660433512,124,"RecordingListenerInvocationErrorHandler,AxonServerContainerUtils,AxonServerContainer,RepositorySpanFactory,AggregateMetaModelFactory,ResourceInjector,SagaManagerSpanFactory,NoResourceInjector,AggregateConfiguration","org.axonframework.test.saga.RecordingListenerInvocationErrorHandler,org.axonframework.test.server.AxonServerContainerUtils,org.axonframework.test.server.AxonServerContainer,org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.modelling.command.inspection.AggregateMetaModelFactory,org.axonframework.modelling.saga.ResourceInjector,org.axonframework.modelling.saga.SagaManagerSpanFactory,org.axonframework.modelling.saga.repository.NoResourceInjector,org.axonframework.config.AggregateConfiguration",""
4,0.28599033816425123,0.05612954250760433,115,"AnnotatedAggregate$LazyIdentifierDomainEventMessage,AbstractSagaEntry,ContentTypeConverter,ByteArrayToInputStreamConverter,BlobToInputStreamConverter,InputStreamToByteArrayConverter,ByteArrayToStringConverter,StringToByteArrayConverter,MetaData","org.axonframework.modelling.command.inspection.AnnotatedAggregate$LazyIdentifierDomainEventMessage,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.serialization.ContentTypeConverter,org.axonframework.serialization.converters.ByteArrayToInputStreamConverter,org.axonframework.serialization.converters.BlobToInputStreamConverter,org.axonframework.serialization.converters.InputStreamToByteArrayConverter,org.axonframework.serialization.converters.ByteArrayToStringConverter,org.axonframework.serialization.converters.StringToByteArrayConverter,org.axonframework.messaging.MetaData",""
5,0.28803905614320585,0.03516712810775392,65,"ResultValidatorImpl,Reporter,FieldFilter,DeadlineManagerValidator,StubDeadlineManager,Matchers,PayloadMatcher,MapEntryMatcher,FixtureExecutionException","org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.test.aggregate.Reporter,org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineManagerValidator,org.axonframework.test.deadline.StubDeadlineManager,org.axonframework.test.matchers.Matchers,org.axonframework.test.matchers.PayloadMatcher,org.axonframework.test.matchers.MapEntryMatcher,org.axonframework.test.FixtureExecutionException",""
6,0.2657362574765024,0.05018887171270718,115,"SagaTestFixture$StubAwareCommandGatewayFactory$Builder,SagaTestFixture$StubAwareCommandGatewayFactory,RecordingCommandBus,CommandValidator,SagaTestFixture$ReturnResultFromStub,CallbackBehavior,DefaultCallbackBehavior,AggregateAnnotationCommandHandler,AggregateCreationPolicy","org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory$Builder,org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory,org.axonframework.test.utils.RecordingCommandBus,org.axonframework.test.saga.CommandValidator,org.axonframework.test.saga.SagaTestFixture$ReturnResultFromStub,org.axonframework.test.utils.CallbackBehavior,org.axonframework.test.utils.DefaultCallbackBehavior,org.axonframework.modelling.command.AggregateAnnotationCommandHandler,org.axonframework.modelling.command.AggregateCreationPolicy",""
7,0.35439795046968403,0.043447503208125085,72,"DefaultRepositorySpanFactory$Builder,DefaultRepositorySpanFactory,SpanFactory,Span,UnitOfWork,CurrentUnitOfWork,RollbackConfigurationType,NoOpSpanFactory,DefaultUnitOfWork","org.axonframework.modelling.command.DefaultRepositorySpanFactory$Builder,org.axonframework.modelling.command.DefaultRepositorySpanFactory,org.axonframework.tracing.SpanFactory,org.axonframework.tracing.Span,org.axonframework.messaging.unitofwork.UnitOfWork,org.axonframework.messaging.unitofwork.CurrentUnitOfWork,org.axonframework.messaging.unitofwork.RollbackConfigurationType,org.axonframework.tracing.NoOpSpanFactory,org.axonframework.messaging.unitofwork.DefaultUnitOfWork",""
8,0.3025672371638142,0.04452341743705012,71,"AggregateRolledBackException,AggregateInvocationException,AggregateStreamCreationException,DeadLetterParameterResolverFactory,BuilderUtils,ObjectUtils,CommandDispatchException,AxonException,ServiceRegistryException","org.axonframework.modelling.command.AggregateRolledBackException,org.axonframework.modelling.command.AggregateInvocationException,org.axonframework.modelling.command.AggregateStreamCreationException,org.axonframework.messaging.deadletter.DeadLetterParameterResolverFactory,org.axonframework.common.BuilderUtils,org.axonframework.common.ObjectUtils,org.axonframework.commandhandling.distributed.CommandDispatchException,org.axonframework.common.AxonException,org.axonframework.commandhandling.distributed.ServiceRegistryException",""
9,0.25157232704402516,0.005122813055498617,15,"Registration,AbstractCacheAdapter,Cache$EntryListener,Cache$EntryListenerAdapter,EhCache3Adapter$1,EhCache3Adapter,EhCache3Adapter$CacheEventListenerAdapter,EhCacheAdapter$CacheEventListenerAdapter,EhCacheAdapter","org.axonframework.common.Registration,org.axonframework.common.caching.AbstractCacheAdapter,org.axonframework.common.caching.Cache$EntryListener,org.axonframework.common.caching.Cache$EntryListenerAdapter,org.axonframework.common.caching.EhCache3Adapter$1,org.axonframework.common.caching.EhCache3Adapter,org.axonframework.common.caching.EhCache3Adapter$CacheEventListenerAdapter,org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.caching.EhCacheAdapter",""
