"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,0.2748965181397614,0.048972936469589896,129,"AggregateBlacklistedException,AggregateStateCorruptedException,BlacklistDetectingCallback,CommandHandlingEntry,CommandHandlingEntry$1,CommandHandlingEntry$RepeatingCommandHandler,EventPublisher,EventPublisher$1,EventPublisher$ReportResultTask","org.axonframework.disruptor.commandhandling.AggregateBlacklistedException,org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.CommandHandlingEntry,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$1,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$RepeatingCommandHandler,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.EventPublisher$1,org.axonframework.disruptor.commandhandling.EventPublisher$ReportResultTask",""
1,0.26076510811310294,0.06354892411133492,103,"BuilderUtils,AxonTransientException,ObjectUtils,AbstractRetryScheduler$Builder,AxonNonTransientExceptionClassesPredicate,AbstractRetryScheduler,NonTransientExceptionClassesPredicate,ExponentialBackOffIntervalRetryScheduler$Builder,ExponentialBackOffIntervalRetryScheduler","org.axonframework.common.BuilderUtils,org.axonframework.common.AxonTransientException,org.axonframework.common.ObjectUtils,org.axonframework.commandhandling.gateway.AbstractRetryScheduler$Builder,org.axonframework.commandhandling.gateway.AxonNonTransientExceptionClassesPredicate,org.axonframework.commandhandling.gateway.AbstractRetryScheduler,org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate,org.axonframework.commandhandling.gateway.ExponentialBackOffIntervalRetryScheduler$Builder,org.axonframework.commandhandling.gateway.ExponentialBackOffIntervalRetryScheduler",""
2,0.29282634261074086,0.03091631515470852,66,"CommandResultMessage,AbstractDeadlineManager,DeadlineMessage,DeadlineHandler,SimpleResourceInjector,ResultValidatorImpl,Reporter,FieldFilter,DeadlineManagerValidator","org.axonframework.commandhandling.CommandResultMessage,org.axonframework.deadline.AbstractDeadlineManager,org.axonframework.deadline.DeadlineMessage,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.modelling.saga.SimpleResourceInjector,org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.test.aggregate.Reporter,org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineManagerValidator",""
3,0.38453304789938453,0.03750737656678298,127,"DisruptorUnitOfWork,AnnotatedMessageHandlingMemberDefinition,CurrentUnitOfWorkParameterResolverFactory,InterceptorChainParameterResolverFactory,ConcludesBatchParameterResolverFactory,TimestampParameterResolverFactory,ReplayParameterResolverFactory,ReplayContextParameterResolverFactory,DefaultParameterResolverFactory","org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork,org.axonframework.messaging.annotation.AnnotatedMessageHandlingMemberDefinition,org.axonframework.commandhandling.CurrentUnitOfWorkParameterResolverFactory,org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory,org.axonframework.eventhandling.ConcludesBatchParameterResolverFactory,org.axonframework.eventhandling.TimestampParameterResolverFactory,org.axonframework.eventhandling.replay.ReplayParameterResolverFactory,org.axonframework.eventhandling.replay.ReplayContextParameterResolverFactory,org.axonframework.messaging.annotation.DefaultParameterResolverFactory",""
4,0.31119090365050867,0.038485900518780876,84,"CommandHandlerInvoker,CommandHandlerInvoker$1,CommandHandlerInvoker$DisruptorRepository,FirstLevelCache,DisruptorCommandBus,DisruptorCommandBus$FailureLoggingCommandCallback,DisruptorCommandBus$1,DisruptorCommandBus$Builder,DisruptorCommandBus$DisruptorRepository","org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.FirstLevelCache,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository",""
5,0.2551068883610451,0.05158412005754464,142,"PropertyAccessStrategy,UniformPropertyAccessStrategy,BeanPropertyAccessStrategy,DirectPropertyAccessStrategy,HandlerDefinition,HandlerEnhancerDefinition,MethodCommandHandlerDefinition,DeadlineMethodMessageHandlerDefinition,ReplayAwareMessageHandlerWrapper","org.axonframework.common.property.PropertyAccessStrategy,org.axonframework.common.property.UniformPropertyAccessStrategy,org.axonframework.common.property.BeanPropertyAccessStrategy,org.axonframework.common.property.DirectPropertyAccessStrategy,org.axonframework.messaging.annotation.HandlerDefinition,org.axonframework.messaging.annotation.HandlerEnhancerDefinition,org.axonframework.commandhandling.MethodCommandHandlerDefinition,org.axonframework.deadline.annotation.DeadlineMethodMessageHandlerDefinition,org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper",""
6,0.3174284279256655,0.07840215831433864,141,"RollbackConfiguration,MessageHandlerInterceptorSupport,MessageDispatchInterceptorSupport,MessageHandlerInterceptor,DefaultInterceptorChain,Distributed,Lifecycle,Lifecycle$LifecycleRegistry,Lifecycle$LifecycleHandler","org.axonframework.messaging.unitofwork.RollbackConfiguration,org.axonframework.messaging.MessageHandlerInterceptorSupport,org.axonframework.messaging.MessageDispatchInterceptorSupport,org.axonframework.messaging.MessageHandlerInterceptor,org.axonframework.messaging.DefaultInterceptorChain,org.axonframework.messaging.Distributed,org.axonframework.lifecycle.Lifecycle,org.axonframework.lifecycle.Lifecycle$LifecycleRegistry,org.axonframework.lifecycle.Lifecycle$LifecycleHandler",""
7,0.31070315206096294,0.06181432816765594,148,"ContentTypeConverter,ByteArrayToInputStreamConverter,BlobToInputStreamConverter,InputStreamToByteArrayConverter,ByteArrayToStringConverter,StringToByteArrayConverter,MetaData,NoTransactionManager,Serializer","org.axonframework.serialization.ContentTypeConverter,org.axonframework.serialization.converters.ByteArrayToInputStreamConverter,org.axonframework.serialization.converters.BlobToInputStreamConverter,org.axonframework.serialization.converters.InputStreamToByteArrayConverter,org.axonframework.serialization.converters.ByteArrayToStringConverter,org.axonframework.serialization.converters.StringToByteArrayConverter,org.axonframework.messaging.MetaData,org.axonframework.common.transaction.NoTransactionManager,org.axonframework.serialization.Serializer",""
8,0.29165628891656287,0.04676535960142981,110,"SequenceNumberParameterResolverFactory,SourceIdParameterResolverFactory,CollectionUtils,PersistenceExceptionResolver,DomainEventData,DomainEventMessage,EventBusSpanFactory,TrackedEventData,EventUpcaster","org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.messaging.annotation.SourceIdParameterResolverFactory,org.axonframework.common.CollectionUtils,org.axonframework.common.jdbc.PersistenceExceptionResolver,org.axonframework.eventhandling.DomainEventData,org.axonframework.eventhandling.DomainEventMessage,org.axonframework.eventhandling.EventBusSpanFactory,org.axonframework.eventhandling.TrackedEventData,org.axonframework.serialization.upcasting.event.EventUpcaster",""
9,0.19296904852884983,0.0682945460590289,86,"TrackingTokenParameterResolverFactory,TransactionManager,IOUtils,BlockingStream,StreamUtils,StreamUtils$1,Segment,WrappedTrackerStatus,EventTrackerStatus","org.axonframework.eventhandling.TrackingTokenParameterResolverFactory,org.axonframework.common.transaction.TransactionManager,org.axonframework.common.io.IOUtils,org.axonframework.common.stream.BlockingStream,org.axonframework.common.stream.StreamUtils,org.axonframework.common.stream.StreamUtils$1,org.axonframework.eventhandling.Segment,org.axonframework.eventhandling.WrappedTrackerStatus,org.axonframework.eventhandling.EventTrackerStatus",""
