"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.10.0","javax.annotation",13,105,41,"Nonnull,Nullable",""
"axon-configuration-4.10.0","org.slf4j",11,32,41,"LoggerFactory,Logger",""
"axon-disruptor-4.10.0","org.slf4j",12,22,22,"LoggerFactory,Logger",""
"axon-disruptor-4.10.0","com.lmax.disruptor",9,25,22,"RingBuffer,ExceptionHandler,WaitStrategy,BlockingWaitStrategy,EventHandler,LifecycleAware",""
"axon-disruptor-4.10.0","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.10.0","com.lmax.disruptor.dsl",5,21,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-disruptor-4.10.0","WeakValue",1,2,22,"WeakValue",""
"axon-eventsourcing-4.10.0","javax.annotation",29,99,133,"Nonnull,Nullable,PreDestroy",""
"axon-eventsourcing-4.10.0","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.10.0","jakarta.persistence",11,48,133,"TypedQuery,EntityManager,Query,Table,Index,Entity,EntityExistsException,Id,IdClass,MappedSuperclass",""
"axon-eventsourcing-4.10.0","javax.persistence",11,48,133,"Query,TypedQuery,EntityManager,Table,Index,Entity,MappedSuperclass,Id,IdClass,EntityExistsException",""
"axon-messaging-4.10.0","javax.annotation",247,1191,787,"Nonnull,Nullable",""
"axon-messaging-4.10.0","org.slf4j",141,437,787,"Logger,LoggerFactory",""
"axon-messaging-4.10.0","com.fasterxml.jackson.annotation",53,81,787,"JsonGetter,JsonProperty,JsonCreator,JsonIgnore,JsonTypeInfo$Id,JsonTypeInfo,JsonTypeInfo$As",""
"axon-messaging-4.10.0","javax.persistence",44,174,787,"Index,Entity,Id,Column,Lob,Table,Embedded,Basic,GeneratedValue,MappedSuperclass,EntityManager,TypedQuery,NoResultException,Query,Embeddable,LockModeType,IdClass",""
"axon-messaging-4.10.0","jakarta.persistence",40,168,787,"Embedded,Column,Table,Id,Basic,Entity,Index,Lob,TypedQuery,EntityManager,LockModeType,MappedSuperclass,GeneratedValue,Embeddable,IdClass,Query,NoResultException",""
"axon-messaging-4.10.0","org.quartz",35,185,787,"JobDataMap,SchedulerException,JobDetail,TriggerBuilder,Trigger,SchedulerContext,JobKey,JobBuilder,Scheduler,Job,JobExecutionContext,JobExecutionException",""
"axon-messaging-4.10.0","reactor.core.publisher",35,142,787,"Signal,Flux,Mono,Sinks,EmitterProcessor,FluxSink$OverflowStrategy,Sinks$Many,Sinks$ManySpec,Sinks$MulticastReplaySpec,ConnectableFlux,FluxSink,MonoSink,Sinks$EmitResult",""
"axon-messaging-4.10.0","com.fasterxml.jackson.databind",15,65,787,"JsonNode,ObjectMapper,ObjectWriter,ObjectReader,ObjectMapper$DefaultTyping,DeserializationFeature,DeserializationContext,JsonDeserializer",""
"axon-messaging-4.10.0","org.reactivestreams",13,37,787,"Publisher",""
