"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.test.FixtureResourceParameterResolverFactory","FixtureResourceParameterResolverFactory","embeddingsFastRandomProjection","0.18308629,-0.107610136,-0.008841936,-0.06345998,-0.16587418,-0.07001232,0.10924138,-0.2980782,0.04387953,0.07517681,0.012141898,0.2588386,0.5559956,-0.06479105,0.16127034,0.039542526,0.099935874,0.36640173,0.384695,-0.2204569,0.1055945,0.14021716,0.18900299,-0.208891,-0.055021346,0.110975504,-0.1743021,0.01814022,-0.00022391975,-0.08878775,0.23869687,-0.22496575,-0.0036275592,-0.25427946,0.09267897,-0.43264237,-0.112323806,0.1319881,0.15139735,0.03241823,-0.104968175,0.030843504,0.33465904,0.033091016,0.36931777,0.17289585,-0.008034911,0.16942021,-0.35706204,0.025805917,-0.05700013,0.005530644,0.043766867,0.16974348,-0.18407074,0.06331338,-0.10541284,-0.18210778,-0.08206709,0.12199043,-0.15492487,0.5656336,0.11074745,-0.12407814",""
"org.axonframework.messaging.annotation.ParameterResolverFactory","ParameterResolverFactory","embeddingsFastRandomProjection","0.04269752,-0.15587841,-0.08812944,0.1402505,-0.2698769,-0.15253393,-0.0702239,-0.03117589,0.4347472,0.07517472,0.05428914,0.20331565,0.5136248,0.20574708,0.036837306,-0.16254601,0.15531935,0.12023337,0.14303426,0.023725117,0.03635547,0.33042502,0.025093222,-0.1030293,-0.028721116,-0.04306551,-0.0804844,-0.1828416,-0.53770536,-0.08197675,0.06842864,-0.26487052,-0.02576342,0.12155388,-0.20314926,0.16122791,-0.011462866,0.17973655,0.06979138,0.006228662,-0.24790919,0.0071852244,0.24742103,-0.37893912,0.40465403,0.03289221,0.26111433,0.084113084,-0.17054234,-0.16395988,0.104419574,0.3206408,0.29148436,0.5324733,-0.37979066,0.026894487,-0.098170385,0.13649222,-0.5223038,0.021219242,0.26786292,0.1783377,-0.008888645,0.028831478",""
"org.axonframework.common.Priority","Priority","embeddingsFastRandomProjection","0.25107038,-0.01957161,0.17710161,0.0803586,-0.19918293,-0.113876656,0.10418433,-0.3890099,0.25036442,0.21626106,0.11377632,0.20197558,0.26879412,-0.054129254,0.27203816,-0.25702834,0.3354371,0.26776382,0.272282,-0.06268194,0.1426612,0.09186138,0.12935299,0.015672559,-0.19324298,0.21164154,-0.3193965,0.14735968,0.03603696,0.15106615,-0.06844257,-0.40795338,-0.13876143,0.005322746,0.26835433,-0.30223906,0.13469274,-0.14693835,0.2657238,0.027951948,0.13490242,0.31312606,0.14065817,-0.18918903,0.2221458,-0.09973588,0.117333464,0.20907062,-0.49003994,0.2316654,-0.15303795,0.091032594,0.07353374,0.22820735,-0.015282959,-0.0857656,0.19791907,-0.09173886,-0.16152924,0.035749696,0.042615168,0.2899208,0.30827639,-0.19396055",""
"org.axonframework.messaging.annotation.ParameterResolver","ParameterResolver","embeddingsFastRandomProjection","0.25908005,-0.008374561,0.2426764,0.12983705,-0.3953125,-0.36079994,0.070165515,-0.5223044,0.19126353,0.2378099,0.124489635,0.22826889,0.37081876,0.026066525,0.18725123,-0.22115898,0.40353674,0.24249677,0.33740664,-0.007955661,0.27328146,0.049097758,0.23695031,0.03953818,-0.15653801,0.24832428,-0.22293621,0.109844536,-0.1188915,-0.024871975,-0.02803278,-0.37337524,-0.10254243,0.032369096,0.2389782,-0.23590387,0.0525781,0.08566324,0.21905088,0.09227906,0.20176208,0.3110914,0.18101381,-0.025954815,0.31102708,-0.11987759,0.24890026,0.14977801,-0.6401638,0.19982153,-0.08897131,0.08114352,0.042352576,0.27696815,-0.06219599,-0.039919943,0.29085457,-0.052331597,-0.072640315,0.12109202,0.10888532,0.45368055,0.37845078,-0.082846",""
"org.axonframework.test.FixtureResourceParameterResolverFactory$FailingParameterResolver","FixtureResourceParameterResolverFactory$FailingParameterResolver","embeddingsFastRandomProjection","0.06894982,0.005035393,0.03618673,-0.14597332,-0.03778435,-0.007849164,-0.060501747,-0.19339049,-0.11740585,0.06708324,0.07051595,0.1723758,0.5666282,0.063333355,0.16540965,0.1711123,-0.13343802,0.39385808,0.41494828,-0.09901433,0.05880376,-0.11042837,0.12935045,-0.25945908,-0.06514616,0.3833257,-0.2511794,0.0034550056,0.1728495,-0.049765095,0.23165487,-0.17003459,0.059383214,-0.09942236,-0.05510825,-0.36722726,0.0062271105,0.07410139,-0.06295432,0.05410786,-0.33195305,-0.13934231,0.44343728,-0.18372269,0.37292576,0.09724094,0.05891506,0.039382607,-0.2682433,-0.055612426,-0.041965716,-0.13620359,0.08921519,-0.054364547,-0.15569836,-0.09485048,0.043116093,-0.22885253,-0.081175335,0.38921183,-0.29786283,0.5199643,0.1702194,-0.12492615",""
"org.axonframework.test.aggregate.StubAggregateLifecycle","StubAggregateLifecycle","embeddingsFastRandomProjection","0.1667425,0.31313264,-0.19368733,-0.24510139,-0.2938762,-0.03238114,0.085417494,-0.11168039,0.023579463,0.00059390254,0.10325838,-0.08005043,0.3283522,-0.04293556,-0.25691596,-0.0046793446,0.02195141,0.16431555,-0.24469681,-0.13515012,0.31543827,-0.09672644,-0.05207292,-0.09612329,-0.22350371,0.12471373,0.03148198,-0.15649912,-0.024916718,-0.0035710484,0.20653908,0.09467934,-0.042853557,-0.28295764,0.33016735,-0.045910925,0.3101971,-0.09918566,-0.06637651,-0.063058235,-0.33965513,0.029871896,0.06742654,0.09917652,-0.2623971,0.08878343,0.11379511,0.22220919,-0.27141568,-0.073267326,-0.13021062,-0.24350238,-0.1720359,0.07985043,-0.02493754,-0.269232,-0.077883616,-0.2945117,-0.011104539,0.056921214,0.5972135,0.10057297,0.085810885,-0.038464986",""
"org.axonframework.messaging.Message","Message","embeddingsFastRandomProjection","-0.3754637,0.07489377,-0.047267474,0.18191223,-0.4425748,-0.2555933,0.26077476,-0.40007907,0.20184314,0.14821056,0.12029441,0.015008794,0.2197999,0.22019692,0.18546778,-0.20969582,0.21867509,0.12982999,0.23978132,0.107883126,0.034406282,0.1259102,0.093967184,-0.23389392,-0.084928125,0.60556084,-0.24663445,0.14079466,-0.19263655,-0.2741331,-0.090026915,-0.33129844,0.05749787,0.01209072,-0.13648868,-0.05947429,-0.0018425863,0.14056288,0.020534351,0.1632701,-0.14850007,0.2419324,0.2988552,-0.21193865,0.29081345,-0.07883705,0.2758749,0.016074285,-0.48308927,-0.0019968874,0.09174962,-0.077582486,0.046105172,0.2321344,-0.156917,0.0037448849,0.3398734,0.10400582,-0.23522109,0.46871865,0.3194738,0.19811687,0.39349884,-0.04183641",""
"org.axonframework.eventhandling.EventMessage","EventMessage","embeddingsFastRandomProjection","-0.16272125,-0.22184843,-0.19890143,0.046764113,-0.2510803,-0.0856944,0.18815541,0.15435334,-0.026098927,0.16286236,0.29792976,-0.021570351,0.18836987,0.47151434,-0.015455376,-0.13114047,-0.039624024,-0.045108207,0.20829809,0.2692036,-0.22273824,-0.05901416,0.018960781,-0.20176208,0.053116806,0.38429266,0.06726509,-0.34763628,-0.24403998,0.40022308,-0.18420967,-0.11114901,0.23114261,0.2503199,0.026109032,0.22035322,0.044433128,-0.11880621,0.11930046,-0.2418754,-0.46248937,0.07878406,0.17520589,-0.3853889,0.25907674,-0.017153367,0.49388096,-0.107091635,-0.25012913,-0.11853502,0.3018274,0.117010914,0.2418778,0.43422735,-0.20343642,0.010175219,-0.07266414,-0.06446235,-0.2101675,-0.043760985,0.37889567,0.18808737,0.15925154,-0.083226055",""
"org.axonframework.modelling.command.AggregateLifecycle","AggregateLifecycle","embeddingsFastRandomProjection","0.028626671,0.18357275,-0.14761892,-0.10344683,-0.18033677,0.083472855,-0.20936872,-0.22775201,0.24846019,0.122805774,-0.06556837,0.005481912,0.39443195,0.14572074,0.064917475,-0.07998918,0.09344651,0.101640575,0.29767072,0.070953436,0.5076386,-0.21065274,-0.14100114,-0.21248025,-0.18546465,0.21779566,-0.32107258,-0.3540626,0.09276683,-0.10015363,0.30027676,-0.08793943,-0.3384385,-0.030698631,0.028723061,-0.031124685,0.2803833,0.07060319,-0.037665885,-0.049549524,-0.22132003,-0.1017411,0.12289809,0.072437644,0.0760639,0.24248813,0.33494672,0.15641451,-0.5786602,-0.19945335,0.074244656,-0.1474145,0.14105383,0.06238076,-0.046679202,-0.20455515,-0.22682826,-0.09599407,0.12368516,0.1778949,0.44816953,0.04380242,0.22073534,0.23758191",""
"org.axonframework.modelling.command.ApplyMore","ApplyMore","embeddingsFastRandomProjection","-0.060051527,0.29877192,-0.27435958,-0.09500986,-0.26989964,-0.072691694,-0.27733356,-0.23873894,0.12404747,0.23308867,0.21366045,-0.024461098,0.35042953,0.08135083,-0.09901021,-0.20086902,0.06971184,0.13768895,-0.05383964,0.06524833,0.40939772,-0.06027175,-0.25470042,0.057434514,-0.14957024,0.26028153,-0.22445531,-0.4527344,0.1028319,-0.22833386,0.3969928,0.09143704,-0.1618447,-0.256751,0.2817651,-0.08864885,0.36188,0.20195262,0.21980731,-0.14063631,-0.20502019,-0.23618871,0.060334332,0.016627833,-0.0025387798,0.18226445,0.081376724,-0.10415772,-0.44433284,-0.21057169,0.12194662,-0.08181625,-0.0611863,0.20168492,-0.029441446,-0.13120486,-0.295353,-0.2944964,-0.13264549,0.048246056,0.5253332,0.26785707,-0.1243087,-0.077557206",""
