"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.disruptor.commandhandling.AggregateBlacklistedException","AggregateBlacklistedException","embeddingsNode2Vec","-0.21782088,0.3828827,-0.21355602,0.13184369,-0.1633749,0.42709816,0.13470462,-0.7847023,0.45527557,0.1952484,0.28900358,0.6553375,1.1984874,-0.26691595,0.3147995,0.35629854,0.18922018,-0.22226529,-0.061242234,0.1187467,-0.46664417,0.48652482,0.5295266,0.216051,0.12710047,-0.4872896,0.51328486,0.53857744,0.2858506,-0.3016923,-0.49444535,0.26930946,0.33944198,0.050391547,0.25056762,-1.3114225,-0.30452567,0.47227105,-0.29290062,0.49406692,0.15682939,0.543004,0.039052885,1.51522,-0.48031494,0.02384781,-0.06940467,0.44339696,-0.13503006,0.12807333,-0.3663422,0.39525634,0.084545255,0.25625047,0.13827305,-0.98125094,-0.035110265,0.26103956,0.20192233,-0.0045764763,-0.6509506,0.56086224,0.41731122,0.28329316",""
"org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException","AggregateStateCorruptedException","embeddingsNode2Vec","-0.76512855,0.3490074,-0.04592624,0.037672367,-0.1389542,0.23144697,0.030456178,-0.74984634,0.5278078,0.10190262,0.099558614,0.4341821,1.2163699,0.16778931,0.22281855,0.32485017,0.22655885,-0.029637769,-0.0013909063,0.43027797,-0.016593622,0.47196326,0.7718877,0.4637219,0.045280892,-0.5278606,0.457697,0.55079794,0.38853943,-0.27758625,-0.53004044,0.30716503,0.27365705,0.08446528,0.19472435,-1.1505309,-0.05409895,0.30953172,-0.47244477,0.26042914,0.27378276,0.4449623,-0.09298561,1.510845,-0.57006544,-0.039351292,-0.16072613,0.6230112,-0.4158123,0.21797284,-0.3838452,0.3291036,0.13608642,0.22862394,0.31185246,-0.82863927,-0.37644297,0.4639489,0.09449389,-0.20625596,-0.7045225,0.65983045,0.47169495,0.2840489",""
"org.axonframework.common.AxonTransientException","AxonTransientException","embeddingsNode2Vec","-1.0005136,0.3144618,0.22980253,0.08645588,-0.35538036,-0.014297159,-0.2214745,-0.15762447,0.7107842,0.19775984,-0.3518909,0.25783184,1.207297,0.17141293,0.44704002,0.3439577,0.10218419,-0.068092,0.23754777,0.63478255,-0.16723092,0.2580808,0.93240607,0.51508504,0.10297964,-0.7150705,0.28537804,0.51100725,0.31701413,-0.06487452,-0.24487828,-0.13453843,-0.30553344,0.10338775,-0.7154385,-1.107598,-0.07065274,0.3043125,-0.67298883,-0.05982171,0.44424185,0.43708998,0.17935741,0.76879436,-0.34485173,-0.44829088,-0.3048627,0.8840594,-0.33910033,0.16065337,-0.4760792,0.83876914,-0.3220041,0.2505452,0.47148517,-0.49233407,-0.6061245,0.77585816,-0.2333817,-0.16856368,-0.51231533,0.530697,-0.010660057,0.6074928",""
"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback","BlacklistDetectingCallback","embeddingsNode2Vec","0.073903635,0.4459705,-0.26141378,-0.44443667,-0.38530824,0.46067685,0.35593364,-0.6833104,0.33523932,0.095770694,0.52771443,0.32529837,0.97449565,-0.27879426,0.09708994,0.39117885,-0.06176202,0.15050809,-0.24442881,-0.17762315,-0.21195456,0.49528903,0.3105626,0.17900892,-0.11527312,-0.4782736,0.5915739,0.6128094,0.11145658,-0.5442607,-0.4421169,0.47669506,0.25554547,0.020833049,-0.19085316,-1.0956647,-0.18210474,0.47386143,-0.27045596,0.52437425,-0.06285601,0.41598555,0.0979422,1.4165304,-0.36691833,0.19341952,-0.0013685334,0.12034312,-0.18000306,-0.13584377,-0.31916705,0.17628141,-0.07660451,0.20775901,0.04385182,-0.674429,0.2893234,0.056352664,0.42770195,-0.17250592,-0.40539178,0.20021069,0.5654094,0.37885788",""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry","CommandHandlingEntry","embeddingsNode2Vec","0.22950438,0.616546,-0.31990916,-0.15636857,0.15021655,0.04570116,0.23027527,-0.8997138,0.10234019,0.22722013,0.5746878,0.5110644,0.96500605,-0.36160022,-0.11067435,-0.074039355,-0.028390547,0.15634558,-0.23056921,-0.011880606,-0.023205731,0.6343998,0.45267457,-0.09220185,0.048079845,-0.2716913,0.7557604,0.41428345,0.030616067,-0.42584005,-0.48475212,0.23947102,0.04557493,-0.061187916,0.36940837,-0.96611553,-0.1522036,0.2580981,-0.03670695,0.5473942,0.10503448,0.25966737,0.264585,1.0197595,-0.8026158,-0.020188326,0.12348388,-0.22352274,-0.117432736,0.14228274,-0.3701379,-0.080646776,-0.11150744,0.46093866,-0.14026275,-0.73983824,0.58627886,-0.2325986,0.1702682,-0.31521183,-0.37263262,0.30376932,0.7306278,0.38660598",""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","embeddingsNode2Vec","-0.06035452,0.3352811,-0.2249614,-0.3602378,-0.8056233,0.66323245,0.30679432,-0.47310445,-0.07280008,0.015884459,0.45986608,0.56533444,0.95865,-0.54151696,0.058033653,0.4116397,0.07880596,-0.16828755,-0.62125623,-0.7276246,-0.38073474,0.10749789,0.039316714,-0.15155533,-0.43314275,-0.4923556,0.12421746,0.444293,0.3927857,-0.45377702,0.039534587,0.3678241,0.46213904,-0.18236943,-0.55027294,-0.80577064,-0.042782735,0.6945673,0.044107486,0.7235753,-0.021952465,0.30682373,0.0065303775,0.7211645,-0.51553607,0.35306424,0.014171456,-0.11443674,0.006805303,-0.0017116745,-0.42808875,0.21980678,0.32500288,-0.224656,0.22955675,-0.4291002,0.20871699,0.36091924,0.52787215,-0.045361534,-0.16540968,0.39017847,0.3028983,0.06457733",""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","embeddingsNode2Vec","0.27162924,-0.026743392,-0.41512126,-0.066859856,-0.86067796,0.28770906,0.032732274,-0.07453843,0.39262778,0.108969845,0.6561128,0.3260487,0.87403125,-0.4435913,-0.048919134,0.38576773,0.1296804,-0.4117907,-0.4511793,-0.56652135,-0.47494066,0.03738775,0.14607403,0.0595768,-0.6260592,-0.17955302,0.4712888,0.56884104,0.75031704,-0.30816683,-0.13701701,-0.2915151,0.08834286,0.017620543,-0.680694,-0.51750827,-0.09555389,0.81525517,0.025500283,0.33806628,0.11313732,0.2632815,-0.010274669,0.47547445,-0.7655383,0.5617984,-0.07565888,0.061266884,-0.2117332,-0.21015666,0.057841945,0.2958321,0.103900835,0.16169381,0.34966135,-0.60930365,0.49567825,0.052833848,0.12004884,-0.041301858,0.105440974,0.24185163,0.22464974,-0.28753006",""
"org.axonframework.commandhandling.GenericCommandResultMessage","GenericCommandResultMessage","embeddingsNode2Vec","0.15732384,-0.10737161,-0.25130454,-0.07850218,-0.6918699,0.77756053,0.09962626,-0.6341287,0.058232628,0.59877145,0.4104847,0.48972225,0.6648979,-0.20805477,-0.14337507,0.44557008,-0.12309576,-0.15727885,0.09067812,-0.29255763,-0.6032873,0.25883028,0.18985158,0.15705407,-0.15303051,0.0969786,0.10946455,0.40276566,0.39550552,-0.08832068,0.13411748,0.21304087,0.2113645,-0.044806648,-0.21428604,-0.34254467,-0.002177488,0.30731207,0.10739869,0.46661294,0.13302673,0.05731505,0.10274393,0.8238752,-0.8921404,0.3208733,-0.180028,0.2995778,-0.6482888,-0.099537596,-0.067719944,0.36279503,0.17058589,0.1709178,0.079379275,-0.6697704,0.75743896,0.18620874,0.16456248,-0.1942592,-0.037961483,0.22485366,0.4144487,-0.038990974",""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","embeddingsNode2Vec","0.2994125,0.16206118,-0.16618916,0.043209415,-0.88892853,0.6377188,0.3743701,-0.66441774,0.023959385,0.46411687,0.23219821,0.6907795,0.9531838,-0.65419245,0.3404223,-0.26171508,-0.0051757144,-0.10015544,-0.095542915,-0.6447414,-0.09914771,0.038055744,0.09064142,-0.30609226,0.103802614,-0.27491486,0.24708818,0.84951043,0.112895034,-0.2866687,-0.022455238,0.072905935,0.35999218,0.10919863,-0.07705371,-0.59645355,0.58436716,0.5207891,-0.07277471,0.5017643,0.12119201,0.29546717,-0.36140317,0.395739,-0.26716894,0.13337328,0.12265492,0.07924819,0.19757536,-0.06520602,0.27919787,0.16531533,0.021415008,0.28997225,0.008518996,-0.24470426,0.005646829,0.06276123,0.28137213,-0.007412061,-0.22206292,0.13975036,0.3301142,0.14852999",""
"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker","CommandHandlerInvoker","embeddingsNode2Vec","0.011192718,0.4715795,-0.70483375,-0.17356397,-0.0047073234,-0.09043194,0.09578683,-0.76357985,-0.023185933,0.05755924,0.28423205,0.5244885,0.59405077,-0.24582826,0.419618,-0.17239006,-0.7415787,-0.058532782,0.18019097,0.48933318,-0.15077531,0.5475003,0.27535164,-0.10822006,-0.052067816,-0.22241335,0.50789374,0.64982414,-0.20390292,-0.2942502,-0.27730358,0.50149816,0.040985484,0.027241234,-0.21848087,-0.7581428,-0.28401577,0.3512127,0.2186255,-0.034283455,-0.22663236,0.12946631,-0.10217582,1.0522909,-0.6055632,0.11629094,0.0073540383,-0.55458397,0.16038415,0.28593612,-0.21731803,0.15479776,-0.25569266,0.22639655,0.23490407,-0.9786795,0.5298293,-0.2466028,0.13527486,-0.08957753,-0.37573534,0.0026551448,0.47460932,0.4154019",""
