"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-4.10.0","org.axonframework.eventhandling",2331,1276,838,64,"TrackingEventProcessor","processBatch",21,"TrackingEventProcessor","processBatch","eventhandling",""
"axon-configuration-4.10.0","org.axonframework.config",1587,716,606,50,"DefaultConfigurer","<init>",7,"DefaultConfigurer","invokeLifecycleHandlers","config",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled",1041,460,341,77,"Coordinator$CoordinationTask","run",23,"Coordinator$CoordinationTask","run","pooled",""
"axon-test-4.10.0","org.axonframework.test.aggregate",956,438,252,45,"Reporter","appendEventOverview",13,"AggregateTestFixture","ensureValuesEqual","aggregate",""
"axon-messaging-4.10.0","org.axonframework.queryhandling",935,480,384,36,"SimpleQueryBus","doQuery",11,"SimpleQueryBus","doQuery","queryhandling",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc",849,304,249,31,"DefaultDeadLetterJdbcConverter","convertToLetter",12,"JdbcDeadLetter","equals","jdbc",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon",834,426,261,40,"PersistentStreamConnection$SegmentConnection","readMessagesFromSegment",17,"PersistentStreamConnection$SegmentConnection","readMessagesFromSegment","axon",""
"axon-modelling-4.10.0","org.axonframework.modelling.command",824,445,329,17,"AggregateAnnotationCommandHandler","lambda$initializeHandler$7",9,"AnnotationCommandTargetResolver","resolveTarget","command",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore",712,397,264,21,"EmbeddedEventStore$EventConsumer","peekPrivateStream",13,"ConcatenatingDomainEventStream","hasNext","eventstore",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector",701,347,292,40,"AxonServerConnectionManager$Builder","build",12,"AxonServerConnectionManager$Builder","build","connector",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query",699,269,204,25,"AxonServerQueryBus","query",9,"StreamableMultiInstanceResponse","stream","query",""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation",670,386,239,23,"AnnotatedMessageHandlingMember","<init>",14,"AnnotatedMessageHandlingMember","handle","annotation",""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection",637,339,218,26,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","inspectFieldsAndMethods",9,"AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","prepareHandlers","inspection",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing",622,325,251,20,"AbstractSnapshotter","doScheduleSnapshot",8,"AbstractSnapshotter","doScheduleSnapshot","eventsourcing",""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling",605,274,184,32,"DisruptorCommandBus","<init>",8,"BlacklistDetectingCallback","onResult","commandhandling",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa",573,292,187,25,"JpaEventStorageEngine","fetchTrackedEvents",8,"JpaEventStorageEngine","withGapsCleaned","legacyjpa",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc",568,273,236,24,"JdbcEventStorageEngine","<init>",7,"JdbcEventStorageEngine","lambda$cleanGaps$37","jdbc",""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.autoconfig",565,223,192,34,"AxonAutoConfiguration","buildSerializer",10,"AxonAutoConfiguration","buildSerializer","autoconfig",""
"axon-messaging-4.10.0","org.axonframework.serialization",537,285,181,22,"AbstractXStreamSerializer","<init>",7,"SimpleSerializedObject","equals","serialization",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa",522,212,132,28,"DeadLetterEventEntry","equals",15,"DeadLetterEventEntry","equals","jpa",""
"axon-messaging-4.10.0","org.axonframework.common",498,301,144,24,"TypeReflectionUtils","getExactDirectSuperTypesOfParameterizedTypeOrClass",9,"TypeReflectionUtils","getExactDirectSuperTypesOfParameterizedTypeOrClass","common",""
"axon-test-4.10.0","org.axonframework.test.saga",492,235,168,29,"SagaTestFixture","<init>",9,"CommandValidator","assertDispatchedEqualTo","saga",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga",490,277,194,22,"AbstractSagaManager","handle",6,"SagaMethodMessageHandlerDefinition","instantiateAssociationResolver","saga",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.gateway",488,249,174,50,"CommandGatewayFactory","createGateway",12,"CommandGatewayFactory","createGateway","gateway",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed",477,243,175,23,"DistributedCommandBus","dispatch",12,"ReplyMessage","equals","distributed",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jdbc",430,173,130,26,"JdbcTokenStore","updateToken",9,"JdbcTokenStore","updateToken","jdbc",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa",401,147,97,21,"EventMessageDeadLetterJpaConverter","convert",11,"JpaDeadLetter","equals","legacyjpa",""
"axon-messaging-4.10.0","org.axonframework.commandhandling",377,201,169,13,"MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember","<init>",10,"MethodCommandHandlerDefinition$MethodCommandMessageHandlingMember","<init>","commandhandling",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jdbc",374,111,84,38,"JdbcSagaStore","updateSaga",8,"JdbcSagaStore","updateSaga","jdbc",""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork",363,206,129,32,"BatchingUnitOfWork","executeWithResult",11,"BatchingUnitOfWork","executeWithResult","unitofwork",""
"axon-test-4.10.0","org.axonframework.test.matchers",351,191,108,21,"DeepEqualsMatcher","matchingFields",8,"DeepEqualsMatcher","matchingFields","matchers",""
"axon-messaging-4.10.0","org.axonframework.messaging",348,209,156,13,"Headers","defaultHeaders",4,"SimpleHandlerAttributes","equals","messaging",""
"axon-messaging-4.10.0","org.axonframework.deadline.dbscheduler",321,150,103,18,"DbSchedulerDeadlineManager","execute",11,"DbSchedulerBinaryDeadlineDetails","equals","dbscheduler",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa",318,155,101,23,"JpaEventStorageEngine","fetchTrackedEvents",8,"JpaEventStorageEngine","fetchTrackedEvents","jpa",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.command",300,110,94,24,"AxonServerCommandBus","doDispatch",4,"CommandSerializer","deserialize","command",""
