"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Change",231081,75.21506898807722,""
"Git,Commit",11637,3.78775302951889,""
"Java,ByteCode,Parameter",11202,3.646163911374977,""
"Java,ByteCode,Method,Member",10655,3.4681196639618266,""
"File,Git",10547,3.432966503595062,""
"Java,ByteCode,Bound,ParameterizedType",6542,2.129370139994206,""
"Java,ByteCode,Bound",6316,2.055808897004495,""
"Java,ByteCode,Member,Field",2848,0.9270018585606082,""
"Java,ByteCode,Bound,WildcardType",2723,0.8863153303583344,""
"Java,Value,ByteCode,Annotation",2225,0.7242202020004752,""
"Java,ByteCode,Constructor,Method,Member",1648,0.536411187818779,""
"Xml,Element",1534,0.49930507409830516,""
"Xml,Text",1016,0.3307001012280822,""
"Java,ByteCode,Bound,TypeVariable",989,0.321911811136391,""
"Java,ByteCode,Method,Member,Lambda",769,0.2503035215003889,""
"Type,File,Java,ByteCode,Class",699,0.2275190657071156,""
"Type,File,Java,ByteCode,JavaType",597,0.1943188586940601,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",542,0.17641678628505958,""
"Java,ByteCode,Method,Member,GenericDeclaration",525,0.17088341844955032,""
"Java,Value,ByteCode,Primitive",467,0.15200486936369526,""
"Author,Git,Person",288,0.09374176097803905,""
"Committer,Git,Person",242,0.07876911859960226,""
"Type,File,Java,ByteCode,Class,GenericDeclaration",215,0.0699808285079111,""
"Type,File,Java,ByteCode,ExternalType",194,0.06314549176992908,""
"Type,File,Java,ByteCode,Interface",167,0.05435720167823792,""
"Git,Tag",165,0.053706217227001536,""
"Java,ByteCode,Bound,GenericArrayType",145,0.04719637271463771,""
"Java,Value,ByteCode,Enum",142,0.04621989603778314,""
"Maven,Dependency",116,0.03775709817171017,""
"Value,Property",109,0.03547865259238283,""
"Package,File,Directory,Java",107,0.03482766814114645,""
"Value,Array",104,0.03385119146429187,""
"Value,ManifestEntry",91,0.02961979253125539,""
"Type,File,Java,ByteCode,GenericDeclaration,Interface",80,0.026039378049455286,""
"Artifact,Maven",69,0.02245896356765519,""
"Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",65,0.02115699466518242,""
"Type,File,Java,ByteCode,Annotation",40,0.013019689024727643,""
"File,Directory",39,0.012694196799109452,""
"Java,Value,ByteCode,Class",28,0.009113782317309351,""
"Type,File,Java,ByteCode,Enum",25,0.008137305640454777,""
"Xml,Namespace",24,0.007811813414836586,""
"Git,Branch",23,0.007486321189218395,""
"Type,File,Java,ByteCode,PrimitiveType",21,0.006835336737982013,""
"File",21,0.006835336737982013,""
"jQAssistant,Rule,Concept",19,0.0061843522867456304,""
"Maven,Plugin",16,0.005207875609891058,""
"Maven,Configuration",16,0.005207875609891058,""
"Maven,PluginExecution",14,0.004556891158654676,""
"Maven,ExecutionGoal",14,0.004556891158654676,""
"Xml,Attribute",12,0.003905906707418293,""
"File,Java,ServiceLoader",9,0.00292943003056372,""
"File,Java,Properties",8,0.002603937804945529,""
"Artifact,File,Jar,Archive,Zip,Java",6,0.0019529533537091465,""
"File,Java,Manifest",6,0.0019529533537091465,""
"Java,ManifestSection",6,0.0019529533537091465,""
"Type,File,Java,ByteCode,Void",6,0.0019529533537091465,""
"File,Xml,Maven,Pom,Document",6,0.0019529533537091465,""
"Java,ByteCode,Constructor,Method,Member,GenericDeclaration",3,0.0009764766768545733,""
"Maven,Exclusion",1,0.0003254922256181911,""
"File,TS,Scan",1,0.0003254922256181911,""
"Repository,File,Git",1,0.0003254922256181911,""
"Analyze,Task,jQAssistant",1,0.0003254922256181911,""
