"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",231149,23.99538672031525,""
"MODIFIES",231149,23.99538672031525,""
"UPDATES",148093,15.373411979163423,""
"CREATES",57573,5.976605564586953,""
"INVOKES",35758,3.7120084376096485,""
"DELETES",35338,3.668408584603439,""
"COMMITTED",23294,2.4181308950634586,""
"DEPENDS_ON",21459,2.2276410610958512,""
"OF_TYPE",21292,2.210304929067192,""
"DECLARES",20649,2.1435556302981604,""
"OF_RAW_TYPE",17041,1.769012131140053,""
"HAS_PARENT",14160,1.4699379013522185,""
"HAS",14057,1.4592455564483144,""
"RETURNS",12524,1.3001060929756483,""
"RENAMES",9855,1.0230394080385672,""
"READS",9068,0.9413415882388358,""
"HAS_ACTUAL_TYPE_ARGUMENT",8261,0.8575675849626183,""
"HAS_NEW_NAME",6159,0.6393607015839204,""
"OF_GENERIC_TYPE",5892,0.6116436521728298,""
"RESOLVES_TO",5241,0.5440638800132045,""
"CONTAINS",3797,0.394163433010902,""
"WRITES",3796,0.3940596238370777,""
"RETURNS_GENERIC",3538,0.36727685699040596,""
"ANNOTATED_BY",2801,0.29076949588189005,""
"REQUIRES",2172,0.22547352554639957,""
"HAS_FIRST_CHILD",2144,0.22256686867931894,""
"HAS_LAST_CHILD",2144,0.22256686867931894,""
"HAS_ELEMENT",2126,0.22069830355048137,""
"HAS_UPPER_BOUND",1519,0.15768613503912568,""
"EXTENDS",1490,0.15467566899822072,""
"HAS_TEXT",1436,0.149069973611708,""
"HAS_SIBLING",1418,0.14720140848287044,""
"DECLARES_TYPE_PARAMETER",1073,0.11138724351348378,""
"IMPLEMENTS",838,0.08699208766477111,""
"THROWS",665,0.06903310059316561,""
"HAS_KEY",555,0.05761409147249161,""
"HAS_VALUE",555,0.05761409147249161,""
"EXTENDS_GENERIC",506,0.05252744195510046,""
"HAS_LOWER_BOUND",433,0.04494937226592589,""
"IS",375,0.03892844018411595,""
"IMPLEMENTS_GENERIC",371,0.03851320348881871,""
"COPIES",322,0.03342655397142756,""
"ON_COMMIT",165,0.01712851368101102,""
"DECLARES_DEPENDENCY",163,0.0169208953333624,""
"TO_ARTIFACT",163,0.0169208953333624,""
"HAS_COMPONENT_TYPE",158,0.016401849464240854,""
"COPY_OF",125,0.01297614672803865,""
"CONTAINS_VALUE",120,0.012457100858917105,""
"DECLARES_NAMESPACE",36,0.003737130257675131,""
"HAS_DEFAULT",36,0.003737130257675131,""
"REQUIRES_CONCEPT",28,0.002906656867080658,""
"HAS_HEAD",24,0.0024914201717834207,""
"HAS_CONFIGURATION",21,0.0021799926503104933,""
"IS_ARTIFACT",21,0.0021799926503104933,""
"REQUIRES_TYPE_PARAMETER",21,0.0021799926503104933,""
"USES_PLUGIN",21,0.0021799926503104933,""
"INCLUDES_CONCEPT",19,0.001972374302661875,""
"HAS_ATTRIBUTE",18,0.0018685651288375656,""
"OF_NAMESPACE",18,0.0018685651288375656,""
"HAS_EXECUTION",16,0.0016609467811889472,""
"HAS_GOAL",16,0.0016609467811889472,""
"HAS_ROOT_ELEMENT",11,0.0011419009120674012,""
"DESCRIBES",9,0.0009342825644187828,""
"EXCLUDES",5,0.0005190458691215461,""
"THROWS_GENERIC",5,0.0005190458691215461,""
"HAS_PROPERTY",1,0.0001038091738243092,""
