"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_external_package.cypher"
"axon-configuration-4.10.1",1,41,2,1,100,"javax.annotation",1,13,100,31.70731707317073,"org.axonframework.config","org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Configuration$1,org.axonframework.config.EventProcessingModule,org.axonframework.config.ConfigurerModule,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.EventProcessingConfigurer,org.axonframework.config.LifecycleHandlerInspector$1,org.axonframework.config.Configurer",""
"axon-configuration-4.10.1",1,41,2,1,100,"org.slf4j",1,6,100,14.634146341463413,"org.axonframework.config","org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.Component,org.axonframework.config.DefaultConfigurer",""
"axon-disruptor-4.10.1",1,22,5,1,100,"WeakValue",1,1,100,4.545454545454546,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.FirstLevelCache",""
"axon-disruptor-4.10.1",1,22,5,1,100,"com.lmax.disruptor",1,7,100,31.81818181818182,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-disruptor-4.10.1",1,22,5,1,100,"com.lmax.disruptor.dsl",1,4,100,18.181818181818183,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-disruptor-4.10.1",1,22,5,1,100,"javax.annotation",1,6,100,27.272727272727273,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork",""
"axon-disruptor-4.10.1",1,22,5,1,100,"org.slf4j",1,8,100,36.36363636363637,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"javax.annotation",4,8,44.44444444444444,10.666666666666666,"org.axonframework.springboot.util,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.util.jpa,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.DeadLetterQueueProviderConfigurerModule,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.slf4j",3,4,33.33333333333333,5.333333333333333,"org.axonframework.springboot.util,org.axonframework.springboot.service.connection,org.axonframework.springboot.autoconfig","org.axonframework.springboot.util.XStreamSecurityTypeUtility,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory,org.axonframework.springboot.autoconfig.XStreamAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.1",9,75,47,9,100,"org.springframework.boot.actuate.health",3,4,33.33333333333333,5.333333333333333,"org.axonframework.actuator,org.axonframework.actuator.axonserver,org.axonframework.springboot.autoconfig","org.axonframework.actuator.HealthStatus,org.axonframework.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
