"artifactName","packageName","dependentArtifactName","dependentPackageName","forwardToBackwardBalance","numberForward","numberBackward","someForwardDependencies","backwardDependencies","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies.cypher"
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.tracing",0.9,19,1,"AbstractEventProcessor$Builder->SpanFactory,AbstractEventProcessor$Builder->NoOpSpanFactory,SimpleEventBus$Builder->SpanFactory,SubscribingEventProcessor$Builder->SpanFactory,DefaultEventProcessorSpanFactory->Span,DefaultEventProcessorSpanFactory->NoOpSpanFactory$NoOpSpan,DefaultEventProcessorSpanFactory->SpanFactory,AbstractEventProcessor->Span,AbstractEventBus->SpanScope","NestingSpanFactory->EventMessage",""
"axon-messaging-4.10.1","org.axonframework.queryhandling","axon-messaging-4.10.1","org.axonframework.messaging.responsetypes",0.8823529411764706,16,1,"GenericQueryMessage->ResponseType,QuerySubscription->ResponseType,GenericSubscriptionQueryMessage->ResponseType,SimpleQueryUpdateEmitter->ResponseType,SimpleQueryUpdateEmitter->PublisherResponseType,SimpleQueryUpdateEmitter->OptionalResponseType,SimpleQueryUpdateEmitter->MultipleInstancesResponseType,SimpleQueryBus->ResponseType,SubscriptionQueryMessage->ResponseType","ConvertingResponseMessage->QueryResponseMessage",""
"axon-messaging-4.10.1","org.axonframework.queryhandling","axon-messaging-4.10.1","org.axonframework.tracing",0.875,15,1,"DefaultQueryUpdateEmitterSpanFactory->SpanFactory,DefaultQueryUpdateEmitterSpanFactory->Span,QueryUpdateEmitterSpanFactory->Span,SimpleQueryBus$Builder->NoOpSpanFactory,SimpleQueryBus$Builder->SpanFactory,SimpleQueryUpdateEmitter->Span,SimpleQueryBus->SpanScope,SimpleQueryBus->Span,DefaultQueryBusSpanFactory$Builder->SpanFactory","SpanUtils->QueryMessage",""
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.messaging",0.8571428571428571,39,3,"TrackingEventProcessor->InterceptorChain,TrackingEventProcessor->StreamableMessageSource,MultiStreamableMessageSource$IdentifiedStreamableMessageSource->StreamableMessageSource,SubscribingEventProcessor$Builder->SubscribableMessageSource,EventMessage->Message,DefaultEventProcessorSpanFactory->Message,DomainEventMessage->Message,TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver->Message,GenericTrackedEventMessage->Message","StreamableMessageSource->TrackingToken,Headers->EventMessage,Headers->DomainEventMessage",""
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.messaging.annotation",0.84,23,2,"AllowReplay->HasHandlerAttributes,TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver->ParameterResolver,SimpleEventHandlerInvoker$Builder->HandlerDefinition,SimpleEventHandlerInvoker$Builder->ParameterResolverFactory,TimestampParameterResolverFactory$TimestampParameterResolver->ParameterResolver,TimestampParameterResolverFactory->ParameterResolver,TimestampParameterResolverFactory->AbstractAnnotatedParameterResolverFactory,AnnotationEventHandlerAdapter->ParameterResolverFactory,AnnotationEventHandlerAdapter->MessageHandlingMember","SourceIdParameterResolverFactory$SourceIdParameterResolver->DomainEventMessage,AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver->DomainEventMessage",""
"axon-messaging-4.10.1","org.axonframework.deadline","axon-messaging-4.10.1","org.axonframework.tracing",0.8,9,1,"DefaultDeadlineManagerSpanFactory->Span,DefaultDeadlineManagerSpanFactory->SpanFactory,DeadlineManagerSpanFactory->Span,DefaultDeadlineManagerSpanFactory$Builder->SpanFactory,SimpleDeadlineManager->Span,SimpleDeadlineManager$DeadlineTask->SpanScope,SimpleDeadlineManager$DeadlineTask->Span,SimpleDeadlineManager$Builder->NoOpSpanFactory,SimpleDeadlineManager$Builder->SpanFactory","SpanUtils->DeadlineMessage",""
"axon-messaging-4.10.1","org.axonframework.commandhandling","axon-messaging-4.10.1","org.axonframework.tracing",0.7777777777777778,8,1,"CommandBusSpanFactory->Span,DefaultCommandBusSpanFactory$Builder->SpanFactory,SimpleCommandBus$Builder->NoOpSpanFactory,SimpleCommandBus$Builder->SpanFactory,DefaultCommandBusSpanFactory->SpanFactory,DefaultCommandBusSpanFactory->Span,SimpleCommandBus->Span,AsynchronousCommandBus$Builder->SpanFactory","SpanUtils->CommandMessage",""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing","axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore",0.7777777777777778,16,2,"EventSourcedAggregate->DomainEventStream,CachingEventSourcingRepository->EventStore,EventSourcingRepository->EventStore,EventSourcingRepository->DomainEventStream,EventSourcingRepository$Builder->EventStore,AggregateSnapshotter->DomainEventStream,AbstractSnapshotter$Builder->EventStore,FilteringEventStorageEngine->DomainEventStream,FilteringEventStorageEngine->EventStorageEngine","AbstractEventStorageEngine->EventStreamUtils,DomainEventStream->EventStreamUtils",""
"axon-messaging-4.10.1","org.axonframework.commandhandling.callbacks","axon-messaging-4.10.1","org.axonframework.commandhandling",0.7333333333333333,13,2,"FailureLoggingCallback->CommandCallback,FailureLoggingCallback->CommandMessage,FailureLoggingCallback->CommandResultMessage,FutureCallback->CommandResultMessage,FutureCallback->CommandCallback,FutureCallback->CommandMessage,FutureCallback->GenericCommandResultMessage,NoOpCallback->CommandResultMessage,NoOpCallback->CommandCallback","SimpleCommandBus$Builder->LoggingCallback,SimpleCommandBus$Builder->NoOpCallback",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.util","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.6666666666666666,5,1,"FlowControllingStreamObserver->AxonServerConfiguration,FlowControllingStreamObserver->AxonServerConfiguration$FlowControlConfiguration,PriorityExecutorService->PriorityRunnable,PriorityExecutorService->PriorityCallable,ExecutorServiceBuilder->AxonServerConfiguration","ErrorCode->ExceptionSerializer",""
"axon-messaging-4.10.1","org.axonframework.eventhandling","axon-messaging-4.10.1","org.axonframework.serialization",0.6470588235294118,14,3,"AbstractDomainEventEntry->Serializer,AbstractEventEntry->SerializedMetaData,AbstractEventEntry->SimpleSerializedObject,AbstractEventEntry->Serializer,AbstractEventEntry->SerializedType,AbstractEventEntry->SerializedObject,AbstractEventEntry->SimpleSerializedType,EventUtils->Serializer,EventUtils->LazyDeserializingObject","GapAwareTrackingTokenConverter->GapAwareTrackingToken,AbstractXStreamSerializer->GenericDomainEventMessage,AbstractXStreamSerializer->GenericEventMessage",""
"axon-messaging-4.10.1","org.axonframework.messaging.unitofwork","axon-messaging-4.10.1","org.axonframework.messaging",0.6470588235294118,14,3,"UnitOfWork->MetaData,UnitOfWork->Message,UnitOfWork->ResultMessage,ExecutionResult->ResultMessage,MessageProcessingContext->Message,CurrentUnitOfWork->MetaData,BatchingUnitOfWork->Message,BatchingUnitOfWork->GenericResultMessage,BatchingUnitOfWork->ResultMessage","MessageHandlerInterceptor->UnitOfWork,DefaultInterceptorChain->UnitOfWork,GenericMessage->CurrentUnitOfWork",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.6153846153846154,21,5,"AxonServerEventStore$Builder->AxonServerConfiguration,AxonServerEventStore$Builder->AxonServerConnectionManager,AxonServerEventStore$AxonIQEventStorageEngine$Builder->AxonServerConnectionManager,AxonServerEventStore$AxonIQEventStorageEngine$Builder->AxonServerConfiguration,EventBuffer->AxonServerException,EventBuffer->ErrorCode,PersistentStreamConnection->AxonServerConfiguration,PersistentStreamConnection->AxonServerConfiguration$FlowControlConfiguration,PersistentStreamConnection->AxonServerConnectionManager","ServerConnectorConfigurerModule->AxonServerEventStore$Builder,ServerConnectorConfigurerModule->AxonServerEventStore,ServerConnectorConfigurerModule->EventProcessorInfoConfiguration,ServerConnectorConfigurerModule->AxonServerEventStoreFactory,ServerConnectorConfigurerModule->AxonServerEventStoreFactory$Builder",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","axon-server-connector-4.10.1","org.axonframework.axonserver.connector",0.5714285714285714,22,6,"AxonServerQueryBus$LocalSegmentAdapter->PriorityRunnable,AxonServerQueryBus$LocalSegmentAdapter->ErrorCode,AxonServerQueryBus$LocalSegmentAdapter->AxonServerConfiguration,AxonServerQueryBus$Builder->AxonServerConfiguration,AxonServerQueryBus$Builder->TargetContextResolver,AxonServerQueryBus$Builder->InstructionAckSource,AxonServerQueryBus$Builder->AxonServerConnectionManager,GrpcBackedResponseMessage->ErrorCode,AxonServerQueryBus->AxonServerConfiguration$FlowControlConfiguration","ServerConnectorConfigurerModule->AxonServerQueryBus$Builder,ServerConnectorConfigurerModule->AxonServerQueryBus,ServerConnectorConfigurerModule->QueryPriorityCalculator,ErrorCode->AxonServerQueryDispatchException,ErrorCode->AxonServerRemoteQueryHandlingException,ErrorCode->AxonServerNonTransientRemoteQueryHandlingException",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.async","axon-messaging-4.10.1","org.axonframework.eventhandling",0.5384615384615384,10,3,"PropertySequencingPolicy$Builder->EventMessage,PropertySequencingPolicy$Builder$ExceptionRaisingSequencingPolicy->EventMessage,EventProcessorTask->EventMessage,AsynchronousEventProcessingStrategy->EventMessage,AsynchronousEventProcessingStrategy->EventProcessingStrategy,EventProcessorTask$ProcessingTask->EventMessage,SequentialPerAggregatePolicy->EventMessage,SequentialPerAggregatePolicy->DomainEventMessage,PropertySequencingPolicy->EventMessage","SimpleEventHandlerInvoker$Builder->SequentialPerAggregatePolicy,SimpleEventHandlerInvoker$Builder->SequencingPolicy,SimpleEventHandlerInvoker->SequencingPolicy",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.replay","axon-messaging-4.10.1","org.axonframework.eventhandling",0.45454545454545453,8,3,"ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember->ReplayToken,ReplayParameterResolverFactory->ReplayStatus,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->ReplayToken,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->TrackedEventMessage,ReplayContextParameterResolverFactory$ReplayContextParameterResolver->EventMessage,ReplayAwareMessageHandlerWrapper->AllowReplay,ReplayParameterResolverFactory$ReplayParameterResolver->ReplayStatus,ReplayParameterResolverFactory$ReplayParameterResolver->ReplayToken","AnnotationEventHandlerAdapter->ResetContext,AnnotationEventHandlerAdapter->GenericResetContext,ResetHandler->ResetContext",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.util",0.3333333333333333,2,1,"AxonServerConfiguration$Builder->EventCipher,AxonServerConfiguration->EventCipher","GrpcExceptionParser->ErrorCode",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription",0.3333333333333333,4,2,"AxonServerQueryBus$LocalSegmentAdapter->SubscriptionMessageSerializer,AxonServerQueryBus$Builder->SubscriptionMessageSerializer,AxonServerQueryBus->AxonServerSubscriptionQueryResult,AxonServerQueryBus->SubscriptionMessageSerializer","GrpcBackedSubscriptionQueryMessage->GrpcBackedQueryMessage,SubscriptionMessageSerializer->GrpcBackedResponseMessage",""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting.event","axon-messaging-4.10.1","org.axonframework.eventhandling",0.3333333333333333,6,3,"IntermediateEventRepresentation->TrackingToken,UpcastedEventRepresentation->TrackingToken,InitialEventRepresentation->TrackedEventData,InitialEventRepresentation->TrackingToken,InitialEventRepresentation->EventData,InitialEventRepresentation->DomainEventData","EventUtils->EventUpcaster,EventUtils->InitialEventRepresentation,EventUtils->IntermediateEventRepresentation",""
