"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.test","test","embeddingsFastRandomProjection","-0.13814978,0.19959804,0.08067507,-0.47464448,0.21299608,-0.05497036,-0.42639062,0.028979119,-0.23460478,-0.33394498,-0.42652726,0.55690646,0.030972674,0.0110367015,-0.03520211,0.2503943,-0.672544,0.5786282,0.2972005,0.49050915,-0.031837344,-0.22950274,0.05759367,-0.13364175,0.16045755,-0.3370802,0.3040454,-0.2221276,-0.21481012,-0.41862503,0.35971135,0.35866866",""
"org.axonframework.test.aggregate","aggregate","embeddingsFastRandomProjection","-0.13518596,0.13514413,0.03966514,-0.4256064,0.17831877,-0.0896037,-0.40073732,0.0136045925,-0.34826922,-0.40334165,-0.28020847,0.60837984,0.016278833,0.012815598,-0.0914509,0.17744818,-0.6248114,0.5338288,0.2643842,0.5037332,-0.11090875,-0.23932618,0.12145303,-0.15416138,0.22194473,-0.46685132,0.3967556,-0.24352272,-0.18168789,-0.40749833,0.34308767,0.32851598",""
"org.axonframework.test.matchers","matchers","embeddingsFastRandomProjection","-0.092326656,0.2027539,0.076664045,-0.45589924,0.21764761,-0.07592744,-0.4380859,0.0029981323,-0.21455768,-0.32246944,-0.43077943,0.53165185,0.018341795,-0.0076004937,-0.049867153,0.23816678,-0.69118035,0.5490003,0.32436103,0.46312717,-0.05153052,-0.2429037,0.057343964,-0.14684835,0.16640127,-0.35905206,0.2768022,-0.19892968,-0.18420538,-0.41137612,0.3673789,0.34475735",""
"org.axonframework.test.saga","saga","embeddingsFastRandomProjection","0.028830178,0.19333956,0.11490783,-0.30419096,0.2105048,-0.09728427,-0.4039021,-0.100534156,-0.21494317,-0.3101877,-0.3785615,0.48490965,-0.029731825,-0.16159862,-0.11898601,0.29858372,-0.6990609,0.459468,0.3451656,0.46799558,-0.09439129,-0.21973191,0.077531904,-0.2277638,0.19090532,-0.52850246,0.2953927,-0.26191652,-0.034739345,-0.51497686,0.2126239,0.29471588",""
"org.axonframework.test.server","server","embeddingsFastRandomProjection","-0.102621146,0.20290364,-0.104460776,0.020773396,0.20417614,-0.17003328,0.015181899,0.0042205304,0.37048993,0.012253806,-0.038783304,0.29087013,0.027236989,0.5954566,0.12381675,0.37162846,-0.42033687,-0.18563968,0.54747975,-0.21180281,0.12998085,0.0010058135,0.32323277,0.00097568333,0.019460171,-0.3318748,0.009612009,0.1685862,-0.20313217,-0.14182602,-0.32386163,-0.34754047",""
"org.axonframework.test.utils","utils","embeddingsFastRandomProjection","0.29534137,0.22564912,0.013208203,-0.372383,0.2387169,-0.20346245,-0.42026845,-0.14382504,-0.12054411,-0.34469384,-0.3044752,0.4464079,0.068085015,-0.09282398,-0.1948409,0.20047024,-0.7347286,0.48220876,0.37303966,0.38405684,-0.2434358,-0.356776,0.13309424,-0.23836836,0.19608581,-0.5649379,0.21692334,-0.09671033,-0.0041404674,-0.51092637,0.2213979,0.24580267",""
"org.axonframework.test.deadline","deadline","embeddingsFastRandomProjection","-0.1380224,0.21781456,0.118496925,-0.45877868,0.24630964,-0.09247306,-0.44592965,-0.016900579,-0.2179638,-0.3813827,-0.46880108,0.54618865,-0.027462352,-0.04816713,-0.06138877,0.26785612,-0.7962292,0.5876909,0.34904334,0.5777573,-0.07505837,-0.32107726,0.05289361,-0.14355496,0.25425732,-0.42296797,0.3233832,-0.23581663,-0.19506353,-0.46632782,0.3926987,0.33846056",""
"org.axonframework.test.eventscheduler","eventscheduler","embeddingsFastRandomProjection","0.10770373,0.24733081,0.13347375,-0.29640433,0.25824258,-0.120708205,-0.5598978,-0.12871289,-0.15685958,-0.29226202,-0.47609866,0.4570491,-0.09853597,-0.1800303,-0.12567873,0.28845033,-0.84532917,0.47311425,0.4334883,0.41113442,-0.08615908,-0.31443283,0.034215793,-0.2577505,0.28746343,-0.5881908,0.23320094,-0.21879776,0.01260725,-0.49282587,0.37858042,0.25347355",""
"org.axonframework.axonserver.connector","connector","embeddingsFastRandomProjection","0.22180746,0.30078113,-0.0060017705,-0.18564945,0.28006405,-0.397839,0.0049374476,-0.42894846,-0.07271523,0.06252631,-0.0060846964,0.5083886,0.17332026,0.4124583,-0.86730826,-0.138228,-0.34282476,0.31574726,0.4524048,0.10459429,-0.013676453,-0.22067241,0.26245937,0.19121493,0.39145598,-0.6407614,0.25923395,-0.3513606,-0.063933074,-0.043662522,-0.50114256,0.13340169",""
"org.axonframework.axonserver.connector.util","util","embeddingsFastRandomProjection","0.19544372,0.19142866,-0.11043098,-0.31514245,0.13980848,-0.42771405,-0.025891967,-0.34942174,-0.08190587,-0.017384244,-0.036689408,0.51776874,0.18903379,0.26579502,-0.88955486,-0.18018574,-0.2847383,0.29879537,0.42775482,0.16429983,-0.021317085,-0.2802142,0.31981263,0.2643521,0.6093413,-0.5695091,0.065236546,-0.38940847,0.06687474,0.013774918,-0.5115444,0.2794843",""
