"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",259007,79.90787703775005,""
"Change",235897,72.77806572630904,""
"Java",59257,18.281749410733898,""
"ByteCode",59069,18.223748349437884,""
"Member",20225,6.239741833573976,""
"Bound",18438,5.688423234978343,""
"Method",16735,5.163020004195822,""
"File",14449,4.457751780138955,""
"Parameter",13000,4.010711685362754,""
"Commit",11787,3.6364814334900597,""
"ParameterizedType",7166,2.210827687485345,""
"Value",5059,1.5607838781730898,""
"Xml",3643,1.1239248207520394,""
"Type",3613,1.114669332247356,""
"Field",3490,1.0767218293781546,""
"WildcardType",2906,0.8965483198203202,""
"Annotation",2864,0.8835906359137635,""
"Element",2144,0.6614589118013648,""
"Constructor",2044,0.6306072834524206,""
"Text",1436,0.4430293830908395,""
"Class",1269,0.3915071637481026,""
"Json",1234,0.3807090938259721,""
"TypeVariable",1096,0.3381338467044291,""
"Lambda",936,0.28877124134611826,""
"ResolvedDuplicateType",900,0.2776646551404983,""
"GenericDeclaration",894,0.27581355743956165,""
"JavaType",746,0.23015314748312415,""
"Primitive",650,0.2005355842681377,""
"Key",555,0.17122653733664062,""
"Scalar",539,0.16629027680080954,""
"Person",532,0.16413066281638344,""
"ExternalType",489,0.15086446262633743,""
"Maven",343,0.10582108523687879,""
"Author",289,0.08916120592844891,""
"Array",273,0.08422494539261782,""
"Interface",272,0.08391642910912837,""
"Committer",243,0.07496945688793454,""
"Property",202,0.06232028926486739,""
"Directory",183,0.05645847987856799,""
"Enum",178,0.05491589846112078,""
"Tag",167,0.051522219342736916,""
"Dependency",163,0.050288154208779134,""
"GenericArrayType",158,0.048745572791331925,""
"Package",139,0.04288376340503251,""
"Object",132,0.04072414942060642,""
"ManifestEntry",120,0.03702195401873311,""
"Artifact",101,0.031160144632433696,""
"ExternalAnnotation",93,0.02869201436451816,""
"Namespace",36,0.011106586205619932,""
"PrimitiveType",29,0.008946972221193835,""
"Branch",26,0.008021423370725507,""
"Configuration",21,0.006478841953278293,""
"Plugin",21,0.006478841953278293,""
"jQAssistant",20,0.006170325669788852,""
"Concept",19,0.005861809386299409,""
"Rule",19,0.005861809386299409,""
"Attribute",18,0.005553293102809966,""
"ExecutionGoal",16,0.004936260535831081,""
"PluginExecution",16,0.004936260535831081,""
"Properties",12,0.003702195401873311,""
"ServiceLoader",10,0.003085162834894426,""
"Archive",9,0.002776646551404983,""
"Document",9,0.002776646551404983,""
"Jar",9,0.002776646551404983,""
"Manifest",9,0.002776646551404983,""
"ManifestSection",9,0.002776646551404983,""
"Pom",9,0.002776646551404983,""
"Void",9,0.002776646551404983,""
"Zip",9,0.002776646551404983,""
"Exclusion",5,0.001542581417447213,""
"Analyze",1,0.0003085162834894426,""
"Scan",1,0.0003085162834894426,""
"TS",1,0.0003085162834894426,""
"Task",1,0.0003085162834894426,""
