"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: Artifact_Dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-modelling-4.10.2",10,9,90,158,79,50,"axon-messaging-4.10.2",false,14,46,"org.axonframework.commandhandling,org.axonframework.common","NoHandlerForCommandException,RoutingKey,AxonTransientException,CollectionUtils","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AggregateAnnotationCommandHandler,AnnotatedAggregate,TargetAggregateIdentifier,ConcurrencyException",""
"axon-modelling-4.10.2",10,9,90,158,90,56.96,"axon-messaging-4.10.2",true,15,39,"org.axonframework.commandhandling,org.axonframework.common","CommandMessageHandler,CommandMessage,CommandBus,CommandMessageHandlingMember","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AggregateAnnotationCommandHandler,CommandTargetResolver,AbstractRepository,CommandHandlerInterceptor",""
"axon-eventsourcing-4.10.2",9,9,100,133,75,56.39,"axon-messaging-4.10.2",true,17,40,"org.axonframework.commandhandling,org.axonframework.common.caching","CommandMessage,Cache,PersistenceExceptionResolver,JdbcUtils$SqlResultConverter","org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing","ConflictResolution,CachingEventSourcingRepository,EventSourcingRepository$Builder,AbstractEventStorageEngine$Builder",""
"axon-eventsourcing-4.10.2",9,9,100,133,44,33.08,"axon-messaging-4.10.2",false,12,40,"org.axonframework.common,org.axonframework.common.io","ExceptionUtils,AxonThreadFactory,DateTimeUtils,ReflectionUtils","org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.eventstore.jpa","SQLErrorCodesResolver,SQLStateResolver,EmbeddedEventStore$Builder,JpaEventStorageEngine",""
"axon-test-4.10.2",8,8,100,87,29,33.33,"axon-messaging-4.10.2",false,8,38,"org.axonframework.commandhandling,org.axonframework.commandhandling.gateway","SimpleCommandBus$Builder,GenericCommandResultMessage,GenericCommandMessage,SimpleCommandBus","org.axonframework.test.aggregate,org.axonframework.test.utils","AggregateTestFixture,RecordingCommandBus,SagaTestFixture$StubAwareCommandGatewayFactory,SagaTestFixture",""
"axon-server-connector-4.10.2",11,8,72.73,132,60,45.45,"axon-messaging-4.10.2",true,19,58,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed","CommandCallback,CommandMessage,CommandBus,CommandBusSpanFactory","org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector","AxonServerCommandBus,AxonServerCommandBus$Builder,AxonServerCommandBus$CommandProcessingTask,CommandSerializer",""
"axon-server-connector-4.10.2",11,7,63.64,132,47,35.61,"axon-messaging-4.10.2",false,20,73,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks","NoHandlerForCommandException,SimpleCommandBus$Builder,LoggingDuplicateCommandHandlerResolver,CommandExecutionException","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.command","ErrorCode,ServerConnectorConfigurerModule,AxonServerCommandBus,CommandSerializer",""
"axon-test-4.10.2",8,7,87.5,87,35,40.23,"axon-messaging-4.10.2",true,10,31,"org.axonframework.commandhandling,org.axonframework.commandhandling.gateway","CommandCallback,CommandMessage,CommandBus,CommandResultMessage","org.axonframework.test.aggregate,org.axonframework.test.utils","ResultValidatorImpl,AggregateTestFixture$ExecutionExceptionAwareCallback,RecordingCommandBus,Matchers",""
"axon-spring-boot-autoconfigure-4.10.2",9,5,55.56,75,18,24,"axon-messaging-4.10.2",true,22,44,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed","CommandMessage,CommandBus,CommandBusSpanFactory,DuplicateCommandHandlerResolver","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonServerBusAutoConfiguration,AxonAutoConfiguration,AxonTracingAutoConfiguration,AxonServerAutoConfiguration",""
"axon-server-connector-4.10.2",11,4,36.36,132,10,7.58,"axon-configuration-4.10.2",true,1,6,"org.axonframework.config","EventProcessingConfiguration,Configuration,ModuleConfiguration,Configurer","org.axonframework.axonserver.connector.processor,org.axonframework.axonserver.connector.event.axon","EventProcessorControlService,EventProcessorInfoConfiguration,PersistentStreamMessageSourceDefinition,PersistentStreamConnection$SegmentConnection",""
"axon-eventsourcing-4.10.2",9,4,44.44,133,12,9.02,"axon-modelling-4.10.2",false,2,10,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","LockingRepository,AbstractRepository$Builder,LockingRepository$Builder,ConflictingAggregateVersionException","org.axonframework.eventsourcing,org.axonframework.eventsourcing.conflictresolution","EventSourcingRepository,EventSourcingRepository$Builder,DefaultConflictResolver,ConflictResolver",""
"axon-spring-boot-autoconfigure-4.10.2",9,3,33.33,75,8,10.67,"axon-server-connector-4.10.2",false,4,18,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query","AxonServerConnectionManager,AxonServerConnectionManager$Builder,AxonServerConfiguration$PersistentStreamSettings,AxonServerConfiguration","org.axonframework.springboot.autoconfig,org.axonframework.actuator.axonserver","AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration,AxonServerHealthIndicator,AxonServerBusAutoConfiguration,AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration",""
