"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.axonserver.connector.ServerConnectorConfigurerModule","ServerConnectorConfigurerModule",0,"603,642,1357",0,"603,1,23,9",,0,0,10,27,,41,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Eventhandling","AxonServerConfiguration$Eventhandling",4,"193,642,1357",3,"197,1,23,9",,0,0,3,37,3,1,""
"org.axonframework.axonserver.connector.PriorityRunnable","PriorityRunnable",2,"41,19,192",2,"41,215,41,7",,0,0,4,55,5,1,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Eventhandling$ProcessorSettings","AxonServerConfiguration$Eventhandling$ProcessorSettings",4,"193,642,1357",3,"197,1,23,9",,0,0,3,71,2,1,""
"org.axonframework.axonserver.connector.util.PriorityExecutorService","PriorityExecutorService",2,"46,19,192",2,"47,215,41,7",,0,4,2,67,1,2,""
"org.axonframework.axonserver.connector.PriorityCallable","PriorityCallable",2,"46,19,192",2,"47,215,41,7",,0,4,2,56,1,1,""
"org.axonframework.axonserver.connector.util.TokenAddingInterceptor$1","TokenAddingInterceptor$1",6,"49,49,49",5,"49,294,25,25",,1,5,2,57,1,1,""
"org.axonframework.axonserver.connector.util.ProcessingInstructionHelper","ProcessingInstructionHelper",2,"41,19,192",2,"41,215,41,7",,0,0,3,41,3,,""
"org.axonframework.axonserver.connector.util.GrpcMetaDataConverter","GrpcMetaDataConverter",7,"55,55,55",6,"168,14,24,5",,0,0,10,85,11,7,""
"org.axonframework.axonserver.connector.util.GrpcMetaDataConverter$1","GrpcMetaDataConverter$1",7,"55,55,55",6,"168,14,24,5",,0,0,2,93,1,1,""
"org.axonframework.axonserver.connector.util.GrpcSerializedObject","GrpcSerializedObject",7,"57,55,55",6,"168,14,24,5",,0,0,8,54,8,3,""
"org.axonframework.axonserver.connector.util.TokenAddingInterceptor","TokenAddingInterceptor",6,"49,49,49",5,"49,294,25,25",,1,5,2,12,1,1,""
"org.axonframework.axonserver.connector.util.GrpcObjectSerializer$Serializer","GrpcObjectSerializer$Serializer",2,"616,19,192",2,"616,215,41,7",,0,0,4,65,3,1,""
"org.axonframework.axonserver.connector.util.GrpcPayloadSerializer","GrpcPayloadSerializer",2,"616,19,192",2,"616,215,41,7",,0,0,6,25,4,5,""
"org.axonframework.axonserver.connector.util.GrpcPayloadSerializer$1","GrpcPayloadSerializer$1",2,"616,19,192",2,"616,215,41,7",,0,0,5,0,1,5,""
"org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor$AdditionalMessageRequestingCall","GrpcBufferingInterceptor$AdditionalMessageRequestingCall",9,"66,66,66",8,"66,297,79,13",,2,6,1,60,1,,""
"org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor","GrpcBufferingInterceptor",9,"66,66,66",8,"66,297,79,13",,2,6,1,20,,1,""
"org.axonframework.axonserver.connector.util.GrpcMetadataSerializer","GrpcMetadataSerializer",2,"616,19,192",2,"168,14,24,5",,0,0,5,44,3,2,""
"org.axonframework.axonserver.connector.util.ExceptionSerializer","ExceptionSerializer",2,"616,19,192",2,"41,215,41,7",,0,0,7,44,7,1,""
"org.axonframework.axonserver.connector.util.GrpcSerializedObject$1","GrpcSerializedObject$1",7,"57,55,55",6,"168,14,24,5",,0,0,3,37,1,2,""
"org.axonframework.axonserver.connector.util.GrpcMetaData","GrpcMetaData",7,"56,55,55",6,"168,14,24,5",,0,0,7,1,4,3,""
"org.axonframework.axonserver.connector.util.PriorityTaskSchedulers","PriorityTaskSchedulers",2,"46,19,192",2,"47,215,41,7",,0,4,2,33,1,1,""
"org.axonframework.axonserver.connector.util.FlowControllingStreamObserver","FlowControllingStreamObserver",5,"34,34,34",4,"76,171,54,0",,0,0,2,88,,2,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration","AxonServerConfiguration$FlowControlConfiguration",5,"34,34,34",4,"76,171,54,0",,0,0,6,19,8,,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration",5,"34,34,34",4,"76,171,54,0",,0,0,10,53,28,7,""
"org.axonframework.axonserver.connector.util.ContextAddingInterceptor$1","ContextAddingInterceptor$1",10,"79,79,79",9,"79,299,80,14",,3,9,2,11,1,1,""
"org.axonframework.axonserver.connector.util.ContextAddingInterceptor","ContextAddingInterceptor",10,"79,79,79",9,"79,299,80,14",,3,9,2,73,1,1,""
"org.axonframework.axonserver.connector.util.GrpcObjectSerializer","GrpcObjectSerializer",2,"616,19,192",2,"616,215,41,7",,0,0,7,56,4,5,""
"org.axonframework.axonserver.connector.util.Scheduler","Scheduler",11,"85,944,944",6,"85,171,54,0",,0,10,3,86,2,1,""
"org.axonframework.axonserver.connector.util.Scheduler$ScheduledTask","Scheduler$ScheduledTask",11,"85,944,944",6,"85,171,54,0",,0,10,3,84,3,,""
"org.axonframework.axonserver.connector.util.ExecutorServiceBuilder","ExecutorServiceBuilder",5,"34,34,34",4,"76,171,54,0",,0,0,6,63,4,2,""
"org.axonframework.axonserver.connector.util.UpstreamAwareStreamObserver","UpstreamAwareStreamObserver",2,"41,19,192",2,"41,215,41,7",,0,0,1,60,1,,""
"org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor","HeartbeatMonitor",11,"85,944,944",6,"85,171,54,0",,0,10,3,42,,6,""
"org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor$DefaultScheduler","HeartbeatMonitor$DefaultScheduler",11,"85,944,944",6,"85,171,54,0",,0,10,3,82,1,2,""
"org.axonframework.axonserver.connector.heartbeat.source.GrpcHeartbeatSource","GrpcHeartbeatSource",5,"91,34,34",4,"91,171,54,0",,0,12,1,88,,2,""
"org.axonframework.axonserver.connector.heartbeat.HeartbeatConfiguration","HeartbeatConfiguration",5,"34,34,34",4,"76,171,54,0",,0,0,4,62,,4,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker.ActiveGrpcChannelChecker","ActiveGrpcChannelChecker",5,"95,34,34",4,"95,171,54,0",,0,11,3,61,1,2,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker.HeartbeatConnectionChecker","HeartbeatConnectionChecker",5,"95,34,34",4,"95,171,54,0",,0,11,3,29,,3,""
