"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-4.10.2","axon-messaging-4.10.2",3,64,0.046875,"org.axonframework.messaging,org.axonframework.common,org.axonframework.tracing","messaging,common,tracing",""
"axon-server-connector-4.10.2","axon-modelling-4.10.2",1,10,0.1,"org.axonframework.modelling.command","command",""
"axon-spring-boot-autoconfigure-4.10.2","axon-test-4.10.2",1,8,0.125,"org.axonframework.test.server","server",""
"axon-disruptor-4.10.2","axon-messaging-4.10.2",9,64,0.140625,"org.axonframework.commandhandling.callbacks,org.axonframework.common.caching,org.axonframework.messaging.unitofwork,org.axonframework.common,org.axonframework.messaging,org.axonframework.monitoring,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.common.transaction","callbacks,caching,unitofwork,common,messaging,monitoring,annotation,commandhandling,transaction",""
"axon-test-4.10.2","axon-messaging-4.10.2",10,64,0.15625,"org.axonframework.messaging,org.axonframework.deadline,org.axonframework.commandhandling,org.axonframework.messaging.unitofwork,org.axonframework.common.stream,org.axonframework.eventhandling,org.axonframework.common,org.axonframework.messaging.annotation,org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.scheduling","messaging,deadline,commandhandling,unitofwork,stream,eventhandling,common,annotation,gateway,scheduling",""
"axon-eventsourcing-4.10.2","axon-modelling-4.10.2",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.10.2","axon-modelling-4.10.2",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-test-4.10.2","axon-eventsourcing-4.10.2",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.10.2","axon-eventsourcing-4.10.2",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-modelling-4.10.2","axon-messaging-4.10.2",18,64,0.28125,"org.axonframework.messaging.annotation,org.axonframework.eventhandling,org.axonframework.common.annotation,org.axonframework.common,org.axonframework.messaging,org.axonframework.tracing,org.axonframework.common.property,org.axonframework.common.lock,org.axonframework.common.legacyjpa,org.axonframework.common.jpa,org.axonframework.serialization,org.axonframework.serialization.xml,org.axonframework.commandhandling,org.axonframework.messaging.unitofwork,org.axonframework.messaging.interceptors,org.axonframework.deadline,org.axonframework.common.jdbc,org.axonframework.common.caching","annotation,eventhandling,common,messaging,tracing,property,lock,legacyjpa,jpa,serialization,xml,commandhandling,unitofwork,interceptors,deadline,jdbc,caching",""
"axon-eventsourcing-4.10.2","axon-messaging-4.10.2",20,64,0.3125,"org.axonframework.serialization,org.axonframework.eventhandling,org.axonframework.common,org.axonframework.messaging,org.axonframework.common.jdbc,org.axonframework.common.io,org.axonframework.monitoring,org.axonframework.tracing,org.axonframework.common.stream,org.axonframework.lifecycle,org.axonframework.serialization.xml,org.axonframework.serialization.upcasting.event,org.axonframework.common.transaction,org.axonframework.messaging.unitofwork,org.axonframework.messaging.annotation,org.axonframework.common.lock,org.axonframework.common.caching,org.axonframework.common.jpa,org.axonframework.commandhandling,org.axonframework.common.legacyjpa","serialization,eventhandling,common,messaging,jdbc,io,monitoring,tracing,stream,lifecycle,xml,event,transaction,unitofwork,annotation,lock,caching,jpa,commandhandling,legacyjpa",""
"axon-server-connector-4.10.2","axon-eventsourcing-4.10.2",3,9,0.3333333333333333,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing","eventstore,snapshotting,eventsourcing",""
"axon-spring-boot-autoconfigure-4.10.2","axon-server-connector-4.10.2",4,11,0.36363636363636365,"org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector","axon,query,command,connector",""
"axon-server-connector-4.10.2","axon-messaging-4.10.2",25,64,0.390625,"org.axonframework.eventhandling.tokenstore,org.axonframework.eventhandling,org.axonframework.lifecycle,org.axonframework.common.transaction,org.axonframework.eventhandling.pooled,org.axonframework.messaging,org.axonframework.serialization,org.axonframework.common,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.callbacks,org.axonframework.tracing,org.axonframework.commandhandling,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.queryhandling,org.axonframework.messaging.responsetypes,org.axonframework.util,org.axonframework.common.stream,org.axonframework.common.jdbc,org.axonframework.serialization.xml,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.scheduling.java,org.axonframework.eventhandling.scheduling,org.axonframework.monitoring,org.axonframework.eventhandling.async,org.axonframework.messaging.unitofwork","tokenstore,eventhandling,lifecycle,transaction,pooled,messaging,serialization,common,distributed,callbacks,tracing,commandhandling,inmemory,queryhandling,responsetypes,util,stream,jdbc,xml,event,java,scheduling,monitoring,async,unitofwork",""
"axon-configuration-4.10.2","axon-eventsourcing-4.10.2",4,9,0.4444444444444444,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshotting","eventstore,jpa,eventsourcing,snapshotting",""
"axon-test-4.10.2","axon-modelling-4.10.2",5,10,0.5,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.inmemory","inspection,command,repository,saga,inmemory",""
"axon-configuration-4.10.2","axon-messaging-4.10.2",34,64,0.53125,"org.axonframework.tracing,org.axonframework.common,org.axonframework.serialization,org.axonframework.common.lock,org.axonframework.commandhandling,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.messaging.deadletter,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.messaging.correlation,org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.tokenstore,org.axonframework.deadline,org.axonframework.common.jpa,org.axonframework.eventhandling,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.gateway,org.axonframework.monitoring,org.axonframework.messaging.annotation,org.axonframework.messaging.interceptors,org.axonframework.common.annotation,org.axonframework.common.jdbc,org.axonframework.util,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.async,org.axonframework.serialization.xml,org.axonframework.eventhandling.pooled,org.axonframework.queryhandling,org.axonframework.common.caching,org.axonframework.messaging,org.axonframework.eventhandling.scheduling,org.axonframework.queryhandling.annotation,org.axonframework.lifecycle,org.axonframework.common.transaction,org.axonframework.messaging.unitofwork","tracing,common,serialization,lock,commandhandling,inmemory,deadletter,jpa,correlation,gateway,tokenstore,deadline,eventhandling,event,monitoring,annotation,interceptors,jdbc,util,async,xml,pooled,queryhandling,caching,messaging,scheduling,lifecycle,transaction,unitofwork",""
"axon-spring-boot-autoconfigure-4.10.2","axon-eventsourcing-4.10.2",5,9,0.5555555555555556,"org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.legacyjpa","jdbc,jpa,eventsourcing,eventstore,legacyjpa",""
"axon-configuration-4.10.2","axon-modelling-4.10.2",6,10,0.6,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.command,org.axonframework.modelling.saga.repository,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository.inmemory","saga,jpa,command,repository,inspection,inmemory",""
"axon-modelling-4.10.2","axon-modelling-4.10.2",6,10,0.6,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.jpa","saga,metamodel,inspection,command,repository,jpa",""
"axon-spring-boot-autoconfigure-4.10.2","axon-modelling-4.10.2",6,10,0.6,"org.axonframework.modelling.command,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.legacyjpa","command,jdbc,jpa,saga,repository,legacyjpa",""
"axon-spring-boot-autoconfigure-4.10.2","axon-messaging-4.10.2",39,64,0.609375,"org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.deadline.dbscheduler,org.axonframework.eventhandling.gateway,org.axonframework.eventhandling.pooled,org.axonframework.deadline.jobrunr,org.axonframework.messaging,org.axonframework.serialization.json,org.axonframework.messaging.deadletter,org.axonframework.tracing.attributes,org.axonframework.eventhandling,org.axonframework.common.jpa,org.axonframework.eventhandling.scheduling,org.axonframework.eventhandling.async,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.serialization,org.axonframework.commandhandling.gateway,org.axonframework.commandhandling,org.axonframework.tracing,org.axonframework.deadline,org.axonframework.eventhandling.scheduling.dbscheduler,org.axonframework.common.jdbc,org.axonframework.common.transaction,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.common,org.axonframework.queryhandling,org.axonframework.serialization.xml,org.axonframework.eventhandling.tokenstore,org.axonframework.lifecycle,org.axonframework.messaging.correlation,org.axonframework.eventhandling.deadletter,org.axonframework.messaging.interceptors,org.axonframework.commandhandling.distributed,org.axonframework.serialization.upcasting.event,org.axonframework.messaging.annotation,org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.tokenstore.legacyjpa","jdbc,dbscheduler,gateway,pooled,jobrunr,messaging,json,deadletter,attributes,eventhandling,jpa,scheduling,async,serialization,commandhandling,tracing,deadline,transaction,common,queryhandling,xml,tokenstore,lifecycle,correlation,interceptors,distributed,event,annotation,legacyjpa",""
"axon-test-4.10.2","axon-test-4.10.2",5,8,0.625,"org.axonframework.test.deadline,org.axonframework.test,org.axonframework.test.matchers,org.axonframework.test.eventscheduler,org.axonframework.test.utils","deadline,test,matchers,eventscheduler,utils",""
"axon-messaging-4.10.2","axon-messaging-4.10.2",41,64,0.640625,"org.axonframework.messaging.unitofwork,org.axonframework.messaging.annotation,org.axonframework.common,org.axonframework.messaging,org.axonframework.messaging.correlation,org.axonframework.common.transaction,org.axonframework.common.property,org.axonframework.eventhandling,org.axonframework.queryhandling,org.axonframework.util,org.axonframework.serialization,org.axonframework.messaging.deadletter,org.axonframework.common.jpa,org.axonframework.eventhandling.tokenstore,org.axonframework.common.jdbc,org.axonframework.lifecycle,org.axonframework.eventhandling.scheduling,org.axonframework.deadline,org.axonframework.messaging.responsetypes,org.axonframework.tracing,org.axonframework.commandhandling,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.monitoring,org.axonframework.common.stream,org.axonframework.eventhandling.replay,org.axonframework.eventhandling.async,org.axonframework.serialization.upcasting.event,org.axonframework.common.io,org.axonframework.deadline.jobrunr,org.axonframework.commandhandling.callbacks,org.axonframework.common.digest,org.axonframework.commandhandling.distributed,org.axonframework.common.annotation,org.axonframework.common.lock,org.axonframework.serialization.upcasting,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.messaging.interceptors,org.axonframework.queryhandling.registration,org.axonframework.serialization.xml","unitofwork,annotation,common,messaging,correlation,transaction,property,eventhandling,queryhandling,util,serialization,deadletter,jpa,tokenstore,jdbc,lifecycle,scheduling,deadline,responsetypes,tracing,commandhandling,legacyjpa,monitoring,stream,replay,async,event,io,jobrunr,callbacks,digest,distributed,lock,upcasting,commandfilter,interceptors,registration,xml",""
"axon-eventsourcing-4.10.2","axon-eventsourcing-4.10.2",7,9,0.7777777777777778,"org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.jdbc","snapshotting,eventsourcing,eventstore,statements,conflictresolution,jpa,jdbc",""
"axon-server-connector-4.10.2","axon-server-connector-4.10.2",9,11,0.8181818181818182,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.event.util,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.heartbeat,org.axonframework.axonserver.connector.query.subscription,org.axonframework.axonserver.connector.processor","connector,util,query,axon,command,heartbeat,subscription,processor",""
"axon-spring-boot-autoconfigure-4.10.2","axon-spring-boot-autoconfigure-4.10.2",8,9,0.8888888888888888,"org.axonframework.springboot.util.jpa,org.axonframework.actuator.axonserver,org.axonframework.springboot.service.connection,org.axonframework.springboot,org.axonframework.springboot.util,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.autoconfig,org.axonframework.actuator","jpa,axonserver,connection,springboot,util,legacyjpa,autoconfig,actuator",""
"axon-spring-boot-autoconfigure-4.10.2","axon-tracing-opentelemetry-4.10.2",1,1,1,"org.axonframework.tracing.opentelemetry","opentelemetry",""
"axon-server-connector-4.10.2","axon-configuration-4.10.2",1,1,1,"org.axonframework.config","config",""
"axon-spring-boot-autoconfigure-4.10.2","axon-configuration-4.10.2",1,1,1,"org.axonframework.config","config",""
"axon-configuration-4.10.2","axon-disruptor-4.10.2",1,1,1,"org.axonframework.disruptor.commandhandling","commandhandling",""
