"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.axonserver.connector","connector","embeddingsNode2Vec","0.22409685,0.6196573,0.025861379,0.07383304,-0.34892163,0.1081006,0.25972095,-0.11450112,-0.470803,0.2915929,-0.23888196,-0.6851877,0.1024983,-0.35739493,0.11518585,-0.1755885,-0.046401165,-0.46897995,-0.07731766,0.38775504,0.26765823,-0.31779537,0.056547485,-0.27320373,0.033347007,0.2634079,0.29942986,0.06681131,0.021903574,0.19345386,0.113860905,-0.29660842",""
"org.axonframework.axonserver.connector.util","util","embeddingsNode2Vec","0.17398426,0.553505,0.08276199,-0.104445726,-0.2299739,-0.010075082,-0.041517638,-0.231595,-0.62901384,0.7082105,-0.2698927,-0.8514088,0.3127454,-0.360065,0.01783729,-0.31793457,-0.16152915,-0.33748183,0.18440439,0.4291838,0.288105,-0.1475169,0.0883287,-0.28264385,0.074535824,0.32713944,0.40785107,0.14992577,-0.12512916,0.005438808,0.09525434,-0.30007273",""
"org.axonframework.axonserver.connector.heartbeat","heartbeat","embeddingsNode2Vec","0.35892534,0.7685264,0.10940463,-0.08985305,-0.2490674,0.15448754,0.18482853,-0.13667749,-0.49378157,0.42397124,-0.26147118,-0.75588644,0.1759413,-0.3054395,0.34837914,-0.2239235,-0.11911106,-0.44716868,0.032317936,0.25522718,0.1408174,-0.19165698,0.11833528,-0.11743018,-0.030745149,0.27105102,0.32635522,0.11282763,-0.06244803,0.13695058,0.21027508,-0.386169",""
"org.axonframework.axonserver.connector.heartbeat.source","source","embeddingsNode2Vec","0.09450307,0.4221387,0.020290587,0.0522052,-0.39317605,0.123705715,0.11289901,-0.02093113,-0.49623922,0.17865407,-0.17776088,-0.7212188,0.13794088,-0.18113308,0.12712686,-0.13673615,-0.1840297,-0.31507877,0.0063233096,0.03433149,0.07940332,-0.17684384,0.061325092,-0.07333511,-0.118154705,0.40210286,0.15636106,0.08978997,0.046634857,0.25813985,0.3064042,-0.18146822",""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker","embeddingsNode2Vec","0.29570442,0.5775134,0.025083497,0.010382394,-0.29493427,0.028336769,0.008213218,-0.2180525,-0.58098584,0.5412962,-0.24668315,-0.8106496,0.11470387,-0.31957957,0.20160212,-0.25589225,-0.09822367,-0.34106085,0.02850589,0.285843,0.12397175,-0.2220268,0.08933142,-0.09723352,-0.05633728,0.4171761,0.31733376,0.08543883,-0.06445136,0.22659265,0.22212444,-0.41445833",""
"org.axonframework.axonserver.connector.query","query","embeddingsNode2Vec","0.29874796,0.5103985,0.12510014,0.088481344,-0.24917404,0.05752814,-0.07132804,0.10273163,-0.5270269,0.3254234,-0.13037851,-0.8694894,0.16301215,-0.4289823,0.24100977,-0.2698363,-0.17619923,-0.36062855,-0.1645898,0.24639773,0.09820995,-0.16474941,0.17529428,-0.25102228,-0.0023824107,0.5551555,0.31544772,-0.11914713,-0.15877706,0.0697615,0.045791246,-0.4786849",""
"org.axonframework.axonserver.connector.query.subscription","subscription","embeddingsNode2Vec","0.21812686,0.56046,0.052436713,0.10529099,-0.22121555,0.061860442,-0.07317677,-0.19198601,-0.515697,0.4937794,-0.10619465,-0.96212125,0.22819105,-0.43264017,0.1147008,-0.42675123,-0.14173521,-0.26196644,0.01717765,0.20409696,0.13260369,-0.06221243,0.09123562,-0.090229675,0.0036644717,0.6342507,0.17115529,-0.14810053,-0.34444845,-0.004088749,0.2064253,-0.38123763",""
"org.axonframework.axonserver.connector.processor","processor","embeddingsNode2Vec","0.28810945,0.67879766,0.31413466,0.23699023,-0.33173645,-0.018539377,0.28147298,0.11936954,-0.35382316,0.3924099,-0.31632027,-0.7933725,0.19732977,-0.11530105,0.044028927,-0.050825052,-0.1820521,-0.50804466,0.1036273,0.345744,0.25643095,-0.07527368,0.21097793,-0.16418873,-0.14983138,0.3187482,0.20674327,0.19077194,0.20222591,-0.048140123,0.09462264,-0.15288194",""
"org.axonframework.axonserver.connector.command","command","embeddingsNode2Vec","0.19383784,0.5832781,-0.16570868,-0.13578595,-0.36110324,0.05033059,0.079611026,0.011079948,-0.35944295,0.20732406,-0.39559954,-0.7247048,0.078120716,-0.2631377,0.29299647,-0.40109798,-0.056620948,-0.5214077,-0.14217044,0.2560791,-0.031366736,-0.15818295,0.1404005,-0.10798747,-0.14330854,0.45855784,0.21284026,0.03350929,-0.049762696,0.23682933,0.34011912,-0.30959204",""
"org.axonframework.axonserver.connector.event.util","util","embeddingsNode2Vec","0.117551476,0.6160678,0.038966727,0.010246898,-0.23157932,0.16506025,-0.07478676,0.083575286,-0.59197956,0.100329764,-0.17196265,-0.7973899,0.23934487,-0.29155475,0.3644462,-0.31254107,-0.17193812,-0.35777026,-0.046365038,0.08784627,0.07257004,-0.27170587,-0.033606794,-0.14620234,-0.21414892,0.45719898,0.2029911,0.0016850997,-0.033028312,0.15751627,0.106172,-0.23937495",""
