"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityArticleRank",0.7279819904123795,""
"org.axonframework.messaging","messaging","centralityArticleRank",0.45236977273332707,""
"org.axonframework.eventhandling","eventhandling","centralityArticleRank",0.276508203291445,""
"org.axonframework.serialization","serialization","centralityArticleRank",0.24897835550617736,""
"org.axonframework.messaging.unitofwork","unitofwork","centralityArticleRank",0.14512773137061794,""
"org.axonframework.messaging.annotation","annotation","centralityArticleRank",0.11990706159955865,""
"org.axonframework.commandhandling","commandhandling","centralityArticleRank",0.08488041331178031,""
"org.axonframework.axonserver.connector","connector","centralityArticleRank",0.08219507840637508,""
"org.axonframework.modelling.saga","saga","centralityArticleRank",0.06768871343909673,""
"org.axonframework.tracing","tracing","centralityArticleRank",0.06297605642538195,""
"org.axonframework.queryhandling","queryhandling","centralityArticleRank",0.0627089147501356,""
"org.axonframework.eventhandling.tokenstore","tokenstore","centralityArticleRank",0.05369775640031952,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityArticleRank",0.04988004368135969,""
"org.axonframework.modelling.command","command","centralityArticleRank",0.047922805496944235,""
"org.axonframework.common.transaction","transaction","centralityArticleRank",0.046060698313366864,""
"org.axonframework.deadline","deadline","centralityArticleRank",0.04130053460520119,""
"org.axonframework.common.jdbc","jdbc","centralityArticleRank",0.04016970368606447,""
"org.axonframework.config","config","centralityArticleRank",0.040057876096045386,""
"org.axonframework.common.annotation","annotation","centralityArticleRank",0.038119191060763925,""
"org.axonframework.test","test","centralityArticleRank",0.03592737409937705,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","centralityArticleRank",0.03444789075000106,""
"org.axonframework.messaging.deadletter","deadletter","centralityArticleRank",0.034216136398975236,""
"org.axonframework.monitoring","monitoring","centralityArticleRank",0.03324863258107489,""
"org.axonframework.common.io","io","centralityArticleRank",0.03313162776765536,""
"org.axonframework.axonserver.connector.util","util","centralityArticleRank",0.032523071036317686,""
"org.axonframework.springboot","springboot","centralityArticleRank",0.032328304306420357,""
"org.axonframework.modelling.command.inspection","inspection","centralityArticleRank",0.029923743723394895,""
"org.axonframework.commandhandling.distributed","distributed","centralityArticleRank",0.029738881903215653,""
"org.axonframework.lifecycle","lifecycle","centralityArticleRank",0.029685934733378327,""
"org.axonframework.axonserver.connector.event.axon","axon","centralityArticleRank",0.028522474020821004,""
"org.axonframework.util","util","centralityArticleRank",0.02842279129588844,""
"org.axonframework.common.stream","stream","centralityArticleRank",0.027173786652541703,""
"org.axonframework.modelling.saga.metamodel","metamodel","centralityArticleRank",0.027036560079150847,""
"org.axonframework.test.matchers","matchers","centralityArticleRank",0.026718053629197394,""
"org.axonframework.serialization.upcasting.event","event","centralityArticleRank",0.02671657067441474,""
