"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",53,284,310,1339,81,1110,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",43,99,175,483,81,1110,"Logger,LoggerFactory",""
"com.fasterxml",12,28,80,191,81,1110,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonTypeInfo$As,JsonIgnore,TypeFactory,JsonParser",""
"javax.persistence",9,24,71,329,81,1110,"EntityManager,LockModeType,Table,Index,Entity,Id,Basic,GeneratedValue,EntityNotFoundException",""
"org.hamcrest",5,27,60,493,81,1110,"Matcher,StringDescription,CoreMatchers,Description,TypeSafeMatcher,BaseMatcher,Matchers",""
"com.thoughtworks",2,6,19,83,81,1110,"CannotResolveClassException,Mapper,XStream,UnmarshallingContext,HierarchicalStreamReader,HierarchicalStreamWriter,MarshallingContext,MapConverter,HierarchicalStreamDriver",""
"org.junit",2,4,8,18,81,1110,"Statement,AfterEachCallback,ExtensionContext,BeforeEachCallback,TestRule,Description,Assertions",""
"org.quartz",2,9,38,228,81,1110,"JobDataMap,Job,SchedulerContext,JobExecutionException,JobExecutionContext,Scheduler,JobDetail,SchedulerException,GroupMatcher",""
"reactor.core",2,16,34,151,81,1110,"Mono,Flux,Disposable,FluxSink,Signal,ConnectableFlux,Sinks,Sinks$MulticastReplaySpec,FluxSink$OverflowStrategy",""
"com.lmax",1,7,14,51,81,1110,"ExceptionHandler,Disruptor,EventHandler,LifecycleAware,RingBuffer,EventHandlerGroup,ProducerType,WaitStrategy,BlockingWaitStrategy",""
"javax.cache",1,2,12,59,81,1110,"Cache,CacheEntryListenerConfiguration,CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryListener,CacheEntryRemovedListener,CacheEntryUpdatedListener,Factory",""
"javax.validation",1,2,5,22,81,1110,"Validator,ConstraintViolation,ValidatorFactory,Validation",""
"net.sf",1,2,8,72,81,1110,"CacheEventListener,CacheException,Ehcache,Element,RegisteredEventListeners",""
"nu.xom",1,3,5,16,81,1110,"Document,Builder,ParsingException",""
"org.dom4j",1,3,4,15,81,1110,"Document,STAXEventReader",""
"org.testcontainers",1,2,7,27,81,1110,"Wait,DockerImageName,GenericContainer,MountableFile",""
