"packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Package_Dependencies.cypher"
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.test",16,102,15,0,6,1,""
"org.axonframework.test.aggregate",31,242,14,0,1,1,""
"org.axonframework.test.matchers",51,215,23,0,4,1,""
"org.axonframework.test.saga",43,196,15,0,1,1,""
"org.axonframework.test.server",0,0,0,0,0,0,""
"org.axonframework.test.utils",8,24,6,0,2,1,""
"org.axonframework.test.deadline",10,117,6,0,3,1,""
"org.axonframework.test.eventscheduler",9,66,5,0,2,1,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.disruptor",0,0,0,0,0,0,""
"org.axonframework.disruptor.commandhandling",55,269,21,0,2,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.modelling",0,0,0,0,0,0,""
"org.axonframework.modelling.command",201,805,73,0,9,5,""
"org.axonframework.modelling.command.inspection",78,349,41,0,6,5,""
"org.axonframework.modelling.saga",111,551,55,0,9,3,""
"org.axonframework.modelling.saga.metamodel",15,51,9,0,3,1,""
"org.axonframework.modelling.saga.repository",47,203,26,0,6,3,""
"org.axonframework.modelling.saga.repository.inmemory",5,23,5,0,3,3,""
"org.axonframework.modelling.saga.repository.jdbc",13,71,6,0,1,1,""
"org.axonframework.modelling.saga.repository.jpa",11,58,5,0,3,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.commandhandling",267,1139,122,0,18,6,""
"org.axonframework.commandhandling.callbacks",8,27,7,0,4,2,""
"org.axonframework.commandhandling.distributed",50,289,24,0,2,1,""
"org.axonframework.commandhandling.distributed.commandfilter",12,22,6,0,2,1,""
"org.axonframework.commandhandling.gateway",101,409,35,0,3,3,""
"org.axonframework.common",397,980,297,0,65,6,""
"org.axonframework.common.annotation",22,37,22,0,10,3,""
"org.axonframework.common.caching",30,174,19,0,5,5,""
"org.axonframework.common.digest",1,1,1,0,1,1,""
"org.axonframework.common.io",8,17,8,0,7,2,""
"org.axonframework.common.jdbc",47,264,23,0,7,4,""
"org.axonframework.common.jpa",16,92,15,0,7,4,""
"org.axonframework.common.lock",40,174,20,0,6,4,""
"org.axonframework.common.property",23,50,13,0,5,2,""
"org.axonframework.common.stream",16,76,14,0,6,3,""
"org.axonframework.common.transaction",73,255,57,0,19,4,""
"org.axonframework.deadline",49,333,30,0,9,3,""
"org.axonframework.deadline.annotation",6,10,3,0,1,1,""
"org.axonframework.deadline.quartz",5,28,3,0,1,1,""
"org.axonframework.eventhandling",660,4010,260,0,38,5,""
"org.axonframework.eventhandling.async",36,110,18,0,3,2,""
"org.axonframework.eventhandling.deadletter",9,53,5,0,2,2,""
"org.axonframework.eventhandling.deadletter.jpa",16,176,7,0,1,1,""
"org.axonframework.eventhandling.gateway",11,41,5,0,2,2,""
"org.axonframework.eventhandling.interceptors",0,0,0,0,0,0,""
"org.axonframework.eventhandling.pooled",52,422,15,0,2,2,""
"org.axonframework.eventhandling.replay",12,30,8,0,2,1,""
"org.axonframework.eventhandling.scheduling",12,36,8,0,5,3,""
"org.axonframework.eventhandling.scheduling.java",5,29,3,0,1,1,""
"org.axonframework.eventhandling.scheduling.quartz",10,45,4,0,1,1,""
"org.axonframework.eventhandling.tokenstore",42,250,25,0,7,2,""
"org.axonframework.eventhandling.tokenstore.inmemory",2,19,2,0,2,2,""
"org.axonframework.eventhandling.tokenstore.jdbc",16,141,9,0,1,1,""
"org.axonframework.eventhandling.tokenstore.jpa",7,78,4,0,2,2,""
"org.axonframework.lifecycle",38,103,18,0,9,2,""
"org.axonframework.messaging",520,1996,300,0,46,6,""
"org.axonframework.messaging.annotation",320,1146,143,0,23,6,""
"org.axonframework.messaging.correlation",11,30,10,0,4,2,""
"org.axonframework.messaging.deadletter",70,361,23,0,4,2,""
"org.axonframework.messaging.interceptors",10,16,8,0,5,3,""
"org.axonframework.messaging.responsetypes",36,159,21,0,4,1,""
"org.axonframework.messaging.unitofwork",164,858,77,0,30,6,""
"org.axonframework.monitoring",60,213,38,0,9,4,""
"org.axonframework.queryhandling",144,778,47,0,9,2,""
"org.axonframework.queryhandling.annotation",4,12,4,0,2,2,""
"org.axonframework.queryhandling.registration",9,16,5,0,2,1,""
"org.axonframework.serialization",259,1133,110,0,24,4,""
"org.axonframework.serialization.converters",0,0,0,0,0,0,""
"org.axonframework.serialization.json",7,24,2,0,1,1,""
"org.axonframework.serialization.upcasting",11,26,11,0,2,1,""
"org.axonframework.serialization.upcasting.event",37,142,22,0,7,3,""
"org.axonframework.serialization.xml",16,31,9,0,7,4,""
"org.axonframework.tracing",116,490,59,0,13,4,""
"org.axonframework.tracing.attributes",0,0,0,0,0,0,""
"org.axonframework.util",3,8,3,0,3,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.eventsourcing",113,538,41,0,5,4,""
"org.axonframework.eventsourcing.conflictresolution",15,46,7,0,2,1,""
"org.axonframework.eventsourcing.eventstore",109,594,54,0,9,4,""
"org.axonframework.eventsourcing.eventstore.inmemory",1,3,1,0,1,1,""
"org.axonframework.eventsourcing.eventstore.jdbc",36,299,26,0,2,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements",30,99,5,0,2,1,""
"org.axonframework.eventsourcing.eventstore.jpa",7,34,3,0,2,2,""
"org.axonframework.eventsourcing.snapshotting",13,47,10,0,5,2,""
"org",0,0,0,0,0,0,""
"org.axonframework",0,0,0,0,0,0,""
"org.axonframework.config",115,1475,34,0,1,1,""
