"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.eventhandling","eventhandling",852,4309,1540,""
"org.axonframework.tracing","tracing",432.1666666666667,170,122,""
"org.axonframework.messaging","messaging",385.5,8273,119,""
"org.axonframework.serialization","serialization",342.1666666666667,1019,176,""
"org.axonframework.messaging.annotation","annotation",327,1016,285,""
"org.axonframework.queryhandling","queryhandling",269,174,1108,""
"org.axonframework.commandhandling","commandhandling",211.16666666666666,1510,378,""
"org.axonframework.eventsourcing.eventstore","eventstore",145.91666666666669,166,603,""
"org.axonframework.util","util",131.41666666666666,3,6,""
"org.axonframework.lifecycle","lifecycle",125.33333333333333,62,10,""
"org.axonframework.modelling.saga.repository","repository",99.25,70,199,""
"org.axonframework.serialization.upcasting.event","event",75,38,188,""
"org.axonframework.eventhandling.tokenstore","tokenstore",73,69,14,""
"org.axonframework.messaging.unitofwork","unitofwork",71.66666666666666,240,123,""
"org.axonframework.messaging.interceptors","interceptors",70.5,10,119,""
"org.axonframework.eventhandling.async","async",68.5,41,76,""
"org.axonframework.eventhandling.replay","replay",62.83333333333333,12,72,""
"org.axonframework.messaging.correlation","correlation",59,25,14,""
"org.axonframework.deadline","deadline",56.08333333333333,159,347,""
"org.axonframework.queryhandling.registration","registration",53,9,13,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",46,23,17,""
"org.axonframework.messaging.responsetypes","responsetypes",42,77,22,""
"org.axonframework.modelling.command","command",35.08333333333333,242,827,""
"org.axonframework.eventsourcing","eventsourcing",29,128,928,""
"org.axonframework.monitoring","monitoring",26.5,183,21,""
"org.axonframework.test.matchers","matchers",23.5,58,51,""
"org.axonframework.modelling.saga","saga",23,236,386,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",11,218,1340,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",10,15,99,""
"org.axonframework.test","test",10,15,13,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",9,9,236,""
"org.axonframework.serialization.xml","xml",8,17,28,""
"org.axonframework.common.annotation","annotation",7.5,22,3,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",7.25,4,15,""
"org.axonframework.common.jpa","jpa",7.25,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",7,14,6,""
"org.axonframework.common.jdbc","jdbc",6,49,41,""
"org.axonframework.modelling.saga.metamodel","metamodel",4,15,53,""
"org.axonframework.modelling.command.inspection","inspection",3.5,80,525,""
"org.axonframework.test.deadline","deadline",3,9,138,""
"org.axonframework.commandhandling.gateway","gateway",2.5,98,447,""
"org.axonframework.test.eventscheduler","eventscheduler",2,8,38,""
"org.axonframework.modelling.saga.repository.jpa","jpa",2,12,86,""
"org.axonframework.common.property","property",2,23,15,""
"org.axonframework.eventhandling.scheduling","scheduling",1.5,16,2,""
"org.axonframework.queryhandling.annotation","annotation",1,4,199,""
"org.axonframework.common.caching","caching",1,29,40,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",1,12,34,""
"org.axonframework.commandhandling.distributed","distributed",1,50,603,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",1,25,317,""
