"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.common","common",0.7292037796629203,876,23,""
"org.axonframework.messaging","messaging",0.49252274111448696,8507,133,""
"org.axonframework.serialization","serialization",0.2757886003221683,1078,176,""
"org.axonframework.eventhandling","eventhandling",0.26406442759406723,4409,1557,""
"org.axonframework.messaging.unitofwork","unitofwork",0.14474173010094044,251,123,""
"org.axonframework.messaging.annotation","annotation",0.11352489548658455,1050,301,""
"org.axonframework.commandhandling","commandhandling",0.07319555112595551,1539,642,""
"org.axonframework.modelling.saga","saga",0.06394837597967193,242,386,""
"org.axonframework.common.transaction","transaction",0.049997359281146556,276,6,""
"org.axonframework.queryhandling","queryhandling",0.04675921677388153,175,1108,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.044713928150977966,69,42,""
"org.axonframework.tracing","tracing",0.04092794418195232,173,122,""
"org.axonframework.modelling.command","command",0.034609236185294615,254,827,""
"org.axonframework.common.annotation","annotation",0.033081117958263184,22,3,""
"org.axonframework.common.io","io",0.03188229217313224,10,0,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.030320343055429456,169,603,""
"org.axonframework.test","test",0.029993785787151825,16,13,""
"org.axonframework.monitoring","monitoring",0.029641593300541294,189,21,""
"org.axonframework.deadline","deadline",0.029110341705480904,165,347,""
"org.axonframework.util","util",0.02809660885856248,3,6,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.027498763262521504,218,1340,""
"org.axonframework.common.jdbc","jdbc",0.026625990754736834,49,41,""
"org.axonframework.messaging.deadletter","deadletter",0.025952351210925848,135,104,""
"org.axonframework.commandhandling.distributed","distributed",0.02546481273934314,50,603,""
"org.axonframework.modelling.command.inspection","inspection",0.024042584558427726,84,781,""
"org.axonframework.common.stream","stream",0.02376057940330234,29,5,""
"org.axonframework.serialization.upcasting.event","event",0.021873941092278987,38,188,""
"org.axonframework.messaging.responsetypes","responsetypes",0.021060035825841626,78,65,""
"org.axonframework.test.matchers","matchers",0.020995120978841597,61,51,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.020415522607661718,15,53,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.020254826668877696,9,119,""
"org.axonframework.messaging.correlation","correlation",0.019991951252062778,25,14,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.0196298927085347,12,86,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.019513443649503866,25,317,""
"org.axonframework.eventsourcing","eventsourcing",0.019261186547162766,134,976,""
"org.axonframework.lifecycle","lifecycle",0.01893149580037773,62,10,""
"org.axonframework.commandhandling.callbacks","callbacks",0.01840045289675946,8,39,""
