"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-modelling-4.7.5","org.axonframework.modelling.saga","saga",30,30,1,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",15,15,1,""
"axon-messaging-4.7.5","org.axonframework.serialization.upcasting.event","event",12,12,1,""
"axon-messaging-4.7.5","org.axonframework.lifecycle","lifecycle",10,10,1,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.conflictresolution","conflictresolution",9,9,1,""
"axon-messaging-4.7.5","org.axonframework.common.property","property",9,9,1,""
"axon-messaging-4.7.5","org.axonframework.messaging.interceptors","interceptors",8,8,1,""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","responsetypes",8,8,1,""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",7,7,1,""
"axon-messaging-4.7.5","org.axonframework.serialization.json","json",7,7,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore","tokenstore",7,7,1,""
"axon-messaging-4.7.5","org.axonframework.serialization.xml","xml",7,7,1,""
"axon-messaging-4.7.5","org.axonframework.tracing.attributes","attributes",6,6,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","quartz",6,6,1,""
"axon-messaging-4.7.5","org.axonframework.serialization.upcasting","upcasting",6,6,1,""
"axon-messaging-4.7.5","org.axonframework.serialization.converters","converters",5,5,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.gateway","gateway",5,5,1,""
"axon-messaging-4.7.5","org.axonframework.queryhandling.registration","registration",5,5,1,""
"axon-test-4.7.5","org.axonframework.test.eventscheduler","eventscheduler",5,5,1,""
"axon-messaging-4.7.5","org.axonframework.commandhandling.callbacks","callbacks",4,4,1,""
"axon-messaging-4.7.5","org.axonframework.messaging.correlation","correlation",4,4,1,""
"axon-messaging-4.7.5","org.axonframework.common.jpa","jpa",4,4,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jpa","jpa",4,4,1,""
"axon-messaging-4.7.5","org.axonframework.common.legacyjpa","legacyjpa",4,4,1,""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","quartz",4,4,1,""
"axon-test-4.7.5","org.axonframework.test.deadline","deadline",4,4,1,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.snapshotting","snapshotting",3,3,1,""
"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr","jobrunr",3,3,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",3,3,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling","scheduling",3,3,1,""
"axon-messaging-4.7.5","org.axonframework.util","util",3,3,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",2,2,1,""
"axon-messaging-4.7.5","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",2,2,1,""
"axon-modelling-4.7.5","org.axonframework.modelling.command.legacyjpa","legacyjpa",2,2,1,""
"axon-test-4.7.5","org.axonframework.test.server","server",2,2,1,""
"axon-messaging-4.7.5","org.axonframework.common.digest","digest",1,1,1,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.interceptors","interceptors",1,1,1,""
"axon-messaging-4.7.5","org.axonframework.common.io","io",1,1,1,""
"axon-test-4.7.5","org.axonframework.test.matchers","matchers",23,24,0.9583333333333334,""
"axon-messaging-4.7.5","org.axonframework.messaging.deadletter","deadletter",18,19,0.9473684210526315,""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","distributed",24,26,0.9230769230769231,""
"axon-messaging-4.7.5","org.axonframework.messaging","messaging",32,35,0.9142857142857143,""
"axon-messaging-4.7.5","org.axonframework.commandhandling","commandhandling",26,29,0.896551724137931,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",8,9,0.8888888888888888,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","jpa",8,9,0.8888888888888888,""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jdbc","jdbc",8,9,0.8888888888888888,""
"axon-modelling-4.7.5","org.axonframework.modelling.command","command",45,51,0.8823529411764706,""
"axon-messaging-4.7.5","org.axonframework.common","common",24,28,0.8571428571428571,""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jpa","jpa",6,7,0.8571428571428571,""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository.jpa","jpa",6,7,0.8571428571428571,""
"axon-messaging-4.7.5","org.axonframework.eventhandling","eventhandling",78,93,0.8387096774193549,""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",5,6,0.8333333333333334,""
