"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.common","common",0.678186043108819,917,23,""
"org.axonframework.messaging","messaging",0.5043331941520721,8829,133,""
"org.axonframework.eventhandling","eventhandling",0.29552887569670505,4937,1557,""
"org.axonframework.serialization","serialization",0.2883452354592796,1240,176,""
"org.axonframework.messaging.unitofwork","unitofwork",0.15971488808183534,258,123,""
"org.axonframework.messaging.annotation","annotation",0.12649580032432697,1056,301,""
"org.axonframework.commandhandling","commandhandling",0.08164739246735564,1539,642,""
"org.axonframework.modelling.saga","saga",0.07486273244245578,242,398,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.05586085245048023,69,42,""
"org.axonframework.queryhandling","queryhandling",0.05208571956483049,182,1116,""
"org.axonframework.tracing","tracing",0.05145879172418618,187,122,""
"org.axonframework.common.transaction","transaction",0.049912062231886024,310,6,""
"org.axonframework.modelling.command","command",0.045168644996149365,254,827,""
"org.axonframework.common.jdbc","jdbc",0.04021807414537877,65,56,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.04005124697642609,169,603,""
"org.axonframework.deadline","deadline",0.0394993342390043,188,347,""
"org.axonframework.common.annotation","annotation",0.03830650921338963,22,3,""
"org.axonframework.messaging.deadletter","deadletter",0.036556015156126796,198,105,""
"org.axonframework.test","test",0.0364367055992218,16,13,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.036219320789531835,218,1340,""
"org.axonframework.monitoring","monitoring",0.0360883506417196,188,21,""
"org.axonframework.common.io","io",0.03500271078860973,10,0,""
"org.axonframework.util","util",0.03289489586580611,3,6,""
"org.axonframework.modelling.command.inspection","inspection",0.0318802504890314,84,781,""
"org.axonframework.commandhandling.distributed","distributed",0.031014848754844518,50,752,""
"org.axonframework.common.stream","stream",0.029919664512279096,29,5,""
"org.axonframework.serialization.upcasting.event","event",0.02817430999381074,38,188,""
"org.axonframework.test.matchers","matchers",0.02805243236024477,61,51,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.027367964404947324,15,67,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.027192153560677192,9,119,""
"org.axonframework.messaging.responsetypes","responsetypes",0.026839458753861,78,65,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.026392179694147023,25,317,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.026211698043520276,12,86,""
"org.axonframework.eventsourcing","eventsourcing",0.026039642725132556,134,976,""
"org.axonframework.lifecycle","lifecycle",0.025457733267357688,71,10,""
"org.axonframework.messaging.correlation","correlation",0.025190054802760268,25,14,""
"org.axonframework.eventhandling.scheduling","scheduling",0.024897794233115958,20,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.024256853578238237,30,80,""
"org.axonframework.commandhandling.callbacks","callbacks",0.023959914714336374,8,39,""
"org.axonframework.common.lock","lock",0.023949323018834255,46,25,""
"org.axonframework.common.jpa","jpa",0.02362850394569142,16,6,""
"org.axonframework.messaging.interceptors","interceptors",0.023507453961463674,10,119,""
"org.axonframework.serialization.upcasting","upcasting",0.023302400996835015,11,5,""
"org.axonframework.test.deadline","deadline",0.02218666857325892,10,138,""
"org.axonframework.common.legacyjpa","legacyjpa",0.022180851191382172,14,6,""
"org.axonframework.common.property","property",0.02216440394139095,23,15,""
"org.axonframework.eventhandling.async","async",0.022135857518745302,41,76,""
"org.axonframework.modelling.saga.repository","repository",0.022113075079503455,72,231,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.02169876184077134,12,34,""
"org.axonframework.serialization.xml","xml",0.021654910556897267,17,28,""
"org.axonframework.eventhandling.replay","replay",0.021252543611810597,12,72,""
"org.axonframework.commandhandling.gateway","gateway",0.020991989958552865,97,443,""
"org.axonframework.common.caching","caching",0.020889863355984483,37,49,""
"org.axonframework.test.eventscheduler","eventscheduler",0.020833308663733115,9,38,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.020757972500518113,23,17,""
"org.axonframework.test.utils","utils",0.02059418912562105,8,70,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.020581777894687747,9,236,""
"org.axonframework.eventhandling.pooled","pooled",0.020517344214269498,52,1022,""
"org.axonframework.eventhandling.deadletter","deadletter",0.020464450449329586,9,386,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.020441296354506956,5,15,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.020373844405578222,15,99,""
"org.axonframework.queryhandling.registration","registration",0.020075769694677028,9,13,""
"org.axonframework.deadline.jobrunr","jobrunr",0.02006893328429938,5,433,""
"org.axonframework.common.digest","digest",0.020062445722711902,2,1,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.019882619034990508,55,1487,""
"org.axonframework.eventhandling.gateway","gateway",0.019856172152520547,11,52,""
"org.axonframework.queryhandling.annotation","annotation",0.019776831505110677,4,199,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.01972393774017076,2,25,""
"org.axonframework.test.aggregate","aggregate",0.0196974908577008,31,2223,""
"org.axonframework.deadline.annotation","annotation",0.0196974908577008,6,29,""
"org.axonframework.tracing.attributes","attributes",0.0196974908577008,0,43,""
"org.axonframework.config","config",0.0196974908577008,115,7974,""
"org.axonframework.serialization.converters","converters",0.0196974908577008,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.0196974908577008,6,503,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.0196974908577008,6,213,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.0196974908577008,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0.0196974908577008,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0.0196974908577008,5,76,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.0196974908577008,16,136,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.0196974908577008,34,581,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.0196974908577008,16,195,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.0196974908577008,3,209,""
"org.axonframework.serialization.json","json",0.0196974908577008,7,87,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.0196974908577008,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.0196974908577008,3,81,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.0196974908577008,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.0196974908577008,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.0196974908577008,2,106,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.0196974908577008,1,27,""
"org.axonframework.deadline.quartz","quartz",0.0196974908577008,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.0196974908577008,10,202,""
"org.axonframework.test.saga","saga",0.0196974908577008,43,1375,""
"org.axonframework.test.server","server",0.0196974908577008,1,2,""
