"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_package_usage_per_artifact.cypher"
"axon-configuration-4.8.0","javax.annotation",12,104,39,"Nonnull",""
"axon-configuration-4.8.0","org.slf4j",9,28,39,"LoggerFactory,Logger",""
"axon-disruptor-4.8.0","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.8.0","com.lmax.disruptor",9,29,22,"RingBuffer,EventHandler,LifecycleAware,WaitStrategy,BlockingWaitStrategy,ExceptionHandler",""
"axon-disruptor-4.8.0","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.8.0","com.lmax.disruptor.dsl",5,22,22,"Disruptor,EventHandlerGroup,ProducerType",""
"axon-eventsourcing-4.8.0","javax.annotation",29,94,130,"Nonnull,PreDestroy,Nullable",""
"axon-eventsourcing-4.8.0","org.slf4j",23,43,130,"Logger,LoggerFactory",""
"axon-eventsourcing-4.8.0","javax.persistence",11,50,130,"Entity,MappedSuperclass,IdClass,Id,Query,EntityManager,TypedQuery,Index,Table,EntityExistsException",""
"axon-eventsourcing-4.8.0","jakarta.persistence",11,50,130,"Entity,IdClass,Id,MappedSuperclass,Table,Index,Query,TypedQuery,EntityManager,EntityExistsException",""
"axon-eventsourcing-4.8.0","javax.sql",4,18,130,"DataSource",""
"axon-messaging-4.8.0","javax.annotation",245,1160,762,"Nonnull,Nullable",""
"axon-messaging-4.8.0","org.slf4j",136,419,762,"Logger,LoggerFactory",""
"axon-messaging-4.8.0","com.fasterxml.jackson.annotation",53,81,762,"JsonCreator,JsonProperty,JsonGetter,JsonTypeInfo,JsonTypeInfo$Id,JsonIgnore,JsonTypeInfo$As",""
"axon-messaging-4.8.0","javax.persistence",44,194,762,"Lob,Column,Basic,Id,IdClass,Entity,NoResultException,Query,EntityManager,TypedQuery,Embeddable,MappedSuperclass,Table,Embedded,Index,LockModeType,GeneratedValue",""
"axon-messaging-4.8.0","jakarta.persistence",40,188,762,"IdClass,Lob,Id,Column,Basic,Entity,Embeddable,TypedQuery,MappedSuperclass,EntityManager,LockModeType,Index,Embedded,Table,Query,NoResultException,GeneratedValue",""
"axon-messaging-4.8.0","org.quartz",37,226,762,"JobDataMap,JobBuilder,Scheduler,SchedulerException,Trigger,JobDetail,TriggerBuilder,SchedulerContext,JobKey,JobExecutionException,Job,JobExecutionContext",""
"axon-messaging-4.8.0","reactor.core.publisher",35,157,762,"Flux,Mono,FluxSink,FluxSink$OverflowStrategy,Signal,Sinks$Many,Sinks$EmitResult,MonoSink,ConnectableFlux,Sinks$ManySpec,Sinks$MulticastReplaySpec,EmitterProcessor,Sinks",""
"axon-messaging-4.8.0","com.fasterxml.jackson.databind",15,73,762,"JsonNode,ObjectMapper,DeserializationContext,JsonDeserializer,ObjectReader,ObjectWriter,DeserializationFeature,ObjectMapper$DefaultTyping",""
"axon-messaging-4.8.0","org.reactivestreams",13,41,762,"Publisher",""
"axon-messaging-4.8.0","com.github.kagkarlsson.scheduler.task",10,50,762,"TaskWithDataDescriptor,ExecutionContext,Task,TaskInstance,TaskInstanceId",""
"axon-messaging-4.8.0","com.thoughtworks.xstream.io",9,46,762,"HierarchicalStreamReader,HierarchicalStreamWriter,HierarchicalStreamDriver",""
"axon-messaging-4.8.0","org.ehcache.event",8,33,762,"EventOrdering,EventFiring,EventType,CacheEventListener,CacheEvent",""
"axon-messaging-4.8.0","javax.cache.event",8,34,762,"CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryListenerException,CacheEntryUpdatedListener,CacheEntryEvent,CacheEntryRemovedListener,CacheEntryListener,CacheEntryExpiredListener",""
"axon-messaging-4.8.0","com.github.kagkarlsson.scheduler",7,54,762,"Scheduler,SchedulerState,ScheduledExecution",""
"axon-messaging-4.8.0","org.jobrunr.scheduling",6,37,762,"JobScheduler,JobBuilder",""
"axon-messaging-4.8.0","com.thoughtworks.xstream.converters",6,12,762,"UnmarshallingContext,MarshallingContext",""
"axon-messaging-4.8.0","jakarta.validation",5,22,762,"ValidatorFactory,Validation,ConstraintViolation,Validator",""
"axon-messaging-4.8.0","com.thoughtworks.xstream.mapper",5,10,762,"CannotResolveClassException,Mapper",""
"axon-messaging-4.8.0","javax.validation",5,22,762,"ConstraintViolation,Validation,Validator,ValidatorFactory",""
"axon-messaging-4.8.0","net.sf.ehcache",5,63,762,"Ehcache,Element,CacheException",""
"axon-messaging-4.8.0","nu.xom",5,16,762,"Document,ParsingException,Builder",""
"axon-messaging-4.8.0","com.thoughtworks.xstream",4,47,762,"XStream",""
"axon-messaging-4.8.0","com.fasterxml.jackson.core",4,11,762,"JacksonException,JsonParser,JsonProcessingException",""
"axon-messaging-4.8.0","com.thoughtworks.xstream.io.xml",4,13,762,"XppDriver,CompactWriter,XomReader,Dom4JReader",""
"axon-messaging-4.8.0","com.fasterxml.jackson.databind.node",3,14,762,"ObjectNode,JsonNodeType",""
"axon-messaging-4.8.0","net.sf.ehcache.event",3,9,762,"CacheEventListener,RegisteredEventListeners",""
"axon-messaging-4.8.0","com.fasterxml.jackson.databind.type",3,3,762,"TypeFactory",""
