"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Package_Usage/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-disruptor-4.8.0","axon-messaging-4.8.0",9,64,0.140625,"org.axonframework.common.caching,org.axonframework.monitoring,org.axonframework.commandhandling,org.axonframework.common.transaction,org.axonframework.messaging.unitofwork,org.axonframework.messaging.annotation,org.axonframework.common,org.axonframework.commandhandling.callbacks,org.axonframework.messaging","caching,monitoring,commandhandling,transaction,unitofwork,annotation,common,callbacks,messaging",""
"axon-test-4.8.0","axon-messaging-4.8.0",10,64,0.15625,"org.axonframework.messaging,org.axonframework.common,org.axonframework.commandhandling,org.axonframework.messaging.annotation,org.axonframework.deadline,org.axonframework.common.stream,org.axonframework.messaging.unitofwork,org.axonframework.eventhandling,org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.scheduling","messaging,common,commandhandling,annotation,deadline,stream,unitofwork,eventhandling,gateway,scheduling",""
"axon-eventsourcing-4.8.0","axon-modelling-4.8.0",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.8.0","axon-modelling-4.8.0",2,10,0.2,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command","inspection,command",""
"axon-test-4.8.0","axon-eventsourcing-4.8.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.8.0","axon-eventsourcing-4.8.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-modelling-4.8.0","axon-messaging-4.8.0",18,64,0.28125,"org.axonframework.serialization,org.axonframework.serialization.xml,org.axonframework.common.jpa,org.axonframework.common,org.axonframework.messaging.annotation,org.axonframework.deadline,org.axonframework.eventhandling,org.axonframework.messaging,org.axonframework.messaging.interceptors,org.axonframework.common.lock,org.axonframework.messaging.unitofwork,org.axonframework.tracing,org.axonframework.common.property,org.axonframework.commandhandling,org.axonframework.common.annotation,org.axonframework.common.jdbc,org.axonframework.common.caching,org.axonframework.common.legacyjpa","serialization,xml,jpa,common,annotation,deadline,eventhandling,messaging,interceptors,lock,unitofwork,tracing,property,commandhandling,jdbc,caching,legacyjpa",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0",20,64,0.3125,"org.axonframework.serialization,org.axonframework.common.transaction,org.axonframework.common,org.axonframework.eventhandling,org.axonframework.common.jdbc,org.axonframework.serialization.upcasting.event,org.axonframework.commandhandling,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.tracing,org.axonframework.common.caching,org.axonframework.common.lock,org.axonframework.lifecycle,org.axonframework.serialization.xml,org.axonframework.common.stream,org.axonframework.common.io,org.axonframework.monitoring,org.axonframework.common.legacyjpa,org.axonframework.common.jpa","serialization,transaction,common,eventhandling,jdbc,event,commandhandling,messaging,annotation,unitofwork,tracing,caching,lock,lifecycle,xml,stream,io,monitoring,legacyjpa,jpa",""
"axon-configuration-4.8.0","axon-eventsourcing-4.8.0",4,9,0.4444444444444444,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing","eventstore,jpa,snapshotting,eventsourcing",""
"axon-test-4.8.0","axon-modelling-4.8.0",5,10,0.5,"org.axonframework.modelling.saga,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository","saga,inspection,command,inmemory,repository",""
"axon-configuration-4.8.0","axon-messaging-4.8.0",34,64,0.53125,"org.axonframework.messaging.unitofwork,org.axonframework.tracing,org.axonframework.messaging.deadletter,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.scheduling,org.axonframework.common.caching,org.axonframework.eventhandling.tokenstore,org.axonframework.monitoring,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.common.annotation,org.axonframework.common.jpa,org.axonframework.common,org.axonframework.eventhandling.async,org.axonframework.util,org.axonframework.common.transaction,org.axonframework.messaging.correlation,org.axonframework.eventhandling,org.axonframework.eventhandling.pooled,org.axonframework.lifecycle,org.axonframework.messaging,org.axonframework.common.jdbc,org.axonframework.eventhandling.gateway,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.commandhandling.gateway,org.axonframework.serialization.xml,org.axonframework.common.lock,org.axonframework.messaging.interceptors,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.queryhandling.annotation,org.axonframework.deadline,org.axonframework.serialization,org.axonframework.queryhandling,org.axonframework.eventhandling.deadletter","unitofwork,tracing,deadletter,event,scheduling,caching,tokenstore,monitoring,inmemory,annotation,jpa,common,async,util,transaction,correlation,eventhandling,pooled,lifecycle,messaging,jdbc,gateway,commandhandling,xml,lock,interceptors,deadline,serialization,queryhandling",""
"axon-configuration-4.8.0","axon-modelling-4.8.0",6,10,0.6,"org.axonframework.modelling.command,org.axonframework.modelling.saga.repository,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.inmemory","command,repository,inspection,jpa,saga,inmemory",""
"axon-modelling-4.8.0","axon-modelling-4.8.0",6,10,0.6,"org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.command","repository,saga,inspection,jpa,metamodel,command",""
"axon-test-4.8.0","axon-test-4.8.0",5,8,0.625,"org.axonframework.test.matchers,org.axonframework.test,org.axonframework.test.deadline,org.axonframework.test.eventscheduler,org.axonframework.test.utils","matchers,test,deadline,eventscheduler,utils",""
"axon-messaging-4.8.0","axon-messaging-4.8.0",41,64,0.640625,"org.axonframework.eventhandling.tokenstore,org.axonframework.common,org.axonframework.messaging.unitofwork,org.axonframework.eventhandling,org.axonframework.messaging.responsetypes,org.axonframework.queryhandling,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.common.transaction,org.axonframework.lifecycle,org.axonframework.common.stream,org.axonframework.common.io,org.axonframework.tracing,org.axonframework.monitoring,org.axonframework.messaging.correlation,org.axonframework.serialization,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.async,org.axonframework.eventhandling.replay,org.axonframework.serialization.xml,org.axonframework.eventhandling.scheduling,org.axonframework.common.property,org.axonframework.deadline,org.axonframework.common.annotation,org.axonframework.messaging.interceptors,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.common.legacyjpa,org.axonframework.commandhandling.callbacks,org.axonframework.messaging.deadletter,org.axonframework.commandhandling,org.axonframework.util,org.axonframework.commandhandling.distributed,org.axonframework.common.jpa,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.common.jdbc,org.axonframework.common.digest,org.axonframework.common.lock,org.axonframework.queryhandling.registration,org.axonframework.serialization.upcasting,org.axonframework.deadline.jobrunr,org.axonframework.commandhandling.distributed.commandfilter","tokenstore,common,unitofwork,eventhandling,responsetypes,queryhandling,messaging,annotation,transaction,lifecycle,stream,io,tracing,monitoring,correlation,serialization,event,async,replay,xml,scheduling,property,deadline,interceptors,jpa,legacyjpa,callbacks,deadletter,commandhandling,util,distributed,jdbc,digest,lock,registration,upcasting,jobrunr,commandfilter",""
"axon-eventsourcing-4.8.0","axon-eventsourcing-4.8.0",7,9,0.7777777777777778,"org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.jdbc","snapshotting,statements,eventstore,conflictresolution,eventsourcing,jpa,jdbc",""
"axon-configuration-4.8.0","axon-disruptor-4.8.0",1,1,1,"org.axonframework.disruptor.commandhandling","commandhandling",""
