"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-disruptor-4.8.0","axon-messaging-4.8.0",9,64,0.140625,"org.axonframework.messaging.unitofwork,org.axonframework.commandhandling.callbacks,org.axonframework.monitoring,org.axonframework.common.transaction,org.axonframework.messaging.annotation,org.axonframework.commandhandling,org.axonframework.common,org.axonframework.messaging,org.axonframework.common.caching","unitofwork,callbacks,monitoring,transaction,annotation,commandhandling,common,messaging,caching",""
"axon-test-4.8.0","axon-messaging-4.8.0",10,64,0.15625,"org.axonframework.common,org.axonframework.eventhandling,org.axonframework.commandhandling,org.axonframework.messaging,org.axonframework.deadline,org.axonframework.messaging.annotation,org.axonframework.commandhandling.gateway,org.axonframework.messaging.unitofwork,org.axonframework.common.stream,org.axonframework.eventhandling.scheduling","common,eventhandling,commandhandling,messaging,deadline,annotation,gateway,unitofwork,stream,scheduling",""
"axon-disruptor-4.8.0","axon-modelling-4.8.0",2,10,0.2,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command","inspection,command",""
"axon-eventsourcing-4.8.0","axon-modelling-4.8.0",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-test-4.8.0","axon-eventsourcing-4.8.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.8.0","axon-eventsourcing-4.8.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing","eventstore,eventsourcing",""
"axon-modelling-4.8.0","axon-messaging-4.8.0",18,64,0.28125,"org.axonframework.common,org.axonframework.common.property,org.axonframework.common.annotation,org.axonframework.tracing,org.axonframework.eventhandling,org.axonframework.messaging,org.axonframework.messaging.annotation,org.axonframework.serialization.xml,org.axonframework.common.jdbc,org.axonframework.serialization,org.axonframework.common.lock,org.axonframework.common.caching,org.axonframework.messaging.unitofwork,org.axonframework.common.jpa,org.axonframework.common.legacyjpa,org.axonframework.commandhandling,org.axonframework.deadline,org.axonframework.messaging.interceptors","common,property,annotation,tracing,eventhandling,messaging,xml,jdbc,serialization,lock,caching,unitofwork,jpa,legacyjpa,commandhandling,deadline,interceptors",""
"axon-eventsourcing-4.8.0","axon-messaging-4.8.0",20,64,0.3125,"org.axonframework.messaging,org.axonframework.commandhandling,org.axonframework.messaging.unitofwork,org.axonframework.common,org.axonframework.messaging.annotation,org.axonframework.eventhandling,org.axonframework.serialization,org.axonframework.tracing,org.axonframework.common.stream,org.axonframework.monitoring,org.axonframework.serialization.upcasting.event,org.axonframework.common.io,org.axonframework.common.jdbc,org.axonframework.common.transaction,org.axonframework.common.legacyjpa,org.axonframework.common.jpa,org.axonframework.lifecycle,org.axonframework.serialization.xml,org.axonframework.common.lock,org.axonframework.common.caching","messaging,commandhandling,unitofwork,common,annotation,eventhandling,serialization,tracing,stream,monitoring,event,io,jdbc,transaction,legacyjpa,jpa,lifecycle,xml,lock,caching",""
"axon-configuration-4.8.0","axon-eventsourcing-4.8.0",4,9,0.4444444444444444,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshotting","eventstore,jpa,eventsourcing,snapshotting",""
"axon-test-4.8.0","axon-modelling-4.8.0",5,10,0.5,"org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","repository,saga,inmemory,command,inspection",""
