"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.common",0.734768007042626,917,23,""
"org.axonframework.messaging",0.4882149921124996,8829,77,""
"org.axonframework.serialization",0.2796506224488781,1240,111,""
"org.axonframework.eventhandling",0.25851896093428633,4937,442,""
"org.axonframework.messaging.unitofwork",0.14273378969977077,258,59,""
"org.axonframework.messaging.annotation",0.11190735652899672,1057,184,""
"org.axonframework.commandhandling",0.06975702607009403,1539,145,""
"org.axonframework.modelling.saga",0.05966837230316296,242,125,""
"org.axonframework.common.transaction",0.05004392804826471,310,6,""
"org.axonframework.queryhandling",0.04545983020573535,182,232,""
"org.axonframework.eventhandling.tokenstore",0.043025503337680494,69,19,""
"org.axonframework.tracing",0.04113663418939846,187,66,""
"org.axonframework.modelling.command",0.033152947760748196,254,219,""
"org.axonframework.common.annotation",0.032087006235231356,22,3,""
"org.axonframework.common.io",0.031136682753036667,10,0,""
"org.axonframework.deadline",0.030309753830239948,188,68,""
"org.axonframework.eventsourcing.eventstore",0.029052659379995134,169,161,""
"org.axonframework.common.jdbc",0.02892490560898581,65,36,""
"org.axonframework.test",0.028744039308874567,16,8,""
"org.axonframework.monitoring",0.028287664047637846,188,14,""
"org.axonframework.util",0.027631993326636975,3,6,""
"org.axonframework.eventsourcing.eventstore.jdbc",0.026352976505618093,218,83,""
"org.axonframework.messaging.deadletter",0.026332167464717414,198,61,""
"org.axonframework.commandhandling.distributed",0.024411400598502855,50,133,""
"org.axonframework.modelling.command.inspection",0.02303681201067872,84,157,""
"org.axonframework.common.stream",0.02296089223678782,29,5,""
"org.axonframework.serialization.upcasting.event",0.021076926877603215,38,53,""
"org.axonframework.messaging.responsetypes",0.020217417597689646,78,30,""
"org.axonframework.test.matchers",0.020120320488816366,61,42,""
"org.axonframework.modelling.saga.metamodel",0.02007843574869145,15,23,""
"org.axonframework.eventhandling.tokenstore.jpa",0.019409502998450488,9,29,""
"org.axonframework.messaging.correlation",0.019292935085416046,25,9,""
