"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,""
1,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,""
1,"axon-messaging-4.9.0","org.axonframework.common.caching",37,35,"axon-messaging-4.9.0","org.axonframework.common.lock",42,24,""
1,"axon-messaging-4.9.0","org.axonframework.common.jpa",16,6,"axon-messaging-4.9.0","org.axonframework.common.legacyjpa",14,6,""
1,"axon-messaging-4.9.0","org.axonframework.common.legacyjpa",14,6,"axon-messaging-4.9.0","org.axonframework.common.jpa",16,6,""
1,"axon-messaging-4.9.0","org.axonframework.common.lock",42,24,"axon-messaging-4.9.0","org.axonframework.common.caching",37,35,""
1,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,""
1,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,""
1,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,""
1,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,""
1,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.conflictresolution",15,32,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.inmemory",1,13,""
1,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.inmemory",1,13,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.conflictresolution",15,32,""
0.8145161290322581,"axon-messaging-4.9.0","org.axonframework.deadline.dbscheduler",7,58,"axon-messaging-4.9.0","org.axonframework.deadline.quartz",5,57,""
0.8145161290322581,"axon-messaging-4.9.0","org.axonframework.deadline.quartz",5,57,"axon-messaging-4.9.0","org.axonframework.deadline.dbscheduler",7,58,""
0.7981651376146789,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,"axon-messaging-4.9.0","org.axonframework.deadline.quartz",5,57,""
0.7981651376146789,"axon-messaging-4.9.0","org.axonframework.deadline.quartz",5,57,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,""
0.7666666666666667,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.jdbc",16,42,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.legacyjpa",3,21,""
0.7666666666666667,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.legacyjpa",3,21,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.jdbc",16,42,""
0.75,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,""
0.75,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,"axon-messaging-4.9.0","org.axonframework.common.annotation",22,3,""
0.75,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,""
0.75,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,""
0.75,"axon-messaging-4.9.0","org.axonframework.common.property",23,15,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,""
0.75,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling",20,2,"axon-messaging-4.9.0","org.axonframework.common.digest",2,1,""
0.7372881355932204,"axon-messaging-4.9.0","org.axonframework.deadline.dbscheduler",7,58,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,""
0.7372881355932204,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,"axon-messaging-4.9.0","org.axonframework.deadline.dbscheduler",7,58,""
0.711864406779661,"axon-messaging-4.9.0","org.axonframework.messaging.deadletter",108,61,"axon-messaging-4.9.0","org.axonframework.messaging.unitofwork",176,59,""
