"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","centralityPageRank",0.5870386216944596,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","centralityPageRank",0.5042800686215604,""
"org.axonframework.messaging.Message","Message","centralityPageRank",0.35756379665463367,""
"org.axonframework.serialization.Serializer","Serializer","centralityPageRank",0.23466495920186212,""
"org.axonframework.messaging.MetaData","MetaData","centralityPageRank",0.20597085499278145,""
"org.axonframework.serialization.SerializedObject","SerializedObject","centralityPageRank",0.20250544921987,""
"org.axonframework.common.Assert","Assert","centralityPageRank",0.1682807163287767,""
"org.axonframework.messaging.MetaData$MetaDataCollector","MetaData$MetaDataCollector","centralityPageRank",0.1326491949830697,""
"org.axonframework.common.AxonException","AxonException","centralityPageRank",0.11624060613363425,""
"org.axonframework.eventhandling.EventMessage","EventMessage","centralityPageRank",0.10306442796826154,""
"org.axonframework.messaging.MetaData$1","MetaData$1","centralityPageRank",0.10148909673801033,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","centralityPageRank",0.08775662157029408,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","centralityPageRank",0.07754974896593278,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder","EventSchema$Builder","centralityPageRank",0.06699020050814035,""
"org.axonframework.messaging.annotation.MessageHandlingMember","MessageHandlingMember","centralityPageRank",0.05496379488938341,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken","centralityPageRank",0.05079547529299127,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","centralityPageRank",0.05068366598052026,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","centralityPageRank",0.046152226977154626,""
"org.axonframework.serialization.Converter","Converter","centralityPageRank",0.043001877755888235,""
"org.axonframework.common.BuilderUtils","BuilderUtils","centralityPageRank",0.03777303785205646,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage","centralityPageRank",0.034215757261002185,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema","TokenSchema","centralityPageRank",0.028452022339254753,""
"org.axonframework.common.TypeReflectionUtils$VarMap","TypeReflectionUtils$VarMap","centralityPageRank",0.02579060946703325,""
"org.axonframework.modelling.saga.AssociationValue","AssociationValue","centralityPageRank",0.02566670044682865,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema","SagaSchema","centralityPageRank",0.024186214271376533,""
"org.axonframework.tracing.Span","Span","centralityPageRank",0.023182100183581925,""
"org.axonframework.tracing.SpanScope","SpanScope","centralityPageRank",0.022784588662265168,""
"org.axonframework.common.AxonTransientException","AxonTransientException","centralityPageRank",0.02228648611342036,""
"org.axonframework.modelling.saga.repository.jdbc.SagaSchema$Builder","SagaSchema$Builder","centralityPageRank",0.021909025609982945,""
"org.axonframework.messaging.annotation.ParameterResolver","ParameterResolver","centralityPageRank",0.021572955983184226,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema$Builder","TokenSchema$Builder","centralityPageRank",0.021504804548263003,""
"org.axonframework.messaging.ResultMessage","ResultMessage","centralityPageRank",0.020519314872891863,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType","RollbackConfigurationType","centralityPageRank",0.020354086426739228,""
"org.axonframework.common.stream.StreamUtils","StreamUtils","centralityPageRank",0.019370600352456253,""
"org.axonframework.common.transaction.Transaction","Transaction","centralityPageRank",0.019006925970328065,""
"org.axonframework.common.stream.BlockingStream","BlockingStream","centralityPageRank",0.01880294603165212,""
"org.axonframework.eventhandling.TrackedEventMessage","TrackedEventMessage","centralityPageRank",0.018559960505837223,""
"org.axonframework.commandhandling.distributed.CommandMessageFilter","CommandMessageFilter","centralityPageRank",0.01849184349500375,""
"org.axonframework.config.Configuration","Configuration","centralityPageRank",0.01828039818654186,""
"org.axonframework.messaging.ScopeDescriptor","ScopeDescriptor","centralityPageRank",0.018026277336412534,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","centralityPageRank",0.017903139184371364,""
"org.axonframework.tracing.SpanFactory","SpanFactory","centralityPageRank",0.01729654164368359,""
"org.axonframework.serialization.SimpleSerializedObject","SimpleSerializedObject","centralityPageRank",0.016666827964271037,""
"org.axonframework.serialization.ContentTypeConverter","ContentTypeConverter","centralityPageRank",0.016026754739562447,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","centralityPageRank",0.01414709630125304,""
"org.axonframework.messaging.annotation.ParameterResolverFactory","ParameterResolverFactory","centralityPageRank",0.014071762088458319,""
"org.axonframework.deadline.DeadlineMessage","DeadlineMessage","centralityPageRank",0.013988071302690697,""
"org.axonframework.messaging.deadletter.DeadLetter","DeadLetter","centralityPageRank",0.013756789015779236,""
"org.axonframework.common.IdentifierFactory","IdentifierFactory","centralityPageRank",0.013641049072121545,""
"org.axonframework.eventhandling.Segment","Segment","centralityPageRank",0.013620333664793566,""
"org.axonframework.common.caching.Cache$EntryListener","Cache$EntryListener","centralityPageRank",0.013481489777293647,""
"org.axonframework.queryhandling.QueryMessage","QueryMessage","centralityPageRank",0.012954774198381275,""
"org.axonframework.common.DefaultIdentifierFactory","DefaultIdentifierFactory","centralityPageRank",0.012946617581932949,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","centralityPageRank",0.012903904298812748,""
"org.axonframework.messaging.MessageHandler","MessageHandler","centralityPageRank",0.012808474612157866,""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","centralityPageRank",0.01273129424046076,""
"org.axonframework.common.Registration","Registration","centralityPageRank",0.012679631279216792,""
