"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing",1,41,141,1,""
"axon-messaging-4.9.1","org.axonframework.messaging",1,34,141,1,""
"axon-test-4.9.1","org.axonframework.test.matchers",1,24,141,1,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore.legacyjpa",1,10,141,1,""
"axon-messaging-4.9.1","org.axonframework.messaging.interceptors",1,8,141,1,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing.eventstore.jpa",1,6,141,1,""
"axon-messaging-4.9.1","org.axonframework.util",1,3,141,1,""
"axon-messaging-4.9.1","org.axonframework.messaging.interceptors.legacyvalidation",1,2,141,1,""
"axon-eventsourcing-4.9.1","org.axonframework.eventsourcing",9,41,132,1,""
"axon-modelling-4.9.1","org.axonframework.modelling.saga.repository.jpa",9,7,132,1,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.deadletter.legacyjpa",9,6,132,1,""
"axon-messaging-4.9.1","org.axonframework.commandhandling.gateway",0,34,118,1,""
"axon-modelling-4.9.1","org.axonframework.modelling.command.inspection",0,26,118,1,""
"axon-test-4.9.1","org.axonframework.test.matchers",0,24,118,1,""
"axon-messaging-4.9.1","org.axonframework.deadline",0,13,118,1,""
"axon-messaging-4.9.1","org.axonframework.serialization.json",0,7,118,1,""
"axon-messaging-4.9.1","org.axonframework.messaging.interceptors.legacyvalidation",0,2,118,1,""
"axon-messaging-4.9.1","org.axonframework.messaging.annotation",6,54,117,1,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.tokenstore",6,7,117,1,""
"axon-messaging-4.9.1","org.axonframework.messaging.annotation",7,54,94,1,""
"axon-messaging-4.9.1","org.axonframework.messaging",7,34,94,1,""
"axon-messaging-4.9.1","org.axonframework.commandhandling.distributed",7,26,94,1,""
"axon-messaging-4.9.1","org.axonframework.eventhandling.pooled",7,21,94,1,""
