"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_10_Summary.cypher"
"org.axonframework.eventsourcing","eventsourcing",0.10985353785649404,0.06409244052496064,6,0,0.04166666666666667,0.03804347826086957,7.599944114669465e-26,7.594221346693976e-26,141,1009,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.04397195649256643,0.0378541045763113,2,0,0.033514492753623185,0.02803203661327231,1.0283808113474673e-25,6.730434307658976e-26,15,99,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.18302934404121482,0.13454321080771295,14,0,0.07065217391304347,0.06657608695652174,8.012911957747849e-25,5.612284592741611e-26,169,613,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.016508572395474513,0.024701178249591362,0,0,0,0,0,6.730434307658976e-26,1,75,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.041022980184738204,0.05819841555673318,4,0,0.010869565217391304,0.010869565217391304,1.6067394124109872e-43,1.320650593943559e-25,218,1340,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.02884048013646888,0.04143897247152501,0,0,0.010869565217391304,0.010869565217391304,1.7883752228144138e-25,1.3495785454503093e-44,30,80,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.018159429635021967,0.027003805773919424,3,0,0.010869565217391304,0.010869565217391304,1.7883752228144138e-25,1.170436264645219e-25,9,236,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.016508572395474513,0.024701178249591362,0,0,0,0,0,1.320650593943559e-25,23,389,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.07989291618158634,0.052531639214641115,0,0,0.06521739130434782,0.05797101449275362,5.921705500868324e-25,0,23,17,""
"org.axonframework.test","test",0.08176163126547999,0.08174799579967848,0,0,0.05434782608695652,0.05434782608695652,1.3425522063192698e-24,0,16,13,""
"org.axonframework.test.aggregate","aggregate",0.016508572395474513,0.024701178249591362,0,0,0,0,0,2.6729569961982865e-25,31,2210,""
"org.axonframework.test.matchers","matchers",0.03341670097833822,0.04787662466380365,2,0,0.03260869565217391,0.03260869565217391,1.050147967203932e-24,1.1276748673742022e-25,61,51,""
"org.axonframework.test.saga","saga",0.016508572395474513,0.024701178249591362,0,0,0,0,0,3.4172177871250788e-25,43,1419,""
"org.axonframework.test.server","server",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0,1,2,""
"org.axonframework.test.utils","utils",0.017834457737473254,0.026628747983678428,0,0,0.010869565217391304,0.010869565217391304,4.430394770002965e-25,0,8,70,""
"org.axonframework.test.deadline","deadline",0.02149487225802912,0.031954077464748175,3,0,0.021739130434782608,0.021739130434782608,7.8958615427142055e-25,2.0097451988413448e-25,10,138,""
"org.axonframework.test.eventscheduler","eventscheduler",0.018497400408472624,0.02759253285072196,1,0,0.010869565217391304,0.010869565217391304,4.430394770002965e-25,1.1276748673742022e-25,9,38,""
"org.axonframework.modelling.command","command",0.15852144975898314,0.13992519959289199,0,0,0.021739130434782608,0.021739130434782608,3.734902613111022e-34,3.137126280133603e-35,269,842,""
"org.axonframework.modelling.command.inspection","inspection",0.15504377270777414,0.13354063340254146,0,0,0.021739130434782608,0.021739130434782608,3.734902613111022e-34,3.137126280133603e-35,83,781,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.016508572395474513,0.024701178249591362,0,0,0,0,0,6.274252560267206e-35,2,164,""
"org.axonframework.modelling.saga","saga",0.3537266106240368,0.1858733214878265,1,0,0.06521739130434782,0.06521739130434782,1.2297553765091266e-23,1.2651074973764459e-25,257,432,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.32071047445922674,0.15030546248713073,2,0,0.043478260869565216,0.03913043478260869,1.5061724890514778e-24,1.0329313263054276e-24,15,67,""
"org.axonframework.modelling.saga.repository","repository",0.01983006276858483,0.028549396685498996,4,0,0.043478260869565216,0.043478260869565216,9.729736005261052e-24,1.1594420760430721e-24,72,231,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.016508572395474513,0.024701178249591362,0,0,0,0,0,1.8501791553041555e-24,5,15,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.016508572395474513,0.024701178249591362,0,0,0,0,0,2.303389443588047e-24,16,118,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.026379322973601984,0.0381806079263001,0,0,0.021739130434782608,0.021739130434782608,5.395690638019895e-24,1.8501791553041555e-24,12,86,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.016508572395474513,0.024701178249591362,0,0,0,0,0,2.303389443588047e-24,3,81,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0,55,1453,""
"org.axonframework.config","config",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0,118,9863,""
"org.axonframework.commandhandling","commandhandling",0.06285764252617526,0.08048253186856509,149.83333333333334,0,0.2798913043478261,0.24262422360248448,0.06659793153476203,0.17092333873207746,1641,691,""
"org.axonframework.commandhandling.callbacks","callbacks",0.02009091159731228,0.02962999011768341,0,0,0.19420289855072462,0.17090511348099532,0.0394212155946343,0.0055938840409606675,8,39,""
"org.axonframework.commandhandling.distributed","distributed",0.030160412168438573,0.040611581417468665,1,2.16,0.010869565217391304,0.010869565217391304,0.0004731959780759508,0.1582672891612398,50,738,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.018737820251402578,0.027624324628877407,0,0,0.010869565217391304,0.010869565217391304,0.01329363904617748,0.005633630071640677,12,34,""
"org.axonframework.commandhandling.gateway","gateway",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.14013826737239132,97,443,""
"org.axonframework.common","common",0.6196919228916753,0.6715070657110471,0,0,0.5978260869565217,0.5647306943543153,0.5484160351953362,0,926,23,""
"org.axonframework.common.annotation","annotation",0.0302039451251032,0.04048757263110303,6,0,0.2382246376811594,0.2078804347826087,0.051676251250476306,0.04606412896599998,22,3,""
"org.axonframework.common.caching","caching",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.04606412896599998,37,49,""
"org.axonframework.common.digest","digest",0.016897071560271242,0.025232315602736845,1.3333333333333333,0,0.03260869565217391,0.02898550724637681,0.029838683602029382,0.04606412896599998,2,1,""
"org.axonframework.common.io","io",0.030731902078797047,0.039707318149189375,0,0,0.27445652173913043,0.24799771167048057,0.06209542135719464,0,10,0,""
"org.axonframework.common.jdbc","jdbc",0.025667952831273256,0.0381614039751586,0,0,0.021739130434782608,0.021739130434782608,0.02228691663401841,0.1380049938351041,65,56,""
"org.axonframework.common.jpa","jpa",0.018842792356429248,0.028032109455494128,3,0,0.03260869565217391,0.02898550724637681,0.02228691663401841,0.07130159607305243,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",0.017724649411537192,0.026470190391956416,2.5,0,0.021739130434782608,0.021739130434782608,0.022447553831296985,0.07130159607305243,14,6,""
"org.axonframework.common.property","property",0.0172141528642587,0.025590276817583864,1,0,0.17101449275362318,0.16063488142292492,0.008425932330002892,0.04606412896599998,23,15,""
"org.axonframework.common.lock","lock",0.016657852039476145,0.024916059744103325,0,0,0.010869565217391304,0.010869565217391304,0.011770894370392252,0.04606412896599998,46,25,""
"org.axonframework.common.stream","stream",0.02170144903563712,0.031167415379441586,0,0,0.28442028985507245,0.2718436454849498,0.04733036395498902,0,29,5,""
"org.axonframework.common.transaction","transaction",0.04854774210888905,0.05402853171671013,0,0,0.391304347826087,0.33552317247969426,0.3004644168879914,0,314,6,""
"org.axonframework.deadline","deadline",0.0342902105400511,0.04852998435829402,36.83333333333333,0,0.26358695652173914,0.23225566703827571,0.07951472936257038,0.1919478436099998,238,338,""
"org.axonframework.deadline.annotation","annotation",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.055772312476595344,6,29,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.19447056943881022,7,488,""
"org.axonframework.deadline.jobrunr","jobrunr",0.016933793199600373,0.025273125566706245,9.333333333333334,0,0.010869565217391304,0.010869565217391304,0.017465240766991443,0.19697686553777452,5,419,""
"org.axonframework.deadline.quartz","quartz",0.016508572395474513,0.024701178249591362,0,3.42,0,0,0,0.19733971093802957,5,453,""
"org.axonframework.eventhandling","eventhandling",0.16349911237511605,0.20524963202501584,502.5,0,0.40942028985507245,0.35755148741418763,0.30650379037192677,0.2245524454353003,5363,1563,""
"org.axonframework.eventhandling.async","async",0.017431989306344948,0.025846282582562604,57,0,0.23188405797101447,0.21739130434782608,0.018861251572409008,0.10031485463786997,41,76,""
"org.axonframework.eventhandling.deadletter","deadletter",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.1684191308331286,10,391,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.16408151069477872,34,560,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.02228657273389059,0.03316196251725548,1,0,0.010869565217391304,0.010869565217391304,0.013881069943493444,0.16408151069477872,25,317,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.016508572395474513,0.024701178249591362,0,1.7999999999999998,0,0,0,0.16526094194245355,9,330,""
"org.axonframework.eventhandling.gateway","gateway",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.1107140229697104,11,52,""
"org.axonframework.eventhandling.interceptors","interceptors",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.09244814120893388,0,28,""
"org.axonframework.eventhandling.pooled","pooled",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.21376747041461625,55,885,""
"org.axonframework.eventhandling.replay","replay",0.01697028085090973,0.025273730416076993,48,0,0.23188405797101447,0.21739130434782608,0.018861251572409008,0.07917876680777744,12,72,""
"org.axonframework.eventhandling.scheduling","scheduling",0.021314095706698115,0.0312585506087851,1.8333333333333333,0,0.043478260869565216,0.043478260869565216,0.06791896234589599,0.04606412896599998,20,2,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.20646526201524043,7,214,""
"org.axonframework.eventhandling.scheduling.java","java",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.18487662142614777,5,76,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.20793225249597347,3,209,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.20933440351445978,10,202,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.04731747896596551,0.06684633748623893,8,0,0.25905797101449274,0.22644927536231885,0.07126218091646434,0.09339751300197482,73,42,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.10559277664026988,2,25,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.10125515650192002,16,195,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.022482714188094253,0.03332338096545689,1,0,0.010869565217391304,0.010869565217391304,0.00856648388780354,0.10125515650192002,9,119,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.10198818982947751,2,106,""
"org.axonframework.lifecycle","lifecycle",0.020686487807275597,0.030211055271905436,133.33333333333331,0,0.29981884057971014,0.25396180414465663,0.18360694943079547,0.05625246219916716,71,10,""
"org.axonframework.messaging","messaging",0.37696885252350504,0.44292101595460276,409.8333333333333,0,0.4782608695652174,0.43828892005610093,0.4631848880242943,0.12517126757625938,8706,133,""
"org.axonframework.messaging.annotation","annotation",0.07712984477082717,0.09745063073901805,174.5,0,0.31702898550724634,0.2801434334379202,0.12129710128908609,0.1451044154745459,1057,301,""
"org.axonframework.messaging.correlation","correlation",0.019386796236054268,0.028081004125731186,54,0,0.23550724637681156,0.21739130434782608,0.022014914894474505,0.03890515055682821,25,14,""
"org.axonframework.messaging.deadletter","deadletter",0.029876981484200746,0.04407074158671646,0,0,0.043478260869565216,0.043478260869565216,0.05559141908390857,0.12295585996121881,197,102,""
"org.axonframework.messaging.interceptors","interceptors",0.01918486551146689,0.027963723428337393,30,0,0.21648550724637677,0.19834973024436686,0.02680646989927609,0.15004246679758895,10,119,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.11276752672805163,1,27,""
"org.axonframework.messaging.responsetypes","responsetypes",0.021913450048618846,0.0315649230280255,40.66666666666667,0,0.19420289855072465,0.17090511348099532,0.03509869000456819,0.1139011726029879,78,65,""
"org.axonframework.messaging.unitofwork","unitofwork",0.10905503844493845,0.1363172203057791,61.833333333333336,0,0.39855072463768115,0.34838350055741363,0.33095175920770903,0.11205588635919833,256,123,""
"org.axonframework.monitoring","monitoring",0.025840326959391053,0.0363605075105651,23,0,0.27355072463768115,0.24930195452732348,0.079085386491468,0.08496927952282819,188,21,""
"org.axonframework.queryhandling","queryhandling",0.04854844425939697,0.06249342919502644,181,0,0.2744565217391304,0.24047710657945365,0.06647276620856238,0.17403974875343764,214,1141,""
"org.axonframework.queryhandling.annotation","annotation",0.016508572395474513,0.024701178249591362,0,1.5700000000000003,0,0,0,0.10368909316137695,4,199,""
"org.axonframework.queryhandling.registration","registration",0.01689787595170731,0.025193686640992995,51.5,0,0.18152173913043476,0.16774020397208803,0.014618444606443855,0.09055265031953977,9,13,""
"org.axonframework.serialization","serialization",0.22034358791377018,0.26393150126775555,359.3333333333333,0,0.3822463768115942,0.33548040794417605,0.2570233485987783,0.13554568451015903,1233,176,""
"org.axonframework.serialization.converters","converters",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.02158864058909264,0,7,""
"org.axonframework.serialization.json","json",0.016508572395474513,0.024701178249591362,0,0,0,0,0,0.10655792011192083,7,87,""
"org.axonframework.serialization.upcasting","upcasting",0.019690882064154792,0.029051055662791075,0,0,0.17101449275362318,0.16063488142292492,0.011191702907379137,0,11,5,""
"org.axonframework.serialization.upcasting.event","event",0.019740531583521025,0.028709043414990715,50,0,0.23188405797101447,0.21739130434782608,0.018861251572409008,0.13324270909538377,38,188,""
"org.axonframework.serialization.xml","xml",0.017244484907218673,0.02573188804360912,3.5,0,0.021739130434782608,0.021739130434782608,0.0341585359527296,0.07286846587691352,17,28,""
"org.axonframework.tracing","tracing",0.042050077059512705,0.05671341324808018,138,0,0.30615942028985504,0.26904864399483425,0.15210532863789258,0.16655668693237324,516,122,""
"org.axonframework.tracing.attributes","attributes",0.016508572395474513,0.024701178249591362,0,1.6800000000000006,0,0,0,0.08860321486632312,0,43,""
"org.axonframework.util","util",0.025751795411239207,0.03526803934412531,99.33333333333334,0,0.23550724637681156,0.21739130434782608,0.02095225423547407,0.09254236314327519,4,6,""
