"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,1,-0.005044642975309131,53,"AggregateMemberAnnotatedChildEntityDefinition,DefaultRepositorySpanFactory$Builder,Aggregate,CommandTargetResolver,AggregateEntityNotFoundException,MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,SagaStorageException,JpaSagaStore,MessageMonitorFactory","org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.modelling.command.DefaultRepositorySpanFactory$Builder,org.axonframework.modelling.command.Aggregate,org.axonframework.modelling.command.CommandTargetResolver,org.axonframework.modelling.command.AggregateEntityNotFoundException,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,org.axonframework.modelling.saga.SagaStorageException,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore,org.axonframework.config.MessageMonitorFactory",""
1,1,-0.0012561261750241486,25,"AnnotatedAggregateMetaModelFactory,Repository,EventCountSnapshotTriggerDefinition$EventCountSnapshotTrigger,SQLErrorCodesResolver,MessageHandlingMember,CommandCallback,ParameterResolver,DefaultCommandBusSpanFactory$Builder,MetaData","org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.modelling.command.Repository,org.axonframework.eventsourcing.EventCountSnapshotTriggerDefinition$EventCountSnapshotTrigger,org.axonframework.eventsourcing.eventstore.legacyjpa.SQLErrorCodesResolver,org.axonframework.messaging.annotation.MessageHandlingMember,org.axonframework.commandhandling.CommandCallback,org.axonframework.messaging.annotation.ParameterResolver,org.axonframework.commandhandling.DefaultCommandBusSpanFactory$Builder,org.axonframework.messaging.MetaData",""
2,1,-0.0002786259386479969,13,"DefaultConfigurer$1,NoSnapshotTriggerDefinition$1,HandlerDefinition,BuilderUtils,CommandBus,WrappedMessageHandlingMember,PessimisticLockFactory,TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver,DeadLetterStatementFactory","org.axonframework.config.DefaultConfigurer$1,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition$1,org.axonframework.messaging.annotation.HandlerDefinition,org.axonframework.common.BuilderUtils,org.axonframework.commandhandling.CommandBus,org.axonframework.messaging.annotation.WrappedMessageHandlingMember,org.axonframework.common.lock.PessimisticLockFactory,org.axonframework.eventhandling.TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterStatementFactory",""
3,1,-0.00040678340481617594,17,"AssociationValue,EventProcessingModule$InstanceToTypeProcessingGroupSelectorAdapter,ReadEventDataWithGapsStatementBuilder,TrackingTokenParameterResolverFactory,SimpleCommandBus,CommandGatewayFactory$GatewayInvocationHandler$Builder,PagingJpaQueryIterable$PagingIterator,CachingSupplier,DeadLetteringEventHandlerInvoker$Builder","org.axonframework.modelling.saga.AssociationValue,org.axonframework.config.EventProcessingModule$InstanceToTypeProcessingGroupSelectorAdapter,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataWithGapsStatementBuilder,org.axonframework.eventhandling.TrackingTokenParameterResolverFactory,org.axonframework.commandhandling.SimpleCommandBus,org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler$Builder,org.axonframework.common.jpa.PagingJpaQueryIterable$PagingIterator,org.axonframework.serialization.CachingSupplier,org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder",""
4,1,-1.7973725287738792e-05,11,"AggregateMetaModelFactory,AppendSnapshotStatementBuilder,DeadlockException,JCacheAdapter$JCacheListenerAdapter,Coordinator$Builder,TokenEntry$PK,JpaTokenStore$Builder,FixedValueParameterResolver,OptionalResponseType","org.axonframework.modelling.command.inspection.AggregateMetaModelFactory,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendSnapshotStatementBuilder,org.axonframework.common.lock.DeadlockException,org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.eventhandling.pooled.Coordinator$Builder,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry$PK,org.axonframework.eventhandling.tokenstore.legacyjpa.JpaTokenStore$Builder,org.axonframework.messaging.annotation.FixedValueParameterResolver,org.axonframework.messaging.responsetypes.OptionalResponseType",""
5,1,-0.00014807799627997975,10,"AnnotatedSagaRepository$Builder,SpanFactory,AnnotationRoutingStrategy$RoutingKeyResolver,SerializedType,Lifecycle$LifecycleRegistry,Transaction,HasHandlerAttributes,LoggingErrorHandler,QuartzEventScheduler$Builder","org.axonframework.modelling.saga.repository.AnnotatedSagaRepository$Builder,org.axonframework.tracing.SpanFactory,org.axonframework.commandhandling.distributed.AnnotationRoutingStrategy$RoutingKeyResolver,org.axonframework.serialization.SerializedType,org.axonframework.lifecycle.Lifecycle$LifecycleRegistry,org.axonframework.common.transaction.Transaction,org.axonframework.messaging.annotation.HasHandlerAttributes,org.axonframework.eventhandling.LoggingErrorHandler,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$Builder",""
6,1,-1.9982203579639084e-05,11,"AggregateMemberAnnotatedChildEntityCollectionDefinition,AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,AbstractResourceInjector,EmbeddedEventStore,ListUtils,DbSchedulerScheduleToken,ResultHandler,InstanceResponseType,MavenArtifactVersionResolver","org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityCollectionDefinition,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,org.axonframework.modelling.saga.AbstractResourceInjector,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore,org.axonframework.common.ListUtils,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken,org.axonframework.messaging.interceptors.ResultHandler,org.axonframework.messaging.responsetypes.InstanceResponseType,org.axonframework.util.MavenArtifactVersionResolver",""
7,1,-0.00010439681870178786,13,"AbstractRepository$Builder,ForwardingMode,SagaMetaModelFactory,CachingSagaStore,EventSourcingHandler,SequenceEventStorageEngine$ConcatenatingDomainEventStream,HandlerEnhancerDefinition,DenyAll,StringUtils","org.axonframework.modelling.command.AbstractRepository$Builder,org.axonframework.modelling.command.ForwardingMode,org.axonframework.modelling.saga.metamodel.SagaMetaModelFactory,org.axonframework.modelling.saga.repository.CachingSagaStore,org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine$ConcatenatingDomainEventStream,org.axonframework.messaging.annotation.HandlerEnhancerDefinition,org.axonframework.commandhandling.distributed.commandfilter.DenyAll,org.axonframework.common.StringUtils",""
8,1,-0.00010694965974552703,18,"RepositorySpanFactory,AssociationValueEntry,SerializedSaga,Configuration$1,EventStoreException,ReadSnapshotDataStatementBuilder,Priority,Timeout,DateTimeUtils","org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.SerializedSaga,org.axonframework.config.Configuration$1,org.axonframework.eventsourcing.eventstore.EventStoreException,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadSnapshotDataStatementBuilder,org.axonframework.common.Priority,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.DateTimeUtils",""
9,1,-0.00011746939125967566,9,"ConfigurationParameterResolverFactory,ConflictExceptionSupplier,ReadEventDataForAggregateStatementBuilder,DirectPropertyAccessStrategy,ReplayStatus,Timestamp,SimpleQueryBus$Builder,ResultValidatorImpl,SagaTestFixture","org.axonframework.config.ConfigurationParameterResolverFactory,org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.ReadEventDataForAggregateStatementBuilder,org.axonframework.common.property.DirectPropertyAccessStrategy,org.axonframework.eventhandling.ReplayStatus,org.axonframework.eventhandling.Timestamp,org.axonframework.queryhandling.SimpleQueryBus$Builder,org.axonframework.test.aggregate.ResultValidatorImpl,org.axonframework.test.saga.SagaTestFixture",""
