"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements_per_artifact.cypher"
"axon-configuration-4.9.3","javax.annotation.Nonnull","Parameter",104,"org.axonframework.config.Component.<init>(0),org.axonframework.config.Component.<init>(1),org.axonframework.config.Component.<init>(2),org.axonframework.config.Component.update(0),org.axonframework.config.Configuration$1.onStart(1),org.axonframework.config.Configuration$1.onShutdown(1),org.axonframework.config.Configuration.findModules(0),org.axonframework.config.Configuration.aggregateConfiguration(0),org.axonframework.config.Configuration.repository(0)",""
"axon-configuration-4.9.3","java.lang.Deprecated","Method",6,"org.axonframework.config.Configurer.registerCommandHandler,org.axonframework.config.Configurer.registerQueryHandler,org.axonframework.config.ModuleConfiguration.phase,org.axonframework.config.ModuleConfiguration.start,org.axonframework.config.ModuleConfiguration.shutdown,org.axonframework.config.SagaConfigurer$SagaConfigurationImpl.eventProcessor",""
"axon-configuration-4.9.3","java.lang.FunctionalInterface","Interface",6,"org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.config.EventProcessingConfigurer$EventProcessorBuilder,org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration,org.axonframework.config.LifecycleHandlerInspector$LifecycleRegistration,org.axonframework.config.LifecycleHandler,org.axonframework.config.MessageMonitorFactory",""
"axon-configuration-4.9.3","java.lang.SafeVarargs","Method",1,"org.axonframework.config.AggregateConfigurer.withSubtypes",""
"axon-configuration-4.9.3","javax.annotation.Nullable","Method",1,"org.axonframework.config.AxonIQConsoleModule.consoleClientVersion",""
"axon-configuration-4.9.3","org.axonframework.common.Priority","Class",1,"org.axonframework.config.ConfigurationParameterResolverFactory",""
"axon-configuration-4.9.3","java.lang.annotation.Target","Annotation",1,"org.axonframework.config.ProcessingGroup",""
"axon-configuration-4.9.3","java.lang.annotation.Inherited","Annotation",1,"org.axonframework.config.ProcessingGroup",""
"axon-configuration-4.9.3","java.lang.annotation.Documented","Annotation",1,"org.axonframework.config.ProcessingGroup",""
"axon-configuration-4.9.3","java.lang.annotation.Retention","Annotation",1,"org.axonframework.config.ProcessingGroup",""
