"moduleName","modulePath","fullQualifiedModuleName","numberOfModuleElements","languageElement","numberOfElements","Source Cypher File: Overview/Number_of_elements_per_module_for_Typescript.cypher"
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/index.tsx",35,"Variable",5,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/index.tsx",35,"Interface",10,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/index.tsx",35,"Function",17,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/index.tsx",35,"TypeAlias",3,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-native/index.tsx",12,"Function",7,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-native/index.tsx",12,"TypeAlias",3,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-native/index.tsx",12,"Interface",2,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router/index.ts",6,"TypeAlias",3,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router/index.ts",6,"Function",2,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router/index.ts",6,"Interface",1,""
"server","server.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/server.tsx",6,"Function",4,""
"server","server.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.24.1/source/packages/react-router-dom/server.tsx",6,"Interface",2,""
