"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Commit,Log",5646,47.758416511588564,""
"File,Git,Log",3534,29.893419049230246,""
"Git,Author,Log",994,8.408052782947047,""
"Type,TS,Primitive,ExternalType",291,2.4615124344442565,""
"Type,TS,Declared,ExternalType",286,2.419218406361022,""
"TS,ExternalDeclaration",211,1.784807985112502,""
"Type,TS,Literal,ExternalType",136,1.1503975638639825,""
"Type,TS,Union,ExternalType",120,1.0150566739976317,""
"Type,TS,ObjectMember,ExternalType",98,0.8289629504313991,""
"TS,Property",65,0.5498223650820504,""
"TS,Function",47,0.3975638639824057,""
"Type,TS,Object,ExternalType",38,0.32143461343258334,""
"Type,TS,FunctionParameter,ExternalType",38,0.32143461343258334,""
"TS,Parameter",33,0.27914058534934866,""
"Type,TS,Function,ExternalType",33,0.27914058534934866,""
"TS,ExternalModule",25,0.21147014041617324,""
"TS,Variable",24,0.2030113347995263,""
"TS,Literal,Value",20,0.16917611233293858,""
"jQAssistant,Rule,Concept",19,0.16071730671629167,""
"TS,Interface",18,0.15225850109964473,""
"Type,TS,Intersection,ExternalType",17,0.1437996954829978,""
"File,Directory,Local",16,0.13534088986635087,""
"TS,TypeAlias",14,0.11842327863305702,""
"TS,Declared,Value",13,0.10996447301641007,""
"Type,TS,NotIdentified,ExternalType",11,0.09304686178311622,""
"TS,EnumMember",8,0.06767044493317544,""
"Project,TS",6,0.050752833699881574,""
"File,Local",6,0.050752833699881574,""
"File,TS,Local,Module",6,0.050752833699881574,""
"Type,TS,TypeParameterReference,ExternalType",6,0.050752833699881574,""
"TS,Value,Call",6,0.050752833699881574,""
"TS,Value,Member",6,0.050752833699881574,""
"TS,Value,Complex",5,0.042294028083234646,""
"TS,TypeParameter",4,0.03383522246658772,""
"TS,Function,Value",4,0.03383522246658772,""
"Type,TS,Tuple,ExternalType",3,0.025376416849940787,""
"TS,Object,Value",3,0.025376416849940787,""
"File,Directory",2,0.01691761123329386,""
"TS,Enum",2,0.01691761123329386,""
"File",1,0.00845880561664693,""
"File,TS,Scan",1,0.00845880561664693,""
"TS,Class",1,0.00845880561664693,""
"TS,Constructor",1,0.00845880561664693,""
"TS,Method",1,0.00845880561664693,""
"TS,ObjectMember,Value",1,0.00845880561664693,""
"Analyze,Task,jQAssistant",1,0.00845880561664693,""
"Repository,Git",1,0.00845880561664693,""
