"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",82041,26.21846967048349,""
"MODIFIES",82041,26.21846967048349,""
"UPDATES",53762,17.18113341407995,""
"COMMITTED",21324,6.81467372720213,""
"CREATES",19709,6.2985558286169,""
"DELETES",11770,3.761428895571613,""
"HAS_PARENT",11710,3.742254236800644,""
"HAS_COMMIT",10662,3.407336863601065,""
"HAS_FILE",5502,1.758316209297792,""
"RENAMES",3200,1.0226484677849752,""
"HAS_NEW_NAME",1727,0.5519105949577039,""
"HAS_TAG",1360,0.4346255988086145,""
"ON_COMMIT",1360,0.4346255988086145,""
"HAS_AUTHOR",1227,0.3921217718663015,""
"DEPENDS_ON",961,0.3071141179816754,""
"HAS_KEY",668,0.21347786765011362,""
"HAS_VALUE",668,0.21347786765011362,""
"CONTAINS",594,0.18982912183258605,""
"HAS_COMMITTER",371,0.1185633067338206,""
"OF_TYPE",337,0.10769766676360522,""
"EXPORTS",283,0.09044047386973376,""
"REFERENCES",197,0.06295679629801254,""
"DECLARES",186,0.05944144219000169,""
"DECLARES_DEV_DEPENDENCY",169,0.05400862220489402,""
"DECLARES_DEPENDENCY",161,0.05145200103543157,""
"HAS_MEMBER",102,0.03259691991064609,""
"HAS_TYPE_ARGUMENT",94,0.03004029874118365,""
"DECLARES_SCRIPT",91,0.029081565802635236,""
"RETURNS",82,0.026205366986989994,""
"HAS_PARAMETER",73,0.02332916817134475,""
"COPIES",65,0.020772547001882313,""
"CONTAINS_VALUE",51,0.016298459955323044,""
"RESOLVES_TO",41,0.013102683493494997,""
"HAS_HEAD",37,0.01182437290876378,""
"COPY_OF",36,0.011504795262580974,""
"HAS_BRANCH",36,0.011504795262580974,""
"IS_DESCRIBED_IN_NPM_PACKAGE",33,0.010546062324032558,""
"INITIALIZED_WITH",32,0.010226484677849753,""
"REQUIRES_CONCEPT",28,0.008948174093118535,""
"USES",23,0.00735028586220451,""
"INCLUDES_CONCEPT",19,0.006071975277473291,""
"DECLARES_PEER_DEPENDENCY",8,0.0025566211694624382,""
"CALLS",6,0.0019174658770968287,""
"CONTAINS_PROJECT",6,0.0019174658770968287,""
"DECLARES_ENGINE",6,0.0019174658770968287,""
"EXTENDS",6,0.0019174658770968287,""
"HAS_ARGUMENT",6,0.0019174658770968287,""
"HAS_CONFIG",6,0.0019174658770968287,""
"HAS_NPM_PACKAGE",6,0.0019174658770968287,""
"HAS_ROOT",6,0.0019174658770968287,""
"MEMBER",6,0.0019174658770968287,""
"PARENT",6,0.0019174658770968287,""
"REFERENCED_PROJECTS",5,0.001597888230914024,""
"CONSTRAINED_BY",4,0.0012783105847312191,""
"IS_IMPLEMENTED_IN",2,0.0006391552923656096,""
"PROVIDED_BY_NPM_DEPENDENCY",1,0.0003195776461828048,""
