"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",101988,96.6307890548018,""
"Change",82761,78.4137421359812,""
"Commit",10698,10.136056999924202,""
"File",5605,5.310581368907754,""
"Person",1603,1.5187978473432882,""
"TS",1600,1.5159554309103314,""
"Json",1445,1.369097248540893,""
"Tag",1377,1.304669142727204,""
"Author",1232,1.1672856818009552,""
"Type",1073,1.016637610854241,""
"Value",806,0.7636625483210794,""
"Key",668,0.6329113924050633,""
"Scalar",603,0.571325703024331,""
"NPM",464,0.439627074963996,""
"Committer",371,0.35151216554233305,""
"Dependency",338,0.32024558477980747,""
"Primitive",291,0.2757143939968165,""
"Declared",289,0.27381944970817856,""
"ExternalDeclaration",214,0.2027590388842568,""
"Object",175,0.16580762525581746,""
"Literal",156,0.1478056545137573,""
"Union",119,0.1127491851739559,""
"ObjectMember",102,0.09664215872053362,""
"Script",91,0.08621996513302509,""
"Function",85,0.08053513226711136,""
"Property",65,0.0615856893807322,""
"Directory",50,0.047373607215947855,""
"FunctionParameter",40,0.03789888577275828,""
"Branch",36,0.03410899719548246,""
"Parameter",33,0.03126658076252558,""
"Package",29,0.02747669218524975,""
"Local",28,0.026529220040930793,""
"Variable",24,0.02273933146365497,""
"ExternalModule",23,0.021791859319336013,""
"jQAssistant",20,0.01894944288637914,""
"Concept",19,0.018001970742060183,""
"Rule",19,0.018001970742060183,""
"Interface",17,0.01610702645342227,""
"Intersection",17,0.01610702645342227,""
"TypeAlias",16,0.015159554309103311,""
"Array",12,0.011369665731827485,""
"NotIdentified",11,0.010422193587508528,""
"EnumMember",8,0.0075797771545516555,""
"Call",6,0.0056848328659137425,""
"Engine",6,0.0056848328659137425,""
"Member",6,0.0056848328659137425,""
"Module",6,0.0056848328659137425,""
"Project",6,0.0056848328659137425,""
"TypeParameterReference",6,0.0056848328659137425,""
"Complex",5,0.004737360721594785,""
"TypeParameter",4,0.0037898885772758278,""
"Tuple",3,0.0028424164329568713,""
"Enum",2,0.0018949442886379139,""
"Analyze",1,0.0009474721443189569,""
"Class",1,0.0009474721443189569,""
"Constructor",1,0.0009474721443189569,""
"Method",1,0.0009474721443189569,""
"Repository",1,0.0009474721443189569,""
"Scan",1,0.0009474721443189569,""
"Task",1,0.0009474721443189569,""
