"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run/router",74,128,6,29,2,483.33333333333337,"Action.Pop,Action,StaticHandlerContext.errors,StaticHandlerContext.actionData,RouteObject,StaticHandlerContext.location,IDLE_BLOCKER,AgnosticDataRouteMatch.route,RevalidationState,IDLE_NAVIGATION,AgnosticDataRouteObject.id,StaticHandlerContext.loaderData,UNSAFE_mapRouteProperties,IDLE_FETCHER,Router,StaticHandlerContext,UNSAFE_convertRoutesToDataRoutes,StaticHandlerContext.matches,StaticHandlerContext.basename,createStaticHandler,StaticHandler,Router.routes,FutureConfig.v7_relativeSplatPath,RouterState.location,RouterState.historyAction,UNSAFE_invariant,Router.future",""
"server","@types/react",6,30,6,29,2,483.33333333333337,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run/router",282,498,63,117,2,185.7142857142857,"RouteContextObject.matches,RouteObject.index,joinPaths,useLocation,UNSAFE_RouteContext,RouteMatch.route,useResolvedPath,UNSAFE_invariant,UNSAFE_NavigationContext,Location.search,createPath,Router.enableScrollRestoration,Navigation.state,useMatches,GetScrollRestorationKeyFunction,UNSAFE_warning,Location.pathname,Location.key,Location.hash,stripBasename,useNavigation,Router.fetch,HTMLFormMethod,FormEncType,UNSAFE_useRouteId,Router.navigate,HTMLFormMethod.toLowerCase,Router,UNSAFE_mapRouteProperties,createRouter,Router.initialize,RouteObject,createHashHistory,useHref,UNSAFE_DataRouterStateContext,Navigator.encodeLocation,Navigation.location,RouterState.navigation,Path.pathname,To,useNavigate,createBrowserHistory,NavigateOptions,FutureConfig,History,BlockerFunction,useBlocker,Blocker.state,BlockerBlocked.proceed,BlockerBlocked.reset,matchPath,History.location,UNSAFE_logV6DeprecationWarnings,History.action,History.listen,Router.getFetcher,Router.deleteFetcher,RouterState.fetchers,IDLE_FETCHER,RouteObject.id,BrowserHistory.listen,BrowserHistory,BrowserHistory.action,BrowserHistory.location,HashHistory,HashHistory.listen,HashHistory.action,HashHistory.location,JsonObject,JsonValue,Router.encodeLocation,Fetcher.data,Router.basename,RouterProviderProps,FutureConfig.v7_partialHydration,RouterSubscriber,FutureConfig.v7_relativeSplatPath,Router.routes,Router.createHref,Router.state,RouterState.location,Router.future,RouterState,ViewTransitionOpts.currentLocation,RouterProps,Router.window,Router.subscribe,RouterState.initialized,RouterState.historyAction,ViewTransitionOpts.nextLocation",""
"react-router-dom","@types/react",166,496,63,117,2,185.7142857142857,"React.useContext,React.useEffect,React.useLayoutEffect,React.useCallback,React.ReactNode,React.FormEvent.preventDefault,React.FormEvent.defaultPrevented,React.ForwardRefExoticComponent,React.forwardRef,React.JSX.Element,React.FormEvent.currentTarget,React.RefAttributes,React.ForwardedRef,React.MouseEvent.defaultPrevented,React.MouseEvent.preventDefault,React.MouseEvent,React.AnchorHTMLAttributes,React.useRef,React.useMemo,React.MutableRefObject.current,React.CSSProperties,React.ReactPortal,React.ReactElement,React.createContext,React.Context,React.useState,React.ForwardRefExoticComponent.displayName",""
"react-router-native","@types/react-native",22,49,17,24,4,141.1764705882353,"BackHandler,BackHandlerStatic.addEventListener,BackHandlerStatic.removeEventListener,GestureResponderEvent,TouchableHighlightProps,GestureResponderEvent.defaultPrevented,Linking,LinkingStatic.addEventListener,LinkingStatic.removeEventListener,LinkingStatic.getInitialURL",""
"react-router-native","@remix-run/router",18,41,17,24,4,141.1764705882353,"Location.search,useNavigate,useLocation,To,NavigateOptions,MemoryRouterProps",""
"react-router-native","@types/react",18,49,17,24,4,141.1764705882353,"React.MutableRefObject.current,React.useRef,React.useMemo,React.useCallback,React.JSX.Element,React.useEffect,React.ReactNode",""
"react-router-native","@ungap/url-search-params",4,8,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run/router",16,20,7,9,2,128.57142857142858,"Router,DataStrategyFunction,createRouter,createMemoryHistory,Router.initialize,InitialEntry,AgnosticPatchRoutesOnNavigationFunctionArgs,UNSAFE_warning",""
"react-router","@types/react",2,6,7,9,2,128.57142857142858,"React.createElement",""
"App","@types/react",1,1,1,1,1,100,"React.JSX.Element",""
