"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@remix-run",74,104,6,29,2,483.33333333333337,"Action.Pop,Action,FutureConfig.v7_relativeSplatPath,Router.routes,UNSAFE_invariant,StaticHandlerContext.actionData,StaticHandlerContext.basename,RouterState.location,StaticHandlerContext.loaderData,Router.future,StaticHandlerContext.errors,RouterState.historyAction,UNSAFE_mapRouteProperties,StaticHandler,RouteObject,createStaticHandler,RevalidationState,StaticHandlerContext.matches,UNSAFE_convertRoutesToDataRoutes,StaticHandlerContext.location,IDLE_FETCHER,StaticHandlerContext,AgnosticDataRouteMatch.route,AgnosticDataRouteObject.id,Router,IDLE_NAVIGATION,IDLE_BLOCKER",""
"server","@types",6,18,6,29,2,483.33333333333337,"React.JSX.Element,React.ReactNode",""
"react-router-dom","@remix-run",282,450,63,117,2,185.7142857142857,"HTMLFormMethod,HTMLFormMethod.toLowerCase,JsonObject,JsonValue,FormEncType,RouterProviderProps,RouterSubscriber,Router.basename,Router.createHref,Router.navigate,Location.key,Router.future,RouterState,FutureConfig.v7_relativeSplatPath,ViewTransitionOpts.nextLocation,RouterState.historyAction,Fetcher.data,UNSAFE_warning,RouterProps,FutureConfig.v7_partialHydration,Router.routes,RouterState.fetchers,RouterState.initialized,ViewTransitionOpts.currentLocation,RouterState.location,Router.state,Router.encodeLocation,UNSAFE_logV6DeprecationWarnings,Router.window,Router.subscribe,createRouter,Router,RouteObject,Router.initialize,UNSAFE_mapRouteProperties,createHashHistory,To,useNavigate,createPath,useLocation,useResolvedPath,RouteObject.index,Location.search,RouteContextObject.matches,RouteMatch.route,joinPaths,UNSAFE_NavigationContext,UNSAFE_invariant,UNSAFE_RouteContext,Router.fetch,Router.getFetcher,Router.deleteFetcher,RouteObject.id,IDLE_FETCHER,NavigateOptions,GetScrollRestorationKeyFunction,Location.pathname,Path.pathname,Navigator.encodeLocation,stripBasename,RouterState.navigation,UNSAFE_DataRouterStateContext,Navigation.location,createBrowserHistory,UNSAFE_useRouteId,BrowserHistory.listen,BrowserHistory.location,BrowserHistory,BrowserHistory.action,History,FutureConfig,useHref,Blocker.state,useBlocker,BlockerFunction,BlockerBlocked.proceed,BlockerBlocked.reset,HashHistory,HashHistory.listen,HashHistory.location,HashHistory.action,useNavigation,Location.hash,Navigation.state,Router.enableScrollRestoration,useMatches,matchPath,History.listen,History.action,History.location",""
"react-router-dom","@types",166,376,63,117,2,185.7142857142857,"React.FormEvent.currentTarget,React.ForwardRefExoticComponent,React.JSX.Element,React.FormEvent.preventDefault,React.forwardRef,React.ForwardedRef,React.RefAttributes,React.FormEvent.defaultPrevented,React.ReactNode,React.useRef,React.MutableRefObject.current,React.useEffect,React.useState,React.useMemo,React.useLayoutEffect,React.ReactElement,React.useCallback,React.MouseEvent,React.MouseEvent.preventDefault,React.useContext,React.ForwardRefExoticComponent.displayName,React.Context,React.createContext,React.MouseEvent.defaultPrevented,React.AnchorHTMLAttributes,React.ReactPortal,React.CSSProperties",""
"react-router-native","@types",40,86,17,24,4,141.1764705882353,"LinkingStatic.getInitialURL,LinkingStatic.removeEventListener,Linking,React.useEffect,LinkingStatic.addEventListener,React.JSX.Element,GestureResponderEvent.defaultPrevented,React.ReactNode,GestureResponderEvent,TouchableHighlightProps,React.useCallback,React.useRef,React.useMemo,React.MutableRefObject.current,BackHandlerStatic.removeEventListener,BackHandler,BackHandlerStatic.addEventListener",""
"react-router-native","@remix-run",18,35,17,24,4,141.1764705882353,"useNavigate,NavigateOptions,To,Location.search,useLocation,MemoryRouterProps",""
"react-router-native","@ungap",4,8,17,24,4,141.1764705882353,"url-search-params",""
"react-router","@remix-run",16,20,7,9,2,128.57142857142858,"UNSAFE_warning,AgnosticPatchRoutesOnNavigationFunctionArgs,InitialEntry,createMemoryHistory,DataStrategyFunction,Router,createRouter,Router.initialize",""
"react-router","@types",2,6,7,9,2,128.57142857142858,"React.createElement",""
"App","@types",1,1,1,1,1,100,"React.JSX.Element",""
